ID	名称字典	品质	图标资源	需要通过的塔层数
10101	@Feather_Name_10101	3	Item/420.png	0
10102	@Feather_Name_10102	3	Item/420.png	5
10103	@Feather_Name_10103	3	Item/420.png	10
10104	@Feather_Name_10104	3	Item/420.png	15
10105	@Feather_Name_10105	3	Item/420.png	20
10106	@Feather_Name_10106	3	Item/420.png	25
10201	@Feather_Name_10201	3	Item/420.png	30
10202	@Feather_Name_10202	3	Item/420.png	35
10203	@Feather_Name_10203	3	Item/420.png	40
10204	@Feather_Name_10204	3	Item/420.png	45
10205	@Feather_Name_10205	3	Item/420.png	50
10206	@Feather_Name_10206	3	Item/420.png	55
10301	@Feather_Name_10301	3	Item/420.png	60
10302	@Feather_Name_10302	3	Item/420.png	65
10303	@Feather_Name_10303	3	Item/420.png	70
10304	@Feather_Name_10304	3	Item/420.png	75
10305	@Feather_Name_10305	3	Item/420.png	80
10306	@Feather_Name_10306	3	Item/420.png	85
10401	@Feather_Name_10401	3	Item/420.png	90
10402	@Feather_Name_10402	3	Item/420.png	95
10403	@Feather_Name_10403	3	Item/420.png	100
10404	@Feather_Name_10404	3	Item/420.png	105
10405	@Feather_Name_10405	3	Item/420.png	110
10406	@Feather_Name_10406	3	Item/420.png	115
10501	@Feather_Name_10501	3	Item/420.png	120
10502	@Feather_Name_10502	3	Item/420.png	125
10503	@Feather_Name_10503	3	Item/420.png	130
10504	@Feather_Name_10504	3	Item/420.png	135
10505	@Feather_Name_10505	3	Item/420.png	140
10506	@Feather_Name_10506	3	Item/420.png	145
10601	@Feather_Name_10601	3	Item/420.png	150
10602	@Feather_Name_10602	3	Item/420.png	155
10603	@Feather_Name_10603	3	Item/420.png	160
10604	@Feather_Name_10604	3	Item/420.png	165
10605	@Feather_Name_10605	3	Item/420.png	170
10606	@Feather_Name_10606	3	Item/420.png	175
20101	@Feather_Name_20101	4	Item/420.png	0
20102	@Feather_Name_20102	4	Item/420.png	5
20103	@Feather_Name_20103	4	Item/420.png	10
20104	@Feather_Name_20104	4	Item/420.png	15
20105	@Feather_Name_20105	4	Item/420.png	20
20106	@Feather_Name_20106	4	Item/420.png	25
20201	@Feather_Name_20201	4	Item/420.png	30
20202	@Feather_Name_20202	4	Item/420.png	35
20203	@Feather_Name_20203	4	Item/420.png	40
20204	@Feather_Name_20204	4	Item/420.png	45
20205	@Feather_Name_20205	4	Item/420.png	50
20206	@Feather_Name_20206	4	Item/420.png	55
20301	@Feather_Name_20301	4	Item/420.png	60
20302	@Feather_Name_20302	4	Item/420.png	65
20303	@Feather_Name_20303	4	Item/420.png	70
20304	@Feather_Name_20304	4	Item/420.png	75
20305	@Feather_Name_20305	4	Item/420.png	80
20306	@Feather_Name_20306	4	Item/420.png	85
20401	@Feather_Name_20401	4	Item/420.png	90
20402	@Feather_Name_20402	4	Item/420.png	95
20403	@Feather_Name_20403	4	Item/420.png	100
20404	@Feather_Name_20404	4	Item/420.png	105
20405	@Feather_Name_20405	4	Item/420.png	110
20406	@Feather_Name_20406	4	Item/420.png	115
20501	@Feather_Name_20501	4	Item/420.png	120
20502	@Feather_Name_20502	4	Item/420.png	125
20503	@Feather_Name_20503	4	Item/420.png	130
20504	@Feather_Name_20504	4	Item/420.png	135
20505	@Feather_Name_20505	4	Item/420.png	140
20506	@Feather_Name_20506	4	Item/420.png	145
20601	@Feather_Name_20601	4	Item/420.png	150
20602	@Feather_Name_20602	4	Item/420.png	155
20603	@Feather_Name_20603	4	Item/420.png	160
20604	@Feather_Name_20604	4	Item/420.png	165
20605	@Feather_Name_20605	4	Item/420.png	170
20606	@Feather_Name_20606	4	Item/420.png	175
30101	@Feather_Name_30101	5	Item/420.png	0
30102	@Feather_Name_30102	5	Item/420.png	5
30103	@Feather_Name_30103	5	Item/420.png	10
30104	@Feather_Name_30104	5	Item/420.png	15
30105	@Feather_Name_30105	5	Item/420.png	20
30106	@Feather_Name_30106	5	Item/420.png	25
30201	@Feather_Name_30201	5	Item/420.png	30
30202	@Feather_Name_30202	5	Item/420.png	35
30203	@Feather_Name_30203	5	Item/420.png	40
30204	@Feather_Name_30204	5	Item/420.png	45
30205	@Feather_Name_30205	5	Item/420.png	50
30206	@Feather_Name_30206	5	Item/420.png	55
30301	@Feather_Name_30301	5	Item/420.png	60
30302	@Feather_Name_30302	5	Item/420.png	65
30303	@Feather_Name_30303	5	Item/420.png	70
30304	@Feather_Name_30304	5	Item/420.png	75
30305	@Feather_Name_30305	5	Item/420.png	80
30306	@Feather_Name_30306	5	Item/420.png	85
30401	@Feather_Name_30401	5	Item/420.png	90
30402	@Feather_Name_30402	5	Item/420.png	95
30403	@Feather_Name_30403	5	Item/420.png	100
30404	@Feather_Name_30404	5	Item/420.png	105
30405	@Feather_Name_30405	5	Item/420.png	110
30406	@Feather_Name_30406	5	Item/420.png	115
30501	@Feather_Name_30501	5	Item/420.png	120
30502	@Feather_Name_30502	5	Item/420.png	125
30503	@Feather_Name_30503	5	Item/420.png	130
30504	@Feather_Name_30504	5	Item/420.png	135
30505	@Feather_Name_30505	5	Item/420.png	140
30506	@Feather_Name_30506	5	Item/420.png	145
30601	@Feather_Name_30601	5	Item/420.png	150
30602	@Feather_Name_30602	5	Item/420.png	155
30603	@Feather_Name_30603	5	Item/420.png	160
30604	@Feather_Name_30604	5	Item/420.png	165
30605	@Feather_Name_30605	5	Item/420.png	170
30606	@Feather_Name_30606	5	Item/420.png	175
