缘分ID	排序ID	缘分名称文本	缘分组成	奖励道具	奖励属性	formula	Star
1	1001	@FetterName_1	1,2,13,17	10000_1001_100	113_2_5,114_2_5,101_2_48	1	1
2	1002	@FetterName_2	4,5,16,3	10000_1001_100	113_2_5,114_2_5,101_2_48	1	1
3	1003	@FetterName_3	12,11,9,15	10000_1001_100	113_2_5,114_2_5,101_2_48	1	1
4	1004	@FetterName_4	20,18,8,14	10000_1001_100	113_2_5,114_2_5,101_2_48	1	1
5	1005	@FetterName_5	7,21,10,19	10000_1001_100	113_2_5,114_2_5,101_2_48	1	1
6	1006	@FetterName_6	6,24,23,22	10000_1001_100	113_2_5,114_2_5,101_2_48	1	1
9	2001	@FetterName_9	501,502	10000_1001_300	113_2_900,101_2_3000	4	1
10	2002	@FetterName_10	503,504	10000_1001_300	113_2_900,101_2_3000	4	1
11	2003	@FetterName_11	505,506	10000_1001_300	113_2_300,101_2_2000	3	1
12	2004	@FetterName_12	507,508	10000_1001_300	113_2_300,101_2_2000	3	1
13	2005	@FetterName_13	509,510	10000_1001_300	113_2_100,101_2_1000	1	1
14	2006	@FetterName_14	511,512	10000_1001_300	113_2_100,101_2_1000	1	1
