ID	Role	BG	StartMovementId	EndMovementId	BGM	EFF	VoiceWait
101101	985	BG/AVG/avg_bg_089.jpg	10110101	10110101	StoryBgm8.mp3		
101102	985	BG/AVG/avg_bg_089.jpg	10110201	10110202	StoryBgm8.mp3		
101103	985	BG/AVG/avg_bg_089.jpg	10110301	10110301	StoryBgm8.mp3		
101104	985	BG/AVG/avg_bg_089.jpg	10110401	10110401	StoryBgm8.mp3		
101105	985	BG/AVG/avg_bg_089.jpg	10110501	10110501	StoryBgm8.mp3		
101106	999	BG/AVG/avg_bg_089.jpg	10110601	10110601	StoryBgm8.mp3		
101107	1	BG/AVG/avg_bg_089.jpg	10110701	10110702	StoryBgm8.mp3		
101108	2	BG/AVG/avg_bg_089.jpg	10110801	10110803	StoryBgm8.mp3		
101109	999	BG/AVG/avg_bg_089.jpg	10110901	10110901	StoryBgm8.mp3		
101110	999	BG/AVG/avg_bg_089.jpg	10111001	10111001	StoryBgm8.mp3		
101111	2	BG/AVG/avg_bg_089.jpg	10111101	10111101	StoryBgm8.mp3		
101112	999	BG/AVG/avg_bg_089.jpg	10111201	10111201	StoryBgm8.mp3		
101113	999	BG/AVG/avg_bg_089.jpg	10111301	10111301	StoryBgm8.mp3		
101114	999	BG/AVG/avg_bg_089.jpg	10111401	10111401	StoryBgm8.mp3		
101115	2	BG/AVG/avg_bg_089.jpg	10111501	10111501	StoryBgm8.mp3		
101116	1	BG/AVG/avg_bg_089.jpg	10111601	10111603	StoryBgm8.mp3		
101117	1	BG/AVG/avg_bg_089.jpg	10111701	10111701	StoryBgm8.mp3		
101118	999	BG/AVG/avg_bg_089.jpg	10111801	10111801	StoryBgm8.mp3		
101119	999	BG/AVG/avg_bg_089.jpg	10111901	10111901	StoryBgm8.mp3		
101120	999	BG/AVG/avg_bg_089.jpg	10112001	10112001	StoryBgm8.mp3		
101121	977	BG/AVG/avg_bg_089.jpg	10112101	10112101	StoryBgm2.mp3		
101122	2	BG/AVG/avg_bg_089.jpg	10112201	10112202	StoryBgm2.mp3		
101123	985	BG/AVG/avg_bg_089.jpg	10112301	10112301	StoryBgm2.mp3		
101124	985	BG/AVG/avg_bg_089.jpg	10112401	10112401	StoryBgm2.mp3		
101125	2	BG/AVG/avg_bg_089.jpg	10112501	10112501	StoryBgm2.mp3		
101126	999	BG/AVG/avg_bg_089.jpg	10112601	10112601	StoryBgm2.mp3		
101127	999	BG/AVG/avg_bg_089.jpg	10112701	10112701	StoryBgm2.mp3		
101128	2	BG/AVG/avg_bg_089.jpg	10112801	10112801	StoryBgm2.mp3		
101129	999	BG/AVG/avg_bg_089.jpg	10112901	10112901	StoryBgm2.mp3		
101130	999	BG/AVG/avg_bg_089.jpg	10113001	10113001	StoryBgm2.mp3		
101131	999	BG/AVG/avg_bg_089.jpg	10113101	10113101	StoryBgm2.mp3		
101132	2	BG/AVG/avg_bg_089.jpg	10113201	10113202	StoryBgm2.mp3		
101133	1	BG/AVG/avg_bg_089.jpg	10113301	10113303	StoryBgm2.mp3		
101201	985	BG/AVG/avg_bg_089.jpg	10120101	10120101	StoryBgm8.mp3		
101202	985	BG/AVG/avg_bg_089.jpg	10120201	10120201	StoryBgm8.mp3		
101203	2	BG/AVG/avg_bg_089.jpg	10120301	10120302	StoryBgm8.mp3		
101204	2	BG/AVG/avg_bg_089.jpg	10120401	10120401	StoryBgm8.mp3		
101205	999	BG/AVG/avg_bg_089.jpg	10120501	10120501	StoryBgm8.mp3		
101206	999	BG/AVG/avg_bg_089.jpg	10120601	10120601	StoryBgm8.mp3		
101207	2	BG/AVG/avg_bg_089.jpg	10120701	10120702	StoryBgm8.mp3		
101208	985	BG/AVG/avg_bg_089.jpg	10120801	10120801	StoryBgm8.mp3		
101209	2	BG/AVG/avg_bg_089.jpg	10120901	10120902	StoryBgm8.mp3		
101210	985	BG/AVG/avg_bg_089.jpg	10121001	10121001	StoryBgm8.mp3		
101211	985	BG/AVG/avg_bg_089.jpg	10121101	10121101	StoryBgm8.mp3		
101212	2	BG/AVG/avg_bg_089.jpg	10121201	10121201	StoryBgm8.mp3		
101213	1	BG/AVG/avg_bg_089.jpg	10121301	10121303	StoryBgm8.mp3		
101214	1	BG/AVG/avg_bg_089.jpg	10121401	10121401	StoryBgm8.mp3		
101215	2	BG/AVG/avg_bg_089.jpg	10121501	10121502	StoryBgm8.mp3		
101216	1	BG/AVG/avg_bg_089.jpg	10121601	10121602	StoryBgm8.mp3		
101217	1	BG/AVG/avg_bg_089.jpg	10121701	10121701	StoryBgm8.mp3		
101218	1	BG/AVG/avg_bg_089.jpg	10121801	10121801	StoryBgm8.mp3		
101219	999	BG/AVG/avg_bg_089.jpg	10121901	10121901	StoryBgm8.mp3		
101220	1	BG/AVG/avg_bg_089.jpg	10122001	10122001	StoryBgm8.mp3		
101221	1	BG/AVG/avg_bg_089.jpg	10122101	10122101	StoryBgm8.mp3		
