ID	TYPE	SPINE	Define	Position	Wait	Transform	Rotate	Scale	Time	Parent	SpawnId
99999901	18	AVG_V_AC9999	0	0	0	0	0	1	0		
10110101	12	BG/AVG/avg_bg_001.jpg	0	0	0.5	0	0	1	0		
10110201	0		0	0	0	0	0	1	0		
10110301	0		0	0	0	0	0	1	0		
10110401	0		0	0	0	0	0	1	0		
10110501	4	F9	0	0	0	0	0	1	0		
10110502	12	BG/AVG/avg_bg_115.jpg	0	0	0.5	0	0	1	0		
10110503	13		0	0	0.5	0	0	1	0		
10110601	9	F03,Spine/NG2D_nobg,AVG_00201	2	250,0	0	0	0	1	0		
10110602	14	1	2	0	0	0	0	1	0		
10110701	0		0	0	0	0	0	1	0		
10110801	14	0	2	0	0	0	0	1	0		
10110901	14	1	2	0	0	0	0	1	0		
10111001	0		0	0	0	0	0	1	0		
10111101	14	0	2	0	0	0	0	1	0		
10111201	14	1	2	0	0	0	0	1	0		
10111301	0		0	0	0	0	0	1	0		
10111401	14	0	2	0	0	0	0	1	0		
10111501	0		0	0	0	0	0	1	0		
10111601	9	F03,Spine/NG2D_nobg,AVG_01701	1	-250,0	0	0	0	1	0		
10111602	14	1	1	0	0	0	0	1	0		
10111701	14	0	1	0	0	0	0	1	0		
10111801	14	1	1	0	0	0	0	1	0		
10111802	1	F04	1	0	0	0	0	1	0		
10111901	1	A00	1	0	0	0	0	1	0		
10112001	0		0	0	0	0	0	1	0		
10112101	14	0	1	0	0	0	0	1	0		
10112201	10		2	0	0	0	0	1	0		
10112202	9	A00,Spine/NG2D_nobg,AVG_01301	2	250,0	0.3	0	0	1	0		
10112203	14	1	2	0	0	0	0	1	0		
10112301	0		0	0	0	0	0	1	0		
10112401	0		0	0	0	0	0	1	0		
10112501	14	1	1	0	0	0	0	1	0		
10112502	14	0	2	0	0	0	0	1	0		
10112601	0		0	0	0	0	0	1	0		
10112701	14	0	1	0	0	0	0	1	0		
10112702	14	1	2	0	0	0	0	1	0		
10112801	0		0	0	0	0	0	1	0		
10112901	0		0	0	0	0	0	1	0		
10113001	14	1	1	0	0	0	0	1	0		
10113002	14	0	2	0	0	0	0	1	0		
10113101	0		0	0	0	0	0	1	0		
10113201	14	0	1	0	0	0	0	1	0		
10113301	10		2	0	0	0	0	1	0		
10113302	9	F03,Spine/NG2D_nobg,AVG_00201	2	250,0	0.3	0	0	1	0		
10113303	14	1	2	0	0	0	0	1	0		
10113401	14	0	2	0	0	0	0	1	0		
10120101	9	F01,Spine/NG2D_nobg,AVG_00201	2	250,0	0	0	0	1	0		
10120102	14	1	2	0	0	0	0	1	0		
10120201	0		0	0	0	0	0	1	0		
10120301	14	0	2	0	0	0	0	1	0		
10120401	0		0	0	0	0	0	1	0		
10120501	9	F03,Spine/NG2D_nobg,AVG_01701	1	-250,0	0	0	0	1	0		
10120502	14	1	1	0	0	0	0	1	0		
10120601	14	0	1	0	0	0	0	1	0		
10120701	0		0	0	0	0	0	1	0		
10120801	0		0	0	0	0	0	1	0		
10120901	14	1	1	0	0	0	0	1	0		
10120902	1	A00	1	0	0	0	0	1	0		
10121001	0		0	0	0	0	0	1	0		
10121101	0		0	0	0	0	0	1	0		
10121201	0		0	0	0	0	0	1	0		
10121301	14	0	1	0	0	0	0	1	0		
10121302	10		2	0	0	0	0	1	0		
10121303	9	A00,Spine/NG2D_nobg,AVG_01301	2	250,0	0.3	0	0	1	0		
10121304	14	1	2	0	0	0	0	1	0		
10121401	0		0	0	0	0	0	1	0		
10121501	0		0	0	0	0	0	1	0		
10121601	14	0	2	0	0	0	0	1	0		
10121701	14	1	2	0	0	0	0	1	0		
10121801	0		0	0	0	0	0	1	0		
10121901	0		0	0	0	0	0	1	0		
10122001	0		0	0	0	0	0	1	0		
10122101	0		0	0	0	0	0	1	0		
10122201	14	0	2	0	0	0	0	1	0		
10122301	14	1	2	0	0	0	0	1	0		
10122401	0		0	0	0	0	0	1	0		
10122501	0		0	0	0	0	0	1	0		
10122601	14	0	2	0	0	0	0	1	0		
10122701	0		0	0	0	0	0	1	0		
10122801	0		0	0	0	0	0	1	0		
10122901	14	1	1	0	0	0	0	1	0		
10123001	10		1	0	0	0	0	1	0		
10123002	10		2	0	0	0	0	1	0		
10123003	4	F9	0	0	0	0	0	1	0		
10123004	12	BG/AVG/avg_bg_9905.jpg	0	0	0.5	0	0	1	0		
10123005	13		0	0	1	0	0	1	0		
10123101	0		0	0	0	0	0	1	0		
10123201	0		0	0	0	0	0	1	0		
10123301	4	F9	0	0	0	0	0	1	0		
10123302	12	BG/AVG/avg_bg_9906.jpg	0	0	0.5	0	0	1	0		
10123303	13		0	0	1	0	0	1	0		
10123401	0		0	0	0	0	0	1	0		
10123501	0		0	0	0	0	0	1	0		
10123601	0		0	0	0	0	0	1	0		
10123701	0		0	0	0	0	0	1	0		
10123801	0		0	0	0	0	0	1	0		
10123901	0		0	0	0	0	0	1	0		
10124001	0		0	0	0	0	0	1	0		
10124101	4	F9	0	0	0	0	0	1	0		
10124102	12	BG/AVG/avg_bg_115.jpg	0	0	0.5	0	0	1	0		
10124103	13		0	0	1	0	0	1	0		
10124201	9	F04,Spine/NG2D_nobg,AVG_01701	1	0,0	0	0	0	1	0		
10124202	14	1	1	0	0	0	0	1	0		
10124301	14	0	1	0	0	0	0	1	0		
10124401	14	1	1	0	0	0	0	1	0		
10124402	1	A00	1	0	0	0	0	1	0		
10124501	0		0	0	0	0	0	1	0		
10124601	14	0	1	0	0	0	0	1	0		
10124701	14	1	1	0	0	0	0	1	0		
10124801	0		0	0	0	0	0	1	0		
10124901	14	0	1	0	0	0	0	1	0		
10125001	0		0	0	0	0	0	1	0		
10125101	14	1	1	0	0	0	0	1	0		
10125201	14	0	1	0	0	0	0	1	0		
10125301	14	1	1	0	0	0	0	1	0		
10125401	0		0	0	0	0	0	1	0		
10310101	12	BG/AVG/avg_bg_9907.jpg	0	0	0.5	0	0	1	0		
10310201	0		0	0	0	0	0	1	0		
10310301	0		0	0	0	0	0	1	0		
10310401	0		0	0	0	0	0	1	0		
10310501	0		0	0	0	0	0	1	0		
10310601	0		0	0	0	0	0	1	0		
10310701	0		0	0	0	0	0	1	0		
10310801	0		0	0	0	0	0	1	0		
10310901	0		0	0	0	0	0	1	0		
10311001	0		0	0	0	0	0	1	0		
10311101	0		0	0	0	0	0	1	0		
10410101	12	BG/AVG/avg_bg_9908.jpg	0	0	0.5	0	0	1	0		
10410201	0		0	0	0	0	0	1	0		
10410301	0		0	0	0	0	0	1	0		
10410401	0		0	0	0	0	0	1	0		
10410501	0		0	0	0	0	0	1	0		
10410601	0		0	0	0	0	0	1	0		
10410701	0		0	0	0	0	0	1	0		
10410801	0		0	0	0	0	0	1	0		
10410901	0		0	0	0	0	0	1	0		
10411001	0		0	0	0	0	0	1	0		
10411101	0		0	0	0	0	0	1	0		
10411201	4	F9	0	0	0	0	0	1	0		
10411202	12	BG/AVG/avg_bg_116.jpg	0	0	0.5	0	0	1	0		
10411203	13		0	0	1	0	0	1	0		
10411301	9	F03,Spine/NG2D_nobg,AVG_01701	1	-250,0	0	0	0	1	0		
10411302	14	1	1	0	0	0	0	1	0		
10411401	14	0	1	0	0	0	0	1	0		
10411501	14	1	1	0	0	0	0	1	0		
10411601	0		0	0	0	0	0	1	0		
10411701	9	F04,Spine/NG2D_nobg,AVG_00201	2	250,0	0	0	0	1	0		
10411702	14	0	1	0	0	0	0	1	0		
10411703	14	1	2	0	0	0	0	1	0		
10411801	0		0	0	0	0	0	1	0		
10411901	14	0	2	0	0	0	0	1	0		
10412001	14	1	2	0	0	0	0	1	0		
10412002	1	F02	2	0	0	0	0	1	0		
10412101	0		0	0	0	0	0	1	0		
10412201	14	0	2	0	0	0	0	1	0		
10412301	0		0	0	0	0	0	1	0		
10412401	0		0	0	0	0	0	1	0		
10412501	14	1	1	0	0	0	0	1	0		
10412502	1	A00	1	0	0	0	0	1	0		
10412601	14	0	1	0	0	0	0	1	0		
10412701	0		0	0	0	0	0	1	0		
10412801	14	1	1	0	0	0	0	1	0		
10412901	10		2	0	0	0	0	1	0		
10412902	9	A00,Spine/NG2D_nobg,AVG_01301	2	250,0	0.3	0	0	1	0		
10412903	14	1	2	0	0	0	0	1	0		
10412904	14	0	1	0	0	0	0	1	0		
10413001	14	1	1	0	0	0	0	1	0		
10413002	1	F04	1	0	0	0	0	1	0		
10413003	14	0	2	0	0	0	0	1	0		
10413101	0		0	0	0	0	0	1	0		
10413201	14	1	2	0	0	0	0	1	0		
10413202	14	0	1	0	0	0	0	1	0		
10413301	0		0	0	0	0	0	1	0		
10413401	14	0	2	0	0	0	0	1	0		
10413501	14	1	2	0	0	0	0	1	0		
10413601	0		0	0	0	0	0	1	0		
10413701	0		0	0	0	0	0	1	0		
10413801	14	1	1	0	0	0	0	1	0		
10413802	1	F03	1	0	0	0	0	1	0		
10413803	14	0	2	0	0	0	0	1	0		
10413901	14	1	2	0	0	0	0	1	0		
10413902	14	0	1	0	0	0	0	1	0		
10414001	0		0	0	0	0	0	1	0		
10414101	14	1	1	0	0	0	0	1	0		
10414102	14	0	2	0	0	0	0	1	0		
10414201	14	1	2	0	0	0	0	1	0		
10414202	14	0	1	0	0	0	0	1	0		
10414301	0		0	0	0	0	0	1	0		
10414401	0		0	0	0	0	0	1	0		
10414501	0		0	0	0	0	0	1	0		
10414601	14	1	1	0	0	0	0	1	0		
10414602	14	0	2	0	0	0	0	1	0		
10414701	14	1	2	0	0	0	0	1	0		
10414702	14	0	1	0	0	0	0	1	0		
10414801	0		0	0	0	0	0	1	0		
10414901	15		0	0	0.5	0	0	1	5		
10414902	13		0	0	0.5	0	0	1	0		
10415001	14	1	1	0	0	0	0	1	0		
10415002	14	0	2	0	0	0	0	1	0		
10415101	14	0	1	0	0	0	0	1	0		
10415201	0		0	0	0	0	0	1	0		
10415301	0		0	0	0	0	0	1	0		
10415401	0		0	0	0	0	0	1	0		
10415501	0		0	0	0	0	0	1	0		
10415601	0		0	0	0	0	0	1	0		
10415701	0		0	0	0	0	0	1	0		
10620101	9	F02,Spine/NG2D_nobg,AVG_00201	2	250,0	0	0	0	1	0		
10620102	14	1	2	0	0	0	0	1	0		
10620201	14	0	2	0	0	0	0	1	0		
10620301	14	1	2	0	0	0	0	1	0		
10620401	14	0	2	0	0	0	0	1	0		
10620501	0		0	0	0	0	0	1	0		
10620601	14	1	2	0	0	0	0	1	0		
10620701	14	0	2	0	0	0	0	1	0		
10620801	0		0	0	0	0	0	1	0		
10620901	0		0	0	0	0	0	1	0		
10621001	9	F02,Spine/NG2D_nobg,AVG_01701	1	-250,0	0	0	0	1	0		
10621002	14	1	1	0	0	0	0	1	0		
10621101	14	0	1	0	0	0	0	1	0		
