ID	TYPE	SPINE	Define	Position	Wait	Transform	Rotate	Scale	Time	Parent	SpawnId
99999901	18		0	0	0	0	0	1	0		
10110101	0		0	0	0	0	0	1	0		
10110201	0		0	0	0	0	0	1	0		
10110202	0		0	0	0	0	0	1	0		
10110301	0		0	0	0	0	0	1	0		
10110401	0		0	0	0	0	0	1	0		
10110501	0		0	0	0	0	0	1	0		
10110601	0		0	0	0	0	0	1	0		
10110701	9	A00,Spine/NG2D_nobg,AVG_00101	1	-250,0	0	0	0	1	0		
10110702	14	1	1	0	0	0	0	1	0		
10110801	9	F05,Spine/NG2D_nobg,AVG_00201	2	250,0	0	0	0	1	0		
10110802	14	0	1	0	0	0	0	1	0		
10110803	14	1	2	0	0	0	0	1	0		
10110901	14	0	2	0	0	0	0	1	0		
10111001	0		0	0	0	0	0	1	0		
10111101	14	1	2	0	0	0	0	1	0		
10111201	14	0	2	0	0	0	0	1	0		
10111301	0		0	0	0	0	0	1	0		
10111401	0		0	0	0	0	0	1	0		
10111501	14	1	0	0	0	0	0	1	0		
10111601	14	1	1	0	0	0	0	1	0		
10111602	14	0	2	0	0	0	0	1	0		
10111603	1	F04	1	0	0	0	0	1	0		
10111701	0		0	0	0	0	0	1	0		
10111801	14	0	1	0	0	0	0	1	0		
10111901	0		0	0	0	0	0	1	0		
10112001	0		0	0	0	0	0	1	0		
10112101	0		0	0	0	0	0	1	0		
10112201	14	1	2	0	0	0	0	1	0		
10112202	1	F03	0	0	0	0	0	1	0		
10112301	14	0	2	0	0	0	0	1	0		
10112401	0		0	0	0	0	0	1	0		
10112501	14	1	2	0	0	0	0	1	0		
10112601	14	0	2	0	0	0	0	1	0		
10112701	0		0	0	0	0	0	1	0		
10112801	14	1	2	0	0	0	0	1	0		
10112901	14	0	2	0	0	0	0	1	0		
10113001	0		0	0	0	0	0	1	0		
10113101	0		0	0	0	0	0	1	0		
10113201	14	1	2	0	0	0	0	1	0		
10113202	1	F02	2	0	0	0	0	1	0		
10113301	14	1	1	0	0	0	0	1	0		
10113302	1	F02	1	0	0	0	0	1	0		
10113303	14	0	2	0	0	0	0	1	0		
10120101	0		0	0	0	0	0	1	0		
10120201	0		0	0	0	0	0	1	0		
10120301	9	F04,Spine/NG2D_nobg,AVG_00201	2	250,0	0	0	0	1	0		
10120302	14	1	2	0	0	0	0	1	0		
10120401	0		0	0	0	0	0	1	0		
10120501	14	0	2	0	0	0	0	1	0		
10120601	0		0	0	0	0	0	1	0		
10120701	14	1	2	0	0	0	0	1	0		
10120702	1	F02	2	0	0	0	0	1	0		
10120801	14	0	2	0	0	0	0	1	0		
10120901	14	1	2	0	0	0	0	1	0		
10120902	1	F03	2	0	0	0	0	1	0		
10121001	14	0	2	0	0	0	0	1	0		
10121101	0		0	0	0	0	0	1	0		
10121201	14	1	2	0	0	0	0	1	0		
10121301	14	0	2	0	0	0	0	1	0		
10121302	9	A00,Spine/NG2D_nobg,AVG_00101	1	-250,0	0	0	0	1	0		
10121303	14	1	1	0	0	0	0	1	0		
10121401	0		0	0	0	0	0	1	0		
10121501	14	1	2	0	0	0	0	1	0		
10121502	14	0	1	0	0	0	0	1	0		
10121601	14	0	2	0	0	0	0	1	0		
10121602	14	1	1	0	0	0	0	1	0		
10121701	0		0	0	0	0	0	1	0		
10121801	0		0	0	0	0	0	1	0		
10121901	14	0	1	0	0	0	0	1	0		
10122001	14	1	1	0	0	0	0	1	0		
10122101	0		0	0	0	0	0	1	0		
10122201	14	0	1	0	0	0	0	1	0		
10122301	14	1	1	0	0	0	0	1	0		
10122401	14	0	1	0	0	0	0	1	0		
10122501	0		0	0	0	0	0	1	0		
10122601	0		0	0	0	0	0	1	0		
10122701	0		0	0	0	0	0	1	0		
10122801	14	1	1	0	0	0	0	1	0		
10122901	0		0	0	0	0	0	1	0		
10123001	10		1	0	0	0	0	1	0		
10123002	10		2	0	0	0	0	1	0		
10123003	16	F1	0	0	0	0	0	1	0		
10123004	12	BG/AVG/avg_bg_103.jpg	0	0	0.5	0	0	1	0		
