id	spine	spine_anime	關卡	type	BGM	Voice Lines	EFF	對白數
10101	NG_01_01_HCG	C00_loop1_a	0	0	AlbumStoryBGM.mp3			1
10102	NG_01_01_HCG	C01_one200_a	0	0				1
10103	NG_01_01_HCG	C02_loop200_a2	0	1				3
10104	NG_01_01_HCG	C04_one120_a	0	0			0_AlbumHEFF101C04One.mp3	1
10105	NG_01_01_HCG	C05_loop80_a	0	1			0_AlbumHEFF101C05Loop.mp3	3
10106	NG_01_01_HCG	C05_loop80_a2	0	1			0_AlbumHEFF101C05Loop.mp3	1
10107	NG_01_01_HCG	C05_loop80_a3	0	1			0_AlbumHEFF101C05Loop.mp3	3
10108	NG_01_01_HCG	C05_loop80_a4	0	1			0_AlbumHEFF101C05Loop.mp3	1
10109	NG_01_01_HCG	C06_loop40_a	0	1			0_AlbumHEFF101C06Loop.mp3	3
10110	NG_01_01_HCG	C06_loop40_a2	0	1			0_AlbumHEFF101C06Loop.mp3	2
10111	NG_01_01_HCG	C06_loop40_a3	0	1			0_AlbumHEFF101C06Loop.mp3	2
10112	NG_01_01_HCG	C06_loop40_a	0	1			0_AlbumHEFF101C06Loop.mp3	2
10113	NG_01_01_HCG	C06_loop40_a2	0	1			0_AlbumHEFF101C06Loop.mp3	1
10114	NG_01_01_HCG	C07_one100_a	0	0			0_AlbumHEFF101C07One.mp3	1
10115	NG_01_01_HCG	C08_loop40_a	0	1				3
10116	NG_01_01_HCG	C09_one60_a	0	0				1
20101	NG_02_01_HCG	C00_loop1_a	0	0	AlbumStoryBGM.mp3			1
20102	NG_02_01_HCG	C01_one150_a	0	0			0_AlbumHEFF201C01One.mp3	1
20103	NG_02_01_HCG	C02_loop100_a2	0	1			0_AlbumHEFF201C02Loop.mp3	2
20104	NG_02_01_HCG	C02_loop100_a3	0	1			0_AlbumHEFF201C02Loop.mp3	2
20105	NG_02_01_HCG	C02_loop100_a4	0	1			0_AlbumHEFF201C02Loop.mp3	1
20106	NG_02_01_HCG	C02_loop100_a	0	1			0_AlbumHEFF201C02Loop.mp3	1
20107	NG_02_01_HCG	C03_one80_a4	0	0			0_AlbumHEFF201C03One.mp3	1
20108	NG_02_01_HCG	C04_loop40_a	0	1			0_AlbumHEFF201C04Loop.mp3	2
20109	NG_02_01_HCG	C04_loop40_a2	0	1			0_AlbumHEFF201C04Loop.mp3	2
20110	NG_02_01_HCG	C04_loop40_a3	0	1			0_AlbumHEFF201C04Loop.mp3	2
20111	NG_02_01_HCG	C04_loop40_a	0	1			0_AlbumHEFF201C04Loop.mp3	2
20112	NG_02_01_HCG	C04_loop40_a3	0	1			0_AlbumHEFF201C04Loop.mp3	2
20113	NG_02_01_HCG	C04_loop40_a2	0	1			0_AlbumHEFF201C04Loop.mp3	2
20114	NG_02_01_HCG	C04_loop40_a	0	1			0_AlbumHEFF201C04Loop.mp3	2
20115	NG_02_01_HCG	C04_loop40_a3	0	1			0_AlbumHEFF201C04Loop.mp3	2
