ID	Role	BG	StartMovementId	EndMovementId	BGM	EFF	VoiceWait
9901101	999	UI/NewBieGuide/OP_bg_01.jpg	990110101	990110102	StroyOP.mp3		
9901102	999	UI/NewBieGuide/OP_bg_01.jpg			StroyOP.mp3		
9901103	21	UI/NewBieGuide/OP_bg_02.jpg	990110301	990110301	StroyOP.mp3		
9901104	999	UI/NewBieGuide/OP_bg_01.jpg	990110401	990110401	StroyOP.mp3		
9901105	999	UI/NewBieGuide/OP_bg_01.jpg			StroyOP.mp3		
9901106	999	UI/NewBieGuide/OP_bg_03.jpg			StroyOP.mp3		
9901107	991	UI/NewBieGuide/OP_bg_04.jpg	990110701	990110701	StroyOP.mp3		
9901108	999	UI/NewBieGuide/OP_bg_05.jpg	990110801	990110801	StroyOP.mp3		
9902101	999	UI/NewBieGuide/OP_bg_06.jpg	990210101	990210102	Tutorial_Boss.mp3		
9903101			990310101	990310101	Tutorial_Boss.mp3		
9903102	999	UI/NewBieGuide/OP_bg_03.jpg	990310201	990310202	Tutorial_Boss.mp3		
9903103	991		990310301	990310301	Tutorial_Boss.mp3		
9903104	21	UI/NewBieGuide/OP_bg_02.jpg	990310401	990310402	Tutorial_Boss.mp3		
9904101	999	UI/NewBieGuide/OP_bg_03.jpg	990410101	990410102	StroyOP.mp3		
9904102	991	UI/NewBieGuide/OP_bg_04.jpg	990410201	990410201	StroyOP.mp3		
9904103	991	UI/NewBieGuide/OP_bg_04.jpg	990410301	990410301	StroyOP.mp3		
9904104	999	UI/NewBieGuide/OP_bg_05.jpg	990410401	990410401	StroyOP.mp3		
9904105	999	UI/NewBieGuide/OP_bg_03.jpg	990410501	990410501	StroyOP.mp3		
9905101	988	BG/UI/RaidBoss_bg_1.jpg	990510101	990510101	BDSM_BG.mp3		
9905102	990	BG/UI/RaidBoss_bg_1.jpg			BDSM_BG.mp3		
9905103	988	BG/UI/RaidBoss_bg_1.jpg			BDSM_BG.mp3		
9905104	990	BG/UI/RaidBoss_bg_1.jpg			BDSM_BG.mp3		
9905105	988	BG/UI/RaidBoss_bg_1.jpg			BDSM_BG.mp3		
9905106	990	BG/UI/RaidBoss_bg_1.jpg			BDSM_BG.mp3		
9905107	990	BG/UI/RaidBoss_bg_1.jpg			BDSM_BG.mp3		
9905108	988	BG/UI/RaidBoss_bg_1.jpg			BDSM_BG.mp3		
9905109	990	BG/UI/RaidBoss_bg_1.jpg			BDSM_BG.mp3		
9905110	988	BG/UI/RaidBoss_bg_1.jpg			BDSM_BG.mp3		
9906101	990	UI/NewBieGuide/OP_bg_07.jpg	990610101	990610102	StroyOP.mp3		
9906102	999	UI/NewBieGuide/OP_bg_03.jpg	990610201	990610201	StroyOP.mp3		
9906103	990	UI/NewBieGuide/OP_bg_08.jpg	990610301	990610301	StroyOP.mp3		
9906104	999	UI/NewBieGuide/OP_bg_03.jpg	990610401	990610401	StroyOP.mp3		
9906105	990	UI/NewBieGuide/OP_bg_07.jpg	990610501	990610501	StroyOP.mp3		
0101101		BG/AVG/avg_bg_901.jpg	010110101	010110101			
0101102	987	BG/AVG/avg_bg_001.jpg	010110201	010110201			
0101103		BG/AVG/avg_bg_001.jpg	010110301	010110301			
0101104		BG/AVG/avg_bg_001.jpg	010110401	010110403			
0101105	999	BG/AVG/avg_bg_089.jpg	010110501	010110501		101105.mp3	2
0101106	1	BG/AVG/avg_bg_089.jpg	010110601	010110601		101106.mp3	2
0101107	999	BG/AVG/avg_bg_089.jpg	010110701	010110701		101107.mp3	2
0101108	999	BG/AVG/avg_bg_089.jpg	010110801	010110801		101108.mp3	4
0101109		BG/AVG/avg_bg_089.jpg	010110901	010110905			
0101110	1	BG/AVG/avg_bg_096.jpg	010111001	010111001	StoryBgm1.mp3	101109.mp3	2
0101111	1	BG/AVG/avg_bg_096.jpg	010111101	010111101	StoryBgm1.mp3	101110.mp3	4
0101112	999	BG/AVG/avg_bg_096.jpg	010111201	010111201	StoryBgm1.mp3	101111.mp3	3
0101113	1	BG/AVG/avg_bg_096.jpg	010111301	010111301	StoryBgm1.mp3	101112.mp3	2
0101114	1	BG/AVG/avg_bg_096.jpg	010111401	010111401	StoryBgm1.mp3	101113.mp3	5
0101115	999	BG/AVG/avg_bg_096.jpg	010111501	010111501	StoryBgm1.mp3	101114.mp3	3
0101116	1	BG/AVG/avg_bg_096.jpg	010111601	010111601	StoryBgm1.mp3	101115.mp3	6
0101117	1	BG/AVG/avg_bg_096.jpg	010111701	010111701	StoryBgm1.mp3	101116.mp3	6
0101118	999	BG/AVG/avg_bg_096.jpg	010111801	010111801	StoryBgm1.mp3	101117.mp3	3
0101119	1	BG/AVG/avg_bg_096.jpg	010111901	010111901	StoryBgm1.mp3	101118.mp3	4
0101120	999	BG/AVG/avg_bg_096.jpg	010112001	010112001	StoryBgm1.mp3	101119.mp3	3
0101121	999	BG/AVG/avg_bg_096.jpg	010112101	010112101	StoryBgm1.mp3	101120.mp3	4
0101122	999	BG/AVG/avg_bg_096.jpg	010112201	010112201	StoryBgm1.mp3	101121.mp3	4
0101123	999	BG/AVG/avg_bg_096.jpg	010112301	010112301	StoryBgm1.mp3	101122.mp3	7
0101124	999	BG/AVG/avg_bg_096.jpg	010112401	010112401	StoryBgm1.mp3	101123.mp3	5
0101125	999	BG/AVG/avg_bg_096.jpg	010112501	010112501	StoryBgm1.mp3	101124.mp3	4
0101126	1	BG/AVG/avg_bg_096.jpg	010112601	010112601	StoryBgm1.mp3	101125.mp3	6
0101127	1	BG/AVG/avg_bg_096.jpg	010112701	010112701	StoryBgm2.mp3	101126.mp3	5
0101128	986	BG/AVG/avg_bg_089.jpg	010112801	010112804	StoryBgm2.mp3		
0101129	1	BG/AVG/avg_bg_089.jpg	010112901	010112902	StoryBgm2.mp3	101128.mp3	3
0101130	1	BG/AVG/avg_bg_089.jpg	010113001	010113001	StoryBgm2.mp3	101129.mp3	3
0102101	1	BG/AVG/avg_bg_089.jpg	010210101	010210102	StoryBgm1.mp3	102101.mp3	3
0102102	1	BG/AVG/avg_bg_089.jpg	010210201	010210201	StoryBgm1.mp3	102102.mp3	5
0102103		BG/AVG/avg_bg_089.jpg	010210301	010210301	StoryBgm1.mp3		
0102104		BG/AVG/avg_bg_089.jpg	010210401	010210407			
0102105	2	BG/AVG/avg_bg_088.jpg	010210501	010210501	StoryBgm1.mp3		
0102106	2	BG/AVG/avg_bg_088.jpg	010210601	010210601	StoryBgm1.mp3	102105.mp3	3
0102107	1	BG/AVG/avg_bg_088.jpg	010210701	010210701	StoryBgm1.mp3	102106.mp3	6
