ID	TYPE	SPINE	Define	Position	Wait	Transform	Rotate	Scale	Time	Parent	SpawnId
990110001	0		0	0	0	0	0	1	0		
990110101	8		0	0	0	0	0	1	0		
990110102	4	F3	0	0	0	0	0	1	0		
990110301	8		0	0	0	0	0	1	0		
990110401	8		0	0	0	0	0	1	0		
990110701	8		0	0	0	0	0	1	0		
990110801	8		0	0	0	0	0	1	0		
990210001	0		0	0	0	0	0	1	0		
990210101	8		0	0	0	0	0	1	0		
990210102	4	F3	0	0	0	0	0	1	0		
990310001	0		0	0	0	0	0	1	0		
990310101	8		0	0	0	0	0	1	0		
990310201	8		0	0	0	0	0	1	0		
990310202	4	F3	0	0	0	0	0	1	0		
990310301	4	F4	0	0	0	0	0	1	0		
990310401	8		0	0	0	0	0	1	0		
990310402	4	F3	0	0	0	0	0	1	0		
990410001	0		0	0	0	0	0	1	0		
990410101	8		0	0	0	0	0	1	0		
990410102	4	Untitled Timeline	0	0	0	0	0	1	0		
990410201	8		0	0	0	0	0	1	0		
990410301	8		0	0	0	0	0	1	0		
990410401	8		0	0	0	0	0	1	0		
990410501	8		0	0	0	0	0	1	0		
990510001	0	animation,Spine/NG2DHCG,lvlingqi_H_A	0	0	0	0	0	1	0		
990510101	4	F3	0	0	0	0	0	1	0		
990610001	0		0	0	0	0	0	1	0		
990610101	8		0	0	0	0	0	1	0		
990610102	4	F3	0	0	0	0	0	1	0		
990610201	8		0	0	0	0	0	1	0		
990610301	8		0	0	0	0	0	1	0		
990610401	8		0	0	0	0	0	1	0		
990610501	8		0	0	0	0	0	1	0		
010110101	0		0	0	0	0	0	1	0		
010110201	0		0	0	0	0	0	1	0		
010110301	13		0	0	2	0	0	1	0		
010110401	4	F5	0	0	0	0	0	1	0		
010110402	12	BG/AVG/avg_bg_089.jpg	0	0	0.5	0	0	1	0		
010110403	13		0	0	0.5	0	0	1	0		
010110501	15		0	0	0	0	0	1	5		
010110601	0		0	0	0	0	0	1	0		
010110701	0		0	0	0	0	0	1	0		
010110801	0		0	0	0	0	0	1	0		
010110901	4	F5	0	0	0	0	0	1	0		
