id	spine	spine_anime	關卡	type	BGM	Voice Lines	EFF	對白數
9000101	NG_900_01_HCG	B00_LOOP	0	0	DRR_S01_BGM.mp3			1
9000102	NG_900_01_HCG	B01_ONE	0	0		900010201_0_NGVODRR1083.mp3		1
9000103	NG_900_01_HCG	B02_LOOP	0	1		900010301_0_NGVODRR1001.mp3		1
9000104	NG_900_01_HCG	B03_ONE	0	0		900010401_0_NGVODRR1084.mp3		1
9000105	NG_900_01_HCG	B04_LOOP	0	1		900010501_0_NGVODRR1002.mp3,900010502_0_NGVODRR1003.mp3		2
9000106	NG_900_01_HCG	B05_ONE	0	0		900010601_0_NGVODRR1085.mp3		1
9000107	NG_900_01_HCG	B06_LOOP	0	1		900010701_0_NGVODRR1004.mp3,900010702_0_NGVODRR1005.mp3,900010703_0_NGVODRR1006.mp3,900010704_0_NGVODRR1007.mp3,900010705_0_NGVODRR1008.mp3		5
9000108	NG_900_01_HCG	B07_ONE	0	0		900010801_0_NGVODRR1086.mp3		1
9000109	NG_900_01_HCG	B08_LOOP	0	1		900010901_0_NGVODRR1010.mp3,900010902_0_NGVODRR1012.mp3,900010903_0_NGVODRR1013.mp3,900010904_0_NGVODRR1021.mp3		4
9000110	NG_900_01_HCG	B09_ONE	0	0		900011001_0_NGVODRR1087.mp3		1
9000111	NG_900_01_HCG	B13_LOOP	0	1		900011101_0_NGVODRR1022.mp3,900011102_0_NGVODRR1023.mp3		2
9000112	NG_900_01_HCG	B14_ONE	0	0		900011201_0_NGVODRR1088.mp3		1
9000113	NG_900_01_HCG	B15_LOOP	0	1		900011301_0_NGVODRR1024.mp3,900011302_0_NGVODRR1025.mp3,900011303_0_NGVODRR1026.mp3		3
9000114	NG_900_01_HCG	B13_LOOP	0	1		900011401_0_NGVODRR1028.mp3,900011402_0_NGVODRR1030.mp3		2
9000115	NG_900_01_HCG	B19_LOOP	0	1		900011501_0_NGVODRR1033.mp3,900011502_0_NGVODRR1034.mp3		2
9000116	NG_900_01_HCG	B21_2_LOOP	0	1		900011601_0_NGVODRR1037.mp3,900011602_0_NGVODRR1038.mp3		2
9000117	NG_900_01_HCG	B22_LOOP	0	1		900011701_0_NGVODRR1039.mp3,900011702_0_NGVODRR1040.mp3		2
9000118	NG_900_01_HCG	B27_LOOP	0	1		900011801_0_NGVODRR1049.mp3,900011802_0_NGVODRR1050.mp3,900011803_0_NGVODRR1051.mp3,900011804_0_NGVODRR1055.mp3,900011805_0_NGVODRR1056.mp3		5
9000119	NG_900_01_HCG	B25_LOOP	0	1		900011901_0_NGVODRR1062.mp3		1
9000120	NG_900_01_HCG	B29_LOOP	0	1		900012001_0_NGVODRR1063.mp3		1
9000121	NG_900_01_HCG	B30_LOOP	0	1		900012101_0_NGVODRR1065.mp3,900012102_0_NGVODRR1067.mp3,900012103_0_NGVODRR1068.mp3		3
9000122	NG_900_01_HCG	B31_ONE	0	0		900012201_0_NGVODRR1069.mp3		1
9000123	NG_900_01_HCG	B27_LOOP	0	1		900012301_0_NGVODRR1070.mp3		1
9000124	NG_900_01_HCG	B32_ONE	0	0		900012401_0_NGVODRR1089.mp3		1
9000125	NG_900_01_HCG	B30_LOOP	0	1		900012501_0_NGVODRR1072.mp3,900012502_0_NGVODRR1074.mp3		2
9000126	NG_900_01_HCG	B34_LOOP	0	1		900012601_0_NGVODRR1077.mp3,900012602_0_NGVODRR1079.mp3,900012603_0_NGVODRR1080.mp3		3
9000127	NG_900_01_HCG	B37_ONE	0	0		900012701_0_NGVODRR1081.mp3		1
9000128	NG_900_01_HCG	B38_LOOP	0	1		900012801_0_NGVODRR1082.mp3		1
9000129	NG_900_01_HCG	B39_ONE	0	0				1
9000201	NG_900_02_HCG	B00_loop1_a	0	0	DRR_S01_BGM.mp3			1
9000202	NG_900_02_HCG	B01_one150_a	0	0				1
9000203	NG_900_02_HCG	B02_loop50_a	0	1		900020301_0_NGVODRR2001.mp3,900020302_0_NGVODRR2002.mp3,900020303_0_NGVODRR2003.mp3,900020304_0_NGVODRR2006.mp3		4
9000204	NG_900_02_HCG	B03_one100_a	0	0		900020401_0_NGVODRR2080.mp3		1
9000205	NG_900_02_HCG	B04_loop50_a	0	1		900020501_0_NGVODRR2010.mp3,900020502_0_NGVODRR2014.mp3		2
9000206	NG_900_02_HCG	B05_loop30_a2	0	1		900020601_0_NGVODRR2015.mp3,900020602_0_NGVODRR2019.mp3		2
9000207	NG_900_02_HCG	B06_loop30_a2	0	1		900020701_0_NGVODRR2021.mp3,900020702_0_NGVODRR2023.mp3		2
9000208	NG_900_02_HCG	B08_loop30_a3	0	1		900020801_0_NGVODRR2026.mp3,900020802_0_NGVODRR2027.mp3,900020803_0_NGVODRR2028.mp3,900020804_0_NGVODRR2029.mp3,900020805_0_NGVODRR2030.mp3,900020806_0_NGVODRR2031.mp3,900020807_0_NGVODRR2032.mp3		7
9000209	NG_900_02_HCG	B09_loop30_a3	0	1		900020901_0_NGVODRR2034.mp3,900020902_0_NGVODRR2035.mp3		2
