id	spine	spine_anime	關卡	type	BGM	EFF	對白數	GameTime	ReqClick	排序	是否隱藏
99001101	NGSceneA_01a_01	A01	53	0	fetterGirl01101.mp3		1			2	0
99001102	NGSceneA_01a_02	A02	53	0	fetterGirl01102.mp3		1			2	0
99001103	NGSceneA_01a_01	A03	53	0	fetterGirl01103.mp3		1			2	0
99001104	NGSceneA_01a_03	A04	53	0	fetterGirl01104.mp3		1			2	0
99001105	NGSceneA_01a_02	A05	53	0	fetterGirl01105.mp3		1			2	0
99001106	NGSceneA_01a_01	A06	53	0	fetterGirl01106.mp3		1			2	0
99001107	NGSceneA_01a_04	A07	53	0	fetterGirl01107.mp3		1			2	0
99001108	NGSceneA_01a_05	A08	53	0	fetterGirl01108.mp3		1			2	0
99001109	NGSceneA_01a_06	A09	53	0	fetterGirl01109.mp3		1			2	0
99001110	NGSceneA_01a_07	A10	53	0	fetterGirl01110.mp3		1			2	0
99001111	NGSceneA_01a_08	A11	53	0	fetterGirl01111.mp3		1			2	0
99001112	NGSceneA_01a_09	A12	53	0	fetterGirl01112.mp3		1			2	0
99001113	NGSceneA_01a_10	A13	53	0	fetterGirl01113.mp3		1			2	0
99001114	NGSceneA_01a_08	A14	53	0	fetterGirl01114.mp3		1			2	0
99001115	NGSceneA_01a_08	A15	53	0	fetterGirl01115.mp3		1	11	33	2	0
99001116	NGSceneA_01a_05	A16	53	0	fetterGirl01116.mp3		1			2	0
99001117	NGSceneA_01a_01	A17	53	0	fetterGirl01117.mp3		1			2	0
99002101	NGSceneA_02a_01	A01	134	0	fetterGirl02101.mp3		1			3	0
99002102	NGSceneA_02a_02	A02	134	0	fetterGirl02102.mp3		1			3	0
99002103	NGSceneA_02a_01	A03	134	0	fetterGirl02103.mp3		1			3	0
99002104	NGSceneA_02a_03	A04	134	0	fetterGirl02104.mp3		1			3	0
99002105	NGSceneA_02a_04	A05	134	0	fetterGirl02105.mp3		1			3	0
99002106	NGSceneA_02a_03	A06	134	0	fetterGirl02106.mp3		1			3	0
99002107	NGSceneA_02a_04	A07	134	0	fetterGirl02107.mp3		1			3	0
99002108	NGSceneA_02a_03	A08	134	0	fetterGirl02108.mp3		1			3	0
99002109	NGSceneA_02a_04	A09	134	0	fetterGirl02109.mp3		1			3	0
99002110	NGSceneA_02a_03	A10	134	0	fetterGirl02110.mp3		1			3	0
99002111	NGSceneA_02a_04	A11	134	0	fetterGirl02111.mp3		1			3	0
99002112	NGSceneA_02a_05	A12	134	0	fetterGirl02112.mp3		1			3	0
99002113	NGSceneA_02a_06	A13	134	0	fetterGirl02113.mp3		1			3	0
99002114	NGSceneA_02a_04	A14	134	0	fetterGirl02114.mp3		1			3	0
99002115	NGSceneA_02a_05	A15	134	0	fetterGirl02115.mp3		1			3	0
99002116	NGSceneA_02a_07	A16	134	0	fetterGirl02116.mp3		1			3	0
99002117	NGSceneA_02a_08	A17	134	0	fetterGirl02117.mp3		1			3	0
99002118	NGSceneA_02a_09	A18	134	0	fetterGirl02118.mp3		1			3	0
99002119	NGSceneA_02a_10	A19	134	0	fetterGirl02119.mp3		1			3	0
99002120	NGSceneA_02a_11	A20	134	0	fetterGirl02120.mp3		1			3	0
99002121	NGSceneA_02a_12	A21	134	0	fetterGirl02121.mp3		1			3	0
99002122	NGSceneA_02a_13	A22	134	0	fetterGirl02122.mp3		1			3	0
99002123	NGSceneA_02a_14	A23	134	0	fetterGirl02123.mp3		1			3	0
99002124	NGSceneA_02a_12	A24	134	0	fetterGirl02124.mp3		1			3	0
99002125	NGSceneA_02a_15	A25	134	0	fetterGirl02125.mp3		1			3	0
99002126	NGSceneA_02a_12	A26	134	0	fetterGirl02126.mp3		1			3	0
99002127	NGSceneA_02a_15	A27	134	0	fetterGirl02127.mp3		1			3	0
