ID	Role	BG	StartMovementId	EndMovementId	BGM	EFF	VoiceWait
0010101	993	BG/AVG/avg_bg_112.jpg	001010101	001010101	StoryBgm7.mp3		
0010102	999	BG/AVG/avg_bg_112.jpg	001010201	001010201	StoryBgm7.mp3		
0010103	993	BG/AVG/avg_bg_112.jpg	001010301	001010301	StoryBgm7.mp3		
0010104	993	BG/AVG/avg_bg_112.jpg	001010401	001010401	StoryBgm7.mp3		
0010105	999	BG/AVG/avg_bg_112.jpg	001010501	001010501	StoryBgm7.mp3		
0010106	999	BG/AVG/avg_bg_112.jpg	001010601	001010601	StoryBgm7.mp3		
0010107	999	BG/AVG/avg_bg_112.jpg	001010701	001010702	StoryBgm7.mp3		
0010108	1	BG/AVG/avg_bg_0101.jpg	001010801	001010801	StoryBgm7.mp3		
0010109	999	BG/AVG/avg_bg_0101.jpg	001010901	001010901	StoryBgm7.mp3		
0010110	999	BG/AVG/avg_bg_0101.jpg	001011001	001011001	StoryBgm7.mp3		
0010111	999	BG/AVG/avg_bg_0101.jpg	001011101	001011101	StoryBgm7.mp3		
0010112	999	BG/AVG/avg_bg_0101.jpg	001011201	001011201	StoryBgm7.mp3		
0010113	1	BG/AVG/avg_bg_0101.jpg	001011301	001011301	StoryBgm7.mp3		
0010114	1	BG/AVG/avg_bg_0101.jpg	001011401	001011401	StoryBgm7.mp3		
0010115	999	BG/AVG/avg_bg_0101.jpg	001011501	001011501	StoryBgm7.mp3		
0010116	1	BG/AVG/avg_bg_0101.jpg	001011601	001011601	StoryBgm7.mp3		
0010117	1	BG/AVG/avg_bg_0101.jpg	001011701	001011701	StoryBgm7.mp3		
0010118	999	BG/AVG/avg_bg_0101.jpg	001011801	001011801	StoryBgm7.mp3		
0010119	999	BG/AVG/avg_bg_0101.jpg	001011901	001011901	StoryBgm7.mp3		
0010120	999	BG/AVG/avg_bg_0101.jpg	001012001	001012001	StoryBgm7.mp3		
0010121	1	BG/AVG/avg_bg_0101.jpg	001012101	001012101	StoryBgm7.mp3		
