ID	TYPE	SPINE	Define	Position	Wait	Transform	Rotate	Scale	Time	Parent	SpawnId
001010101	12	BG/AVG/avg_bg_112.jpg	0	0	0	0	0	1	0		
001010201	0		0	0	0	0	0	1	0		
001010301	0		0	0	0	0	0	1	0		
001010401	0		0	0	0	0	0	1	0		
001010501	0		0	0	0	0	0	1	0		
001010601	0		0	0	0	0	0	1	0		
001010701	4	F9	0	0	0	0	0	1	0		
001010702	12	BG/AVG/avg_bg_0101.jpg	0	0	0.5	0	0	1	0		
001010801	0		0	0	0	0	0	1	0		
001010901	0		0	0	0	0	0	1	0		
001011001	0		0	0	0	0	0	1	0		
001011101	0		0	0	0	0	0	1	0		
001011201	0		0	0	0	0	0	1	0		
001011301	0		0	0	0	0	0	1	0		
001011401	0		0	0	0	0	0	1	0		
001011501	0		0	0	0	0	0	1	0		
001011601	0		0	0	0	0	0	1	0		
001011701	0		0	0	0	0	0	1	0		
001011801	0		0	0	0	0	0	1	0		
001011901	0		0	0	0	0	0	1	0		
001012001	0		0	0	0	0	0	1	0		
001012101	0		0	0	0	0	0	1	0		
001012201	0		0	0	0	0	0	1	0		
001012301	0		0	0	0	0	0	1	0		
001012401	0		0	0	0	0	0	1	0		
001012501	0		0	0	0	0	0	1	0		
001012601	0		0	0	0	0	0	1	0		
001012701	0		0	0	0	0	0	1	0		
001012801	0		0	0	0	0	0	1	0		
001012901	0		0	0	0	0	0	1	0		
001013001	0		0	0	0	0	0	1	0		
001013101	0		0	0	0	0	0	1	0		
001020101	12	BG/AVG/avg_bg_112.jpg	0	0	0	0	0	1	0		
001020201	0		0	0	0	0	0	1	0		
001020301	0		0	0	0	0	0	1	0		
001020401	0		0	0	0	0	0	1	0		
001020501	0		0	0	0	0	0	1	0		
001020601	0		0	0	0	0	0	1	0		
001020701	0		0	0	0	0	0	1	0		
001020801	4	F9	0	0	0	0	0	1	0		
001020802	12	BG/AVG/avg_bg_0102.jpg	0	0	0.5	0	0	1	0		
001020901	0		0	0	0	0	0	1	0		
