id	item
1	10000_1011_500
2	30000_104202_3
3	30000_201003_1
4	30000_203003_1
5	30000_104203_1
6	30000_103001_3
7	30000_110805_1
8	30000_312070_10
9	10000_1011_500
10	30000_104202_3
11	30000_201003_1
12	30000_203003_1
13	30000_104203_1
14	30000_103001_3
15	30000_110805_1
16	30000_312070_10
17	40000_61320001_1
18	10000_1011_500
19	30000_104202_3
20	30000_201003_1
21	30000_203003_1
22	30000_104203_1
23	30000_103001_3
24	30000_110805_1
25	30000_312070_10
26	40000_61320001_1
27	10000_1011_500
28	30000_104202_3
29	30000_201003_1
30	30000_203003_1
31	30000_104203_1
32	30000_103001_3
33	30000_110805_1
34	30000_312070_10
35	40000_61320001_1
36	40000_61320001_1
