商品编号	物品ID	钻石销售价格	宝石卷兑换消耗	VIP可见	宝石卷可否购买
1	501001	40	30000_106001_2	0	2
2	502001	40	30000_106001_2	0	2
3	503001	40	30000_106001_2	0	2
4	504001	40	30000_106001_2	0	2
5	505001	40	30000_106001_2	0	2
6	506001	40	30000_106001_2	0	2
7	507001	40	30000_106001_2	0	2
8	508001	40	30000_106001_2	0	2
9	509001	40	30000_106001_2	0	2
10	510001	40	30000_106001_2	0	2
11	511001	40	30000_106001_2	0	2
12	512001	40	30000_106001_2	0	2
13	513001	40	30000_106001_2	0	2
14	514001	40	30000_106001_2	0	2
15	515001	40	30000_106001_2	0	2
