商品编号	物品ID	钻石销售价格	宝石卷兑换消耗	VIP可见	宝石卷可否购买	铜币	组别
1	104002	40	30000_104001_50	0	2	10000_1002_5000	1
2	104003	80	30000_104001_75	0	2	10000_1002_7500	1
3	104004	160	30000_104001_100	0	2	10000_1002_10000	1
4	104012	320	30000_104011_150	0	2	10000_1002_12500	2
5	104013	640	30000_104011_200	0	2	10000_1002_15000	2
6	104014	1280	30000_104011_400	0	2	10000_1002_17500	2
7	104022	2560	30000_104021_250	0	2	10000_1002_20000	3
8	104023	5120	30000_104021_600	0	2	10000_1002_22500	3
9	104024	10240	30000_104021_1200	0	2	10000_1002_25000	3
10	104032	40	30000_104031_500	0	2	10000_1002_27500	4
11	104033	80	30000_104031_1000	0	2	10000_1002_30000	4
12	104034	160	30000_104031_2000	0	2	10000_1002_32500	4
13	110101	320	30000_104037_1000	0	2	10000_1002_5000	5
14	110102	640	30000_104037_2000	0	2	10000_1002_20000	5
15	110103	1280	30000_104037_3000	0	2	10000_1002_40000	5
16	110201	2560	30000_104038_1000	0	2	10000_1002_5000	6
17	110202	5120	30000_104038_2000	0	2	10000_1002_20000	6
18	110203	10240	30000_104038_3000	0	2	10000_1002_40000	6
