id	属性类型	全身强化加成	升星基础属性	升星成长属性
1	106	80,170,260,370,490,620,770,930,1120,1320,1550,1810,2090,2400,2750,3130,3550,4000,4500,5040,5620,6250,6930,7660,8440,9280,10180,11130,12150,13230,14380,15590,16880,18230,19660,21170,22760,24420,26170,28000	1000	1000
2	108	100,210,340,480,630,800,990,1200,1430,1700,1990,2320,2690,3090,3540,4020,4560,5140,5780,6470,7220,8030,8910,9850,10850,11930,13080,14310,15620,17010,18480,20050,21700,23440,25280,27220,29260,31400,33650,36000	500	500
3	101	500,1100,1700,2400,3200,4000,5000,6000,7200,8500,10000,11600,13500,15500,17700,20100,22800,25700,28900,32400,36100,40200,44600,49300,54300,59700,65400,71600,78100,85100,92400,100300,108500,117200,126400,136100,146300,157000,168300,180000	300	300
4	105	80,170,260,370,490,620,770,930,1120,1320,1550,1810,2090,2400,2750,3130,3550,4000,4500,5040,5620,6250,6930,7660,8440,9280,10180,11130,12150,13230,14380,15590,16880,18230,19660,21170,22760,24420,26170,28000	500	500
5	104	110,240,380,530,700,890,1100,1330,1590,1890,2220,2580,2990,3430,3930,4470,5070,5720,6420,7190,8030,8930,9900,10940,12060,13260,14540,15900,17350,18900,20540,22270,24110,26040,28090,30240,32510,34890,37390,40000	200	200
6	1007	10,20,30,40,55,70,85,100,120,145,170,195,225,260,295,335,380,430,485,540,605,670,745,825,905,995,1090,1195,1305,1420,1540,1675,1810,1955,2110,2270,2440,2620,2805,3000	200	200
7	107	80,170,260,370,490,620,770,930,1120,1320,1550,1810,2090,2400,2750,3130,3550,4000,4500,5040,5620,6250,6930,7660,8440,9280,10180,11130,12150,13230,14380,15590,16880,18230,19660,21170,22760,24420,26170,28000	8	8
8	110	70,150,250,340,450,580,710,870,1040,1230,1440,1680,1940,2230,2550,2910,3290,3720,4180,4680,5220,5800,6430,7110,7840,8620,9450,10340,11280,12290,13350,14480,15670,16930,18260,19660,21130,22680,24300,26000	200	200
9	2103	10,20,30,40,55,70,85,100,120,145,170,195,225,260,295,335,380,430,485,540,605,670,745,825,905,995,1090,1195,1305,1420,1540,1675,1810,1955,2110,2270,2440,2620,2805,3000	20	20
10	2104	10,20,30,40,55,70,85,100,120,145,170,195,225,260,295,335,380,430,485,540,605,670,745,825,905,995,1090,1195,1305,1420,1540,1675,1810,1955,2110,2270,2440,2620,2805,3000	700	700
11	2001	200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,3800,4000,4200,4400,4600,4800,5000,5200,5400,5600,5800,6000,6200,6400,6600,6800,7000,7200,7400,7600,7800,8000	700	700
12	1010	200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,3800,4000,4200,4400,4600,4800,5000,5200,5400,5600,5800,6000,6200,6400,6600,6800,7000,7200,7400,7600,7800,8000	700	700
13	1004	250,500,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500,3750,4000,4250,4500,4750,5000,5250,5500,5750,6000,6250,6500,6750,7000,7250,7500,7750,8000,8250,8500,8750,9000,9250,9500,9750,10000	7	7
14	1009	10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400	7	7
15	2009	150,300,450,600,750,900,1050,1200,1350,1500,1650,1800,1950,2100,2250,2400,2550,2700,2850,3000,3150,3300,3450,3600,3750,3900,4050,4200,4350,4500,4650,4800,4950,5100,5250,5400,5550,5700,5850,6000	1000	1000
16	1008	50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000	1000	1000
17	2002	200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,3800,4000,4200,4400,4600,4800,5000,5200,5400,5600,5800,6000,6200,6400,6600,6800,7000,7200,7400,7600,7800,8000	800	800
18	2008	150,300,450,600,750,900,1050,1200,1350,1500,1650,1800,1950,2100,2250,2400,2550,2700,2850,3000,3150,3300,3450,3600,3750,3900,4050,4200,4350,4500,4650,4800,4950,5100,5250,5400,5550,5700,5850,6000	800	800
19	1001	200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,3800,4000,4200,4400,4600,4800,5000,5200,5400,5600,5800,6000,6200,6400,6600,6800,7000,7200,7400,7600,7800,8000	300	300
20	1006	50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000	800	800
