id	装备id	神器属性个数	所需声望	所需熔炼值	最低等级	最高等级
1	50351050	1	1000	8000	1	34
2	50352050	1	1000	8000	1	34
3	50353050	1	1000	8000	1	34
4	50351060	1	1000	8000	1	34
5	50352060	1	1000	8000	1	34
6	50353060	1	1000	8000	1	34
7	50350010	1	1000	8000	1	34
8	50350020	1	1000	8000	1	34
9	50350030	1	1000	8000	1	34
10	50350040	1	1000	8000	1	34
11	50350070	1	1000	8000	1	34
12	50350080	1	1000	8000	1	34
13	50350090	1	1000	8000	1	34
14	50350100	1	1000	8000	1	34
15	50401050	1	1000	8000	35	39
16	50402050	1	1000	8000	35	39
17	50403050	1	1000	8000	35	39
18	50401060	1	1000	8000	35	39
19	50402060	1	1000	8000	35	39
20	50403060	1	1000	8000	35	39
21	50400010	1	1000	8000	35	39
22	50400020	1	1000	8000	35	39
23	50400030	1	1000	8000	35	39
24	50400040	1	1000	8000	35	39
25	50400070	1	1000	8000	35	39
26	50400080	1	1000	8000	35	39
27	50400090	1	1000	8000	35	39
28	50400100	1	1000	8000	35	39
29	50451050	1	1000	8000	40	44
30	50452050	1	1000	8000	40	44
31	50453050	1	1000	8000	40	44
32	50451060	1	1000	8000	40	44
33	50452060	1	1000	8000	40	44
34	50453060	1	1000	8000	40	44
35	50450010	1	1000	8000	40	44
36	50450020	1	1000	8000	40	44
37	50450030	1	1000	8000	40	44
38	50450040	1	1000	8000	40	44
39	50450070	1	1000	8000	40	44
40	50450080	1	1000	8000	40	44
41	50450090	1	1000	8000	40	44
42	50450100	1	1000	8000	40	44
43	50501050	1	1000	8000	45	49
44	50502050	1	1000	8000	45	49
45	50503050	1	1000	8000	45	49
46	50501060	1	1000	8000	45	49
47	50502060	1	1000	8000	45	49
48	50503060	1	1000	8000	45	49
49	50500010	1	1000	8000	45	49
50	50500020	1	1000	8000	45	49
51	50500030	1	1000	8000	45	49
52	50500040	1	1000	8000	45	49
53	50500070	1	1000	8000	45	49
54	50500080	1	1000	8000	45	49
55	50500090	1	1000	8000	45	49
56	50500100	1	1000	8000	45	49
57	50551050	1	1000	8000	50	54
58	50552050	1	1000	8000	50	54
59	50553050	1	1000	8000	50	54
60	50551060	1	1000	8000	50	54
61	50552060	1	1000	8000	50	54
62	50553060	1	1000	8000	50	54
63	50550010	1	1000	8000	50	54
64	50550020	1	1000	8000	50	54
65	50550030	1	1000	8000	50	54
66	50550040	1	1000	8000	50	54
67	50550070	1	1000	8000	50	54
68	50550080	1	1000	8000	50	54
69	50550090	1	1000	8000	50	54
70	50550100	1	1000	8000	50	54
71	50601050	1	1000	8000	55	59
72	50602050	1	1000	8000	55	59
73	50603050	1	1000	8000	55	59
74	50601060	1	1000	8000	55	59
75	50602060	1	1000	8000	55	59
76	50603060	1	1000	8000	55	59
77	50600010	1	1000	8000	55	59
78	50600020	1	1000	8000	55	59
79	50600030	1	1000	8000	55	59
80	50600040	1	1000	8000	55	59
81	50600070	1	1000	8000	55	59
82	50600080	1	1000	8000	55	59
83	50600090	1	1000	8000	55	59
84	50600100	1	1000	8000	55	59
85	50651050	1	1000	8000	60	64
86	50652050	1	1000	8000	60	64
87	50653050	1	1000	8000	60	64
88	50651060	1	1000	8000	60	64
89	50652060	1	1000	8000	60	64
90	50653060	1	1000	8000	60	64
91	50650010	1	1000	8000	60	64
92	50650020	1	1000	8000	60	64
93	50650030	1	1000	8000	60	64
94	50650040	1	1000	8000	60	64
95	50650070	1	1000	8000	60	64
96	50650080	1	1000	8000	60	64
97	50650090	1	1000	8000	60	64
98	50650100	1	1000	8000	60	64
99	50701050	1	1000	8000	65	69
100	50702050	1	1000	8000	65	69
101	50703050	1	1000	8000	65	69
102	50701060	1	1000	8000	65	69
103	50702060	1	1000	8000	65	69
104	50703060	1	1000	8000	65	69
105	50700010	1	1000	8000	65	69
106	50700020	1	1000	8000	65	69
107	50700030	1	1000	8000	65	69
108	50700040	1	1000	8000	65	69
109	50700070	1	1000	8000	65	69
110	50700080	1	1000	8000	65	69
111	50700090	1	1000	8000	65	69
112	50700100	1	1000	8000	65	69
113	50751050	1	1000	8000	70	74
114	50752050	1	1000	8000	70	74
115	50753050	1	1000	8000	70	74
116	50751060	1	1000	8000	70	74
117	50752060	1	1000	8000	70	74
118	50753060	1	1000	8000	70	74
119	50750010	1	1000	8000	70	74
120	50750020	1	1000	8000	70	74
121	50750030	1	1000	8000	70	74
122	50750040	1	1000	8000	70	74
123	50750070	1	1000	8000	70	74
124	50750080	1	1000	8000	70	74
125	50750090	1	1000	8000	70	74
126	50750100	1	1000	8000	70	74
127	50801050	1	1000	8000	75	79
128	50802050	1	1000	8000	75	79
129	50803050	1	1000	8000	75	79
130	50801060	1	1000	8000	75	79
131	50802060	1	1000	8000	75	79
132	50803060	1	1000	8000	75	79
133	50800010	1	1000	8000	75	79
134	50800020	1	1000	8000	75	79
135	50800030	1	1000	8000	75	79
136	50800040	1	1000	8000	75	79
137	50800070	1	1000	8000	75	79
138	50800080	1	1000	8000	75	79
139	50800090	1	1000	8000	75	79
140	50800100	1	1000	8000	75	79
141	50851050	1	1000	8000	80	84
142	50852050	1	1000	8000	80	84
143	50853050	1	1000	8000	80	84
144	50851060	1	1000	8000	80	84
145	50852060	1	1000	8000	80	84
146	50853060	1	1000	8000	80	84
147	50850010	1	1000	8000	80	84
148	50850020	1	1000	8000	80	84
149	50850030	1	1000	8000	80	84
150	50850040	1	1000	8000	80	84
151	50850070	1	1000	8000	80	84
152	50850080	1	1000	8000	80	84
153	50850090	1	1000	8000	80	84
154	50850100	1	1000	8000	80	84
155	50901050	1	1000	8000	85	89
156	50902050	1	1000	8000	85	89
157	50903050	1	1000	8000	85	89
158	50901060	1	1000	8000	85	89
159	50902060	1	1000	8000	85	89
160	50903060	1	1000	8000	85	89
161	50900010	1	1000	8000	85	89
162	50900020	1	1000	8000	85	89
163	50900030	1	1000	8000	85	89
164	50900040	1	1000	8000	85	89
165	50900070	1	1000	8000	85	89
166	50900080	1	1000	8000	85	89
167	50900090	1	1000	8000	85	89
168	50900100	1	1000	8000	85	89
169	50951050	1	1000	8000	90	200
170	50952050	1	1000	8000	90	200
171	50953050	1	1000	8000	90	200
172	50951060	1	1000	8000	90	200
173	50952060	1	1000	8000	90	200
174	50953060	1	1000	8000	90	200
175	50950010	1	1000	8000	90	200
176	50950020	1	1000	8000	90	200
177	50950030	1	1000	8000	90	200
178	50950040	1	1000	8000	90	200
179	50950070	1	1000	8000	90	200
180	50950080	1	1000	8000	90	200
181	50950090	1	1000	8000	90	200
182	50950100	1	1000	8000	90	200
