id	名称(name)	类型(type)	等级限制(levelLimit)	职业限制(profLimit)	出售价格(price)	配对物品(needItem)	包含物品(containItem)	宝石升级消耗(levelUpCost)	宝石升级概率(levelUpRate)	宝石升级目标(levelUpItem)	力量(strenght)	敏捷(agility)	智力(intellect)	耐力(stamina)	物品图标	升级目标最大消耗	物品描述	兑换需要熔炼值	time	品质	页面跳转	魂石经验	技能经验	英雄令任务	宝石类型	可镶嵌部位	宝石属性	新旧宝石功能列	宝石等级	升级宝石消耗	宝石兑换宝石卷	套装碎片卖水晶	图纸等级	部位	道具描述2	背包筛选类型	背包排序ID
1	@RoleSoul_1	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_001.png	0	@RoleSoul_Desc_1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1001
2	@RoleSoul_2	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_002.png	0	@RoleSoul_Desc_2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1002
3	@RoleSoul_3	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_003.png	0	@RoleSoul_Desc_3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1003
4	@RoleSoul_4	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_004.png	0	@RoleSoul_Desc_4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1004
5	@RoleSoul_5	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_005.png	0	@RoleSoul_Desc_5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1005
6	@RoleSoul_6	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_006.png	0	@RoleSoul_Desc_6	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1006
7	@RoleSoul_7	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_007.png	0	@RoleSoul_Desc_7	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1007
8	@RoleSoul_8	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_008.png	0	@RoleSoul_Desc_8	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1008
9	@RoleSoul_9	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_009.png	0	@RoleSoul_Desc_9	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1009
10	@RoleSoul_10	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_010.png	0	@RoleSoul_Desc_10	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1010
11	@RoleSoul_11	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_011.png	0	@RoleSoul_Desc_11	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1011
12	@RoleSoul_12	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_012.png	0	@RoleSoul_Desc_12	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1012
13	@RoleSoul_13	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_013.png	0	@RoleSoul_Desc_13	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1013
14	@RoleSoul_14	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_014.png	0	@RoleSoul_Desc_14	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1014
15	@RoleSoul_15	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_015.png	0	@RoleSoul_Desc_15	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1015
16	@RoleSoul_16	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_016.png	0	@RoleSoul_Desc_16	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1016
17	@RoleSoul_17	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_017.png	0	@RoleSoul_Desc_17	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1017
18	@RoleSoul_18	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_018.png	0	@RoleSoul_Desc_18	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1018
