level	冰伤害	火伤害	雷伤害	冰抗性	火抗性	雷抗性	冰伤害百分比	火伤害百分比	雷伤害百分比	冰抗性百分比	火抗性百分比	雷抗性百分比	力量	敏捷	智力	耐力
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	1.08	1.08	1.08	1.08	1.08	1.08	1	1	1	1	1	1	1.08	1.08	1.08	1.08
3	1.15	1.15	1.15	1.15	1.15	1.15	1	1	1	1	1	1	1.15	1.15	1.15	1.15
4	1.23	1.23	1.23	1.23	1.23	1.23	1	1	1	1	1	1	1.23	1.23	1.23	1.23
5	1.31	1.31	1.31	1.31	1.31	1.31	1	1	1	1	1	1	1.31	1.31	1.31	1.31
6	1.38	1.38	1.38	1.38	1.38	1.38	1	1	1	1	1	1	1.38	1.38	1.38	1.38
7	1.47	1.47	1.47	1.47	1.47	1.47	1	1	1	1	1	1	1.47	1.47	1.47	1.47
8	1.55	1.55	1.55	1.55	1.55	1.55	1	1	1	1	1	1	1.55	1.55	1.55	1.55
9	1.63	1.63	1.63	1.63	1.63	1.63	1	1	1	1	1	1	1.63	1.63	1.63	1.63
10	1.71	1.71	1.71	1.71	1.71	1.71	1	1	1	1	1	1	1.71	1.71	1.71	1.71
11	1.8	1.8	1.8	1.8	1.8	1.8	1	1	1	1	1	1	1.8	1.8	1.8	1.8
12	1.88	1.88	1.88	1.88	1.88	1.88	1	1	1	1	1	1	1.88	1.88	1.88	1.88
13	1.97	1.97	1.97	1.97	1.97	1.97	1	1	1	1	1	1	1.97	1.97	1.97	1.97
14	2.06	2.06	2.06	2.06	2.06	2.06	1	1	1	1	1	1	2.06	2.06	2.06	2.06
15	2.14	2.14	2.14	2.14	2.14	2.14	1	1	1	1	1	1	2.14	2.14	2.14	2.14
16	2.23	2.23	2.23	2.23	2.23	2.23	1	1	1	1	1	1	2.23	2.23	2.23	2.23
17	2.32	2.32	2.32	2.32	2.32	2.32	1	1	1	1	1	1	2.32	2.32	2.32	2.32
18	2.42	2.42	2.42	2.42	2.42	2.42	1	1	1	1	1	1	2.42	2.42	2.42	2.42
19	2.51	2.51	2.51	2.51	2.51	2.51	1	1	1	1	1	1	2.51	2.51	2.51	2.51
20	2.6	2.6	2.6	2.6	2.6	2.6	1	1	1	1	1	1	2.6	2.6	2.6	2.6
21	2.69	2.69	2.69	2.69	2.69	2.69	1	1	1	1	1	1	2.69	2.69	2.69	2.69
22	2.79	2.79	2.79	2.79	2.79	2.79	1	1	1	1	1	1	2.79	2.79	2.79	2.79
23	2.89	2.89	2.89	2.89	2.89	2.89	1	1	1	1	1	1	2.89	2.89	2.89	2.89
24	2.98	2.98	2.98	2.98	2.98	2.98	1	1	1	1	1	1	2.98	2.98	2.98	2.98
25	3.08	3.08	3.08	3.08	3.08	3.08	1	1	1	1	1	1	3.08	3.08	3.08	3.08
26	3.18	3.18	3.18	3.18	3.18	3.18	1	1	1	1	1	1	3.18	3.18	3.18	3.18
27	3.28	3.28	3.28	3.28	3.28	3.28	1	1	1	1	1	1	3.28	3.28	3.28	3.28
28	3.38	3.38	3.38	3.38	3.38	3.38	1	1	1	1	1	1	3.38	3.38	3.38	3.38
29	3.48	3.48	3.48	3.48	3.48	3.48	1	1	1	1	1	1	3.48	3.48	3.48	3.48
30	3.58	3.58	3.58	3.58	3.58	3.58	1	1	1	1	1	1	3.58	3.58	3.58	3.58
31	3.69	3.69	3.69	3.69	3.69	3.69	1	1	1	1	1	1	3.69	3.69	3.69	3.69
32	3.79	3.79	3.79	3.79	3.79	3.79	1	1	1	1	1	1	3.79	3.79	3.79	3.79
33	3.89	3.89	3.89	3.89	3.89	3.89	1	1	1	1	1	1	3.89	3.89	3.89	3.89
34	4	4	4	4	4	4	1	1	1	1	1	1	4	4	4	4
35	4.1	4.1	4.1	4.1	4.1	4.1	1	1	1	1	1	1	4.1	4.1	4.1	4.1
36	4.21	4.21	4.21	4.21	4.21	4.21	1	1	1	1	1	1	4.21	4.21	4.21	4.21
37	4.32	4.32	4.32	4.32	4.32	4.32	1	1	1	1	1	1	4.32	4.32	4.32	4.32
38	4.43	4.43	4.43	4.43	4.43	4.43	1	1	1	1	1	1	4.43	4.43	4.43	4.43
39	4.53	4.53	4.53	4.53	4.53	4.53	1	1	1	1	1	1	4.53	4.53	4.53	4.53
40	4.65	4.65	4.65	4.65	4.65	4.65	1	1	1	1	1	1	4.65	4.65	4.65	4.65
41	4.76	4.76	4.76	4.76	4.76	4.76	1	1	1	1	1	1	4.76	4.76	4.76	4.76
42	4.87	4.87	4.87	4.87	4.87	4.87	1	1	1	1	1	1	4.87	4.87	4.87	4.87
43	4.98	4.98	4.98	4.98	4.98	4.98	1	1	1	1	1	1	4.98	4.98	4.98	4.98
44	5.09	5.09	5.09	5.09	5.09	5.09	1	1	1	1	1	1	5.09	5.09	5.09	5.09
45	5.21	5.21	5.21	5.21	5.21	5.21	1	1	1	1	1	1	5.21	5.21	5.21	5.21
46	5.33	5.33	5.33	5.33	5.33	5.33	1	1	1	1	1	1	5.33	5.33	5.33	5.33
47	5.44	5.44	5.44	5.44	5.44	5.44	1	1	1	1	1	1	5.44	5.44	5.44	5.44
48	5.56	5.56	5.56	5.56	5.56	5.56	1	1	1	1	1	1	5.56	5.56	5.56	5.56
49	5.67	5.67	5.67	5.67	5.67	5.67	1	1	1	1	1	1	5.67	5.67	5.67	5.67
50	5.79	5.79	5.79	5.79	5.79	5.79	1	1	1	1	1	1	5.79	5.79	5.79	5.79
51	5.91	5.91	5.91	5.91	5.91	5.91	1	1	1	1	1	1	5.91	5.91	5.91	5.91
52	6.03	6.03	6.03	6.03	6.03	6.03	1	1	1	1	1	1	6.03	6.03	6.03	6.03
53	6.15	6.15	6.15	6.15	6.15	6.15	1	1	1	1	1	1	6.15	6.15	6.15	6.15
54	6.28	6.28	6.28	6.28	6.28	6.28	1	1	1	1	1	1	6.28	6.28	6.28	6.28
55	6.4	6.4	6.4	6.4	6.4	6.4	1	1	1	1	1	1	6.4	6.4	6.4	6.4
56	6.52	6.52	6.52	6.52	6.52	6.52	1	1	1	1	1	1	6.52	6.52	6.52	6.52
57	6.64	6.64	6.64	6.64	6.64	6.64	1	1	1	1	1	1	6.64	6.64	6.64	6.64
58	6.77	6.77	6.77	6.77	6.77	6.77	1	1	1	1	1	1	6.77	6.77	6.77	6.77
59	6.89	6.89	6.89	6.89	6.89	6.89	1	1	1	1	1	1	6.89	6.89	6.89	6.89
