id	大将池类型	小将池类型	奖励	是否必中	图片路径	帮助说明	动画缩放	动画偏移	跳转id	按钮描述
110	1	1	70000_112_6	1	BG/Activity_139/Act_139_wenpin.png	0	1	0,-30	0	@LiveNiudanGetWay1
111	1	2	70000_228_6	1	BG/Activity_139/Act_139_wenpin.png	HelpRewardRateXingzhanshi139a	0.8	0,-80	0	0
101	1	2	70000_228_2	0	BG/Activity_139/Act_139_wenpin.png	0	1	0,0	0	0
102	1	2	30000_299992_3	0		0	1	0,0	0	0
103	1	2	30000_106001_20	0		0	1	0,0	0	0
104	1	2	30000_101001_100	0		0	1	0,0	0	0
105	1	2	30000_106011_1	0		0	1	0,0	0	0
106	1	2	30000_103001_2	0		0	1	0,0	0	0
107	1	2	30000_103002_2	0		0	1	0,0	0	0
108	1	2	30000_202013_2	0		0	1	0,0	0	0
210	2	1	70000_111_6	1	BG/Activity_139/Act_139_xiaoqiao.png	0	1	30,-90	0	@LiveNiudanGetWay2
211	2	2	70000_229_6	1	BG/Activity_139/Act_139_xiaoqiao.png	HelpRewardRateXingzhanshi139b	1.15	0,-100	0	0
201	2	2	70000_229_2	0	BG/Activity_139/Act_139_xiaoqiao.png	0	1	0,0	0	0
202	2	2	30000_299992_3	0		0	1	0,0	0	0
203	2	2	30000_106001_20	0		0	1	0,0	0	0
204	2	2	30000_101001_100	0		0	1	0,0	0	0
205	2	2	30000_106011_1	0		0	1	0,0	0	0
206	2	2	30000_103001_2	0		0	1	0,0	0	0
207	2	2	30000_103002_2	0		0	1	0,0	0	0
208	2	2	30000_202013_2	0		0	1	0,0	0	0
310	3	1	70000_118_6	1	BG/Activity_139/Act_139_lvlingqi.png	0	1.1	0,-50	0	@LiveNiudanGetWay3
311	3	2	70000_231_6	1	BG/Activity_139/Act_139_lvlingqi.png	HelpRewardRateXingzhanshi139c	0.75	0,-110	0	0
301	3	2	70000_231_2	0	BG/Activity_139/Act_139_lvlingqi.png	0	1	0,0	0	0
302	3	2	30000_299992_3	0		0	1	0,0	0	0
303	3	2	30000_106001_20	0		0	1	0,0	0	0
304	3	2	30000_101001_100	0		0	1	0,0	0	0
305	3	2	30000_106011_1	0		0	1	0,0	0	0
306	3	2	30000_103001_2	0		0	1	0,0	0	0
307	3	2	30000_103002_2	0		0	1	0,0	0	0
308	3	2	30000_202013_2	0		0	1	0,0	0	0
410	4	1	70000_108_6	1	BG/Activity_139/Act_139_zhenji.png	0	0.8	0,0	0	@LiveNiudanGetWay4
411	4	2	70000_230_6	1	BG/Activity_139/Act_139_zhenji.png	HelpRewardRateXingzhanshi139d	1.15	0,-100	0	0
401	4	2	70000_230_2	0	BG/Activity_139/Act_139_zhenji.png	0	1	0,0	0	0
402	4	2	30000_299992_3	0		0	1	0,0	0	0
403	4	2	30000_106001_20	0		0	1	0,0	0	0
404	4	2	30000_101001_100	0		0	1	0,0	0	0
405	4	2	30000_106011_1	0		0	1	0,0	0	0
406	4	2	30000_103001_2	0		0	1	0,0	0	0
407	4	2	30000_103002_2	0		0	1	0,0	0	0
408	4	2	30000_202013_2	0		0	1	0,0	0	0
