id	mercenaryId	include	awardAttr
1	101	103	2009_800
2	101	118	1004_1400
3	102	134	1004_1200
4	102	113	108_3520
5	103	101	2009_600
6	103	131	1004_1000
7	104	171	2009_800
8	104	125	1004_1400
9	105	112	2009_1000
10	105	116	2001_300,2002_300
11	106	153	2009_1200
12	106	171	1004_2000
13	107	130	2009_1200
14	107	147	1008_1200
15	108	105	2009_1000
16	108	102	1004_1600
17	109	124	2009_1000
18	109	194	1004_2000
19	111	122	2009_1000
20	111	161	2001_300,2002_300
21	112	131	2009_1000
22	112	105	1008_1000
23	113	137	2009_1000
24	113	102	2001_300,2002_300
25	114	131	2009_800
26	114	203	1004_1400
27	115	120	2009_1000
28	115	163	2001_300,2002_300
29	116	138	2009_1200
30	116	105	1007_300
31	117	103	2009_800
32	117	101	108_3520
33	118	101	2009_1000
34	118	116	108_4200
35	119	174	1004_1500
36	119	129	2001_300,2002_300
37	120	180	1004_1500
38	120	105	1007_250
39	121	130	1004_1500
40	121	154	1007_250
41	122	111	1004_1500
42	122	137	1007_250
43	123	180	1004_1800
44	123	162	2009_1600
45	124	135	2009_1000
46	124	109	1007_250
47	125	120	2009_1000
48	125	161	1007_300
49	126	149	2009_1000
50	126	177	1004_1600
51	127	118	2009_1000
52	127	157	2001_300,2002_300
53	128	126	2009_1200
54	128	179	1004_2000
55	129	108	2009_1200
56	129	140	108_5280
57	130	106	2009_1200
58	130	176	2103_660
59	131	103	2009_800
60	131	134	1004_1400
61	132	114	1004_1500
62	132	126	2009_1200
63	133	105	1004_1800
64	133	168	2009_1600
65	134	131	1004_1200
66	134	102	1007_200
67	135	161	1004_1800
68	135	194	108_7680
69	136	180	1004_1500
70	136	120	1007_250
71	137	122	2009_1000
72	137	113	1008_1000
73	138	201	1004_1800
74	138	116	2009_1600
75	139	155	2009_1200
76	139	178	108_5280
77	140	118	2009_1200
78	140	123	1004_2000
79	141	194	2009_1000
80	141	152	1004_1600
81	142	162	1004_1500
82	142	193	1007_250
83	143	138	2009_1200
84	143	122	1004_2000
85	144	119	1004_1500
86	144	125	2009_1200
87	145	109	2009_1200
88	145	219	2001_400,2002_400
89	146	178	1004_1500
90	146	170	2009_1200
91	147	157	2009_1200
92	147	169	108_5280
93	148	108	2009_1200
94	148	143	108_5280
95	149	144	2009_1200
