id	名字	bossId	地图图片路径	怪物等级区间	装备掉率	副本类型
1	@Map_1	1001	map/map_001.png	Lv1-3	920	0
2	@Map_2	1002	map/map_002.png	Lv2-4	920	0
3	@Map_3	1003	map/map_003.png	Lv3-6	920	0
4	@Map_4	1004	map/map_004.png	Lv5-8	920	0
5	@Map_5	1005	map/map_005.png	Lv7-10	1127	0
6	@Map_6	1006	map/map_006.png	Lv9-12	1127	0
7	@Map_7	1007	map/map_007.png	Lv11-14	1127	0
8	@Map_8	1008	map/map_008.png	Lv13-16	1160	0
9	@Map_9	1009	map/map_009.png	Lv15-18	1192	0
10	@Map_10	1010	map/map_010.png	Lv17-20	1224	0
11	@Map_11	1011	map/map_011.png	Lv19-22	1217	0
12	@Map_12	1012	map/map_012.png	Lv21-24	1248	0
13	@Map_13	1013	map/map_013.png	Lv23-26	1620	0
14	@Map_14	1014	map/map_014.png	Lv25-28	1610	0
15	@Map_15	1015	map/map_015.png	Lv27-30	1600	0
16	@Map_16	1016	map/map_016.png	Lv29-32	1739	0
17	@Map_17	1017	map/map_017.png	Lv31-34	1765	0
18	@Map_18	1018	map/map_018.png	Lv33-36	1791	0
19	@Map_19	1019	map/map_019.png	Lv35-38	1816	0
20	@Map_20	1020	map/map_020.png	Lv37-40	1840	0
21	@Map_21	1021	map/map_021.png	Lv39-42	1864	0
22	@Map_22	1022	map/map_022.png	Lv41-44	2420	0
23	@Map_23	1023	map/map_023.png	Lv43-46	2430	0
24	@Map_24	1024	map/map_024.png	Lv45-48	2440	0
25	@Map_25	1025	map/map_025.png	Lv47-50	2450	0
26	@Map_26	1026	map/map_002.png	Lv49-52	2460	0
27	@Map_27	1027	map/map_026.png	Lv51-54	2470	0
28	@Map_28	1028	map/map_011.png	Lv53-56	2480	0
29	@Map_29	1029	map/map_003.png	Lv55-58	2490	0
30	@Map_30	1030	map/map_027.png	Lv57-60	2500	0
31	@Map_31	1031	map/map_009.png	Lv59-62	2510	0
32	@Map_32	1032	map/map_006.png	Lv61-64	2520	0
33	@Map_33	1033	map/map_013.png	Lv63-66	2825	0
34	@Map_34	1034	map/map_010.png	Lv65-68	2832	0
35	@Map_35	1035	map/map_016.png	Lv67-70	2839	0
36	@Map_36	1036	map/map_028.png	Lv69-72	2846	0
