id	Spine	EffName	BulletName	Icon	Name	Info	Skin	Reflect	Class	Element	Level	Skills	IsMagic	Strenght	Intellect	Agility	Stamina	HP	Attack	Magic	PhyPenetrate	MagPenetrate	PhyDef	MagDef	RecoverHP	CriDamage	CriResist	Critical	Hit	Dodge	Immunity	ATKRange	ATKSpeed	WSpeed	RSpeed	AttackEFF	Hurt_EFF_X	Hurt_EFF_Y	Hurt_EFF_Head	ATKMP	DEFMP	SKMP	ClassCorrection
1	Spine/CharacterSpine,Enemy01	Enemy01	Enemy01	monster/Monster_1.png	300001	350001	1	0	1	1	2	500101	0	60	40	20	150	750	65	45	0	0	93	87	0	0.5	30	10	26	14	0	10	2500	1.6	2.4	hit0101	45	90	180	8	7	8	1
2	Spine/CharacterSpine,Enemy01	Enemy01	Enemy01	monster/Monster_2.png	300002	350002	2	0	1	2	2	500101	0	60	40	20	150	750	65	45	0	0	93	87	0	0.5	30	10	26	14	0	10	2500	1.6	2.4	hit0103	45	90	180	8	7	8	1
3	Spine/CharacterSpine,Enemy09			monster/Monster_9_1.png	300003	350003	1	0	2	3	1	500101	0	60	30	10	60	300	63	33	0	0	48	39	0	0.5	12	5	21	14	0	180	2500	1.2	1.8	hit0301	45	90	180	10	5	10	1
4	Spine/CharacterSpine,Enemy01	Enemy01	Enemy01	monster/Monster_4.png	300004	350004	4	0	2	4	5	500101	0	300	150	50	300	1500	313	163	0	0	240	195	0	0.5	60	25	105	68	0	10	2500	1.6	2.4	hit0104	45	90	180	10	5	10	1
5	Spine/CharacterSpine,Enemy01	Enemy01	Enemy01	monster/Monster_5.png	300005	350005	5	0	1	5	3	500101	0	90	60	30	225	1125	98	68	0	0	140	131	0	0.5	45	15	39	20	0	0	2500	1.6	2.4	hit0105	45	90	180	8	7	8	1
6	Spine/CharacterSpine,Enemy02	Enemy02	Enemy02	monster/Monster_1.png	300006	350006	1	0	2	1	3	500101	0	180	90	30	180	900	188	98	0	0	144	117	0	0.5	36	15	63	41	0	30	2500	2	3	hit0201	45	90	180	10	5	10	1
7	Spine/CharacterSpine,Enemy02	Enemy02	Enemy02	monster/Monster_2.png	300007	350007	2	0	2	2	4	500101	0	240	120	40	240	1200	250	130	0	0	192	156	0	0.5	48	20	84	54	0	30	2500	2	3	hit0203	45	90	180	10	5	10	1
8	Spine/CharacterSpine,Enemy09			monster/Monster_9_2.png	300008	350008	2	0	1	3	1	500101	0	30	20	10	75	375	33	23	0	0	47	44	0	0.5	15	5	13	7	0	180	2500	1.2	1.8	hit0305	45	90	180	8	7	8	1
9	Spine/CharacterSpine,Enemy02	Enemy02	Enemy02	monster/Monster_4.png	300009	350009	4	0	2	4	4	500101	0	240	120	40	240	1200	250	130	0	0	192	156	0	0.5	48	20	84	54	0	30	2500	2	3	hit0204	45	90	180	10	5	10	1
10	Spine/CharacterSpine,Enemy02	Enemy02	Enemy02	monster/Monster_5.png	300010	350010	5	0	2	5	2	500101	0	120	60	20	120	600	125	65	0	0	96	78	0	0.5	24	10	42	27	0	0	2500	2	3	hit0205	45	90	180	10	5	10	1
11	Spine/CharacterSpine,Enemy03	Enemy03	Enemy03	monster/Monster_1.png	300011	350011	1	0	2	1	2	500101	0	120	60	20	120	450	125	65	0	0	96	78	0	0.5	24	10	42	0	0	30	2500	2	3	hit0201	45	90	180	10	5	10	1
12	Spine/CharacterSpine,Enemy03	Enemy03	Enemy03	monster/Monster_2.png	300012	350012	2	0	1	2	5	500101	0	150	100	50	375	1875	163	113	0	0	233	218	0	0.5	75	25	65	34	0	30	2500	2	3	hit0203	45	90	180	8	7	8	1
13	Spine/CharacterSpine,Enemy09			monster/Monster_9_3.png	300013	350013	3	0	1	3	3	500101	0	90	60	30	225	1125	98	68	0	0	140	131	0	0.5	45	15	39	20	0	180	2500	1.2	1.8	hit0302	45	90	180	8	7	8	1
14	Spine/CharacterSpine,Enemy03	Enemy03	Enemy03	monster/Monster_4.png	300014	350014	4	0	2	4	1	500101	0	60	30	10	60	300	63	33	0	0	48	39	0	0.5	12	5	21	14	0	30	2500	2	3	hit0204	45	90	180	10	5	10	1
15	Spine/CharacterSpine,Enemy03	Enemy03	Enemy03	monster/Monster_5.png	300015	350015	5	0	1	5	6	500101	0	180	120	60	450	2250	195	135	0	0	279	261	0	0.5	90	30	78	41	0	0	2500	2	3	hit0205	45	90	180	8	7	8	1
16	Spine/CharacterSpine,Enemy04	Enemy04	Enemy04	monster/Monster_1.png	300016	350016	1	0	1	1	2	500101	0	60	40	20	150	750	65	45	0	0	93	87	0	0.5	30	10	26	14	0	0	2500	1.6	2.4	hit0401	45	90	180	8	7	8	1
17	Spine/CharacterSpine,Enemy04	Enemy04	Enemy04	monster/Monster_2.png	300017	350017	2	0	2	2	3	500101	0	180	90	30	180	900	188	98	0	0	144	117	0	0.5	36	15	63	41	0	0	2500	1.6	2.4	hit0403	45	90	180	10	5	10	1
18	Spine/CharacterSpine,Enemy04	Enemy04	Enemy04	monster/Monster_3.png	300018	350018	3	0	2	3	4	500101	0	240	120	40	240	1200	250	130	0	0	192	156	0	0.5	48	20	84	54	0	0	2500	1.6	2.4	hit0402	45	90	180	10	5	10	1
19	Spine/CharacterSpine,Enemy04	Enemy04	Enemy04	monster/Monster_4.png	300019	350019	4	0	1	4	6	500101	0	180	120	60	450	2250	195	135	0	0	279	261	0	0.5	90	30	78	41	0	0	2500	1.6	2.4	hit0404	45	90	180	8	7	8	1
20	Spine/CharacterSpine,Enemy04	Enemy04	Enemy04	monster/Monster_5.png	300020	350020	5	0	2	5	4	500101	0	240	120	40	240	1200	250	130	0	0	192	156	0	0.5	48	20	84	54	0	0	2500	1.6	2.4	hit0405	45	90	180	10	5	10	1
21	Spine/CharacterSpine,Enemy05	Enemy05	Enemy05	monster/Monster_1.png	300021	350021	1	0	4	1	5	500101	1	75	300	50	225	1125	88	313	0	0	135	203	0	0.5	45	25	90	60	0	180	2500	1.2	1.8	hit0301	45	90	180	6	9	6	1
