id	职业(profession)	等级(level）	名字(name)	技能(skills)	怪物头像路径	怪物半身像路径	怪物类型	spineId	is镜像
101	2001	1	@multiM_1010	0	monster/M_1_07.png	HalfBody/monster/Body_gjb1hong.png	1	0	0
102	2001	1	@multiM_1020	0	monster/M_1_08.png	HalfBody/monster/Body_gjb2hong.png	0	0	0
103	2001	1	@multiM_1030	0	monster/M_1_06.png	HalfBody/monster/Body_zjb3hong.png	0	0	0
104	2001	1	@multiM_1040	0	monster/M_1_05.png	HalfBody/monster/Body_zjb2hong.png	0	0	0
105	2001	1	@multiM_1050	0	UI/Role/Mercenary_Portrait_zhangxingcai.png	HalfBody/role/body_zhangxingcai.png	0	0	1
106	2001	1	@multiM_1060	0	UI/Role/Mercenary_Portrait_xiahoudun.png	HalfBody/role/body_xiahoudun.png	0	0	0
107	2001	1	@multiM_1070	0	UI/Role/Player_Portrait_Warrior.png	HalfBody/role/body_Woman_Warrior.png	0	0	1
201	2001	1	@multiM_2010	0	monster/M_2_07.png	HalfBody/monster/Body_gjb1lan.png	1	0	0
202	2002	1	@multiM_2020	0	monster/M_2_08.png	HalfBody/monster/Body_gjb2lan.png	0	0	0
203	2003	1	@multiM_2030	0	monster/M_2_06.png	HalfBody/monster/Body_zjb3lan.png	0	0	0
204	2001	1	@multiM_2040	0	monster/M_2_09.png	HalfBody/monster/Body_gjb3lan.png	0	0	0
205	2003	1	@multiM_2050	0	UI/Role/Mercenary_Portrait_caiwenji.png	HalfBody/role/body_caiwenji.png	0	0	1
206	2003	1	@multiM_2060	0	UI/Role/Mercenary_Portrait_daqiao.png	HalfBody/role/body_daqiao.png	0	0	0
207	2002	1	@multiM_2070	0	UI/Role/Player_Portrait_Hunter.png	HalfBody/role/body_Woman_Hunter.png	0	0	1
301	2001	1	@multiM_3010	0	monster/M_1_07.png	HalfBody/monster/Body_gjb1hong.png	1	0	0
302	2001	1	@multiM_3020	0	monster/M_1_09.png	HalfBody/monster/Body_gjb3hong.png	0	0	0
303	2001	1	@multiM_3030	0	monster/M_1_06.png	HalfBody/monster/Body_zjb3hong.png	0	0	0
304	2003	1	@multiM_3040	0	UI/Role/Mercenary_Portrait_daqiao.png	HalfBody/role/body_daqiao.png	0	0	0
305	2003	1	@multiM_3050	0	UI/Role/Mercenary_Portrait_caiwenji.png	HalfBody/role/body_caiwenji.png	0	0	1
306	2001	1	@multiM_3060	0	UI/Role/Player_Portrait_Warrior.png	HalfBody/role/body_Woman_Warrior.png	0	0	1
401	2001	1	@multiM_4010	0	monster/M_2_07.png	HalfBody/monster/Body_gjb1lan.png	1	0	0
402	2001	1	@multiM_4020	0	monster/M_2_09.png	HalfBody/monster/Body_gjb3lan.png	0	0	0
403	2001	1	@multiM_4030	0	monster/M_2_06.png	HalfBody/monster/Body_zjb3lan.png	0	0	0
404	2001	1	@multiM_4040	0	monster/M_2_09.png	HalfBody/monster/Body_gjb3lan.png	0	0	0
405	2001	1	@multiM_4050	0	monster/M_2_03.png	HalfBody/monster/Body_cjb3lan.png	0	0	0
406	2001	1	@multiM_4060	0	monster/M_3_07.png	HalfBody/monster/Body_gjb1hei.png	0	0	0
407	2001	1	@multiM_4070	0	monster/M_3_09.png	HalfBody/monster/Body_gjb3hei.png	0	0	0
408	2001	1	@multiM_4080	0	monster/M_3_06.png	HalfBody/monster/Body_zjb3hei.png	0	0	0
409	2001	1	@multiM_4090	0	monster/M_3_09.png	HalfBody/monster/Body_gjb3hei.png	0	0	0
410	2001	1	@multiM_4100	0	monster/M_3_03.png	HalfBody/monster/Body_cjb3hei.png	0	0	0
411	2001	1	@multiM_4110	0	monster/M_4_07.png	HalfBody/monster/Body_gjb1lv.png	0	0	0
412	2001	1	@multiM_4120	0	monster/M_5_09.png	HalfBody/monster/Body_gjb3huang.png	0	0	0
501	2003	1	@multiM_5010	0	monster/M_4_06.png	HalfBody/monster/Body_zjb3lv.png	1	0	0
502	2003	1	@multiM_5020	0	monster/M_3_05.png	HalfBody/monster/Body_zjb2hei.png	0	0	0
503	2002	1	@multiM_5030	0	monster/M_4_03.png	HalfBody/monster/Body_cjb3lv.png	0	0	0
504	2001	1	@multiM_5040	0	UI/Role/Player_Portrait_Warrior.png	HalfBody/role/body_Woman_Warrior.png	0	0	1
505	2003	1	@multiM_5050	0	UI/Role/Mercenary_Portrait_zhugeliang.png	HalfBody/role/body_zhugeliang.png	0	0	1
506	2003	1	@multiM_5060	0	UI/Role/Mercenary_Portrait_daqiao.png	HalfBody/role/body_daqiao.png	0	0	0
601	2003	1	@multiM_6010	0	monster/M_1_07.png	HalfBody/monster/Body_gjb1hong.png	1	0	0
602	2001	1	@multiM_6020	0	monster/M_1_08.png	HalfBody/monster/Body_gjb2hong.png	0	0	0
603	2001	1	@multiM_6030	0	monster/M_1_06.png	HalfBody/monster/Body_zjb3hong.png	0	0	0
604	2002	1	@multiM_6040	0	monster/M_1_05.png	HalfBody/monster/Body_zjb2hong.png	0	0	0
605	2003	1	@multiM_6050	0	monster/M_1_03.png	HalfBody/monster/Body_cjb3hong.png	0	0	0
606	2003	1	@multiM_6060	0	UI/Role/Mercenary_Portrait_caiwenji.png	HalfBody/role/body_caiwenji.png	0	0	1
607	2002	1	@multiM_6070	0	UI/Role/Player_Portrait_Hunter.png	HalfBody/role/body_Woman_Hunter.png	0	0	1
608	2001	1	@multiM_6080	0	UI/Role/Player_Portrait_Warrior.png	HalfBody/role/body_Woman_Warrior.png	0	0	1
701	2001	1	@multiMXmas_1010	0	monster/Mercenary_Portrait_Elite_zhangfei.png	HalfBody/role/body_zhangfei.png	1	0	1
702	2001	1	@multiMXmas_1020	0	monster/Mercenary_Portrait_Elite_lidian.png	HalfBody/role/body_lidian.png	0	0	1
703	2001	1	@multiMXmas_1030	0	monster/Xmas_01.png	HalfBody/monster/Body_Xmas1.png	0	0	1
704	2001	1	@multiMXmas_1040	0	monster/Xmas_02.png	HalfBody/monster/Body_Xmas2.png	0	0	1
705	2001	1	@multiMXmas_1050	0	monster/Xmas_03.png	HalfBody/monster/Body_Xmas3.png	0	0	1
706	2001	1	@multiMXmas_1060	0	monster/Xmas_04.png	HalfBody/monster/Body_Xmas4.png	0	0	1
801	2003	1	@multiMTravelS1_1010	0	monster/TravelS1_01.png	HalfBody/monster/Body_S1_1.png	0	0	0
802	2001	1	@multiMTravelS1_1020	0	monster/TravelS1_02.png	HalfBody/monster/Body_S1_2.png	0	0	0
803	2002	1	@multiMTravelS1_1030	0	monster/TravelS1_03.png	HalfBody/monster/Body_S1_3.png	0	0	0
804	2003	1	@multiMTravelS1_1040	0	monster/TravelS1_04.png	HalfBody/monster/Body_S1_4.png	1	0	0
805	2003	1	@multiMTravelS1_1050	0	monster/TravelS1_05.png	HalfBody/monster/Body_S1_5.png	1	0	0
806	2001	1	@multiMTravelS1_1060	0	monster/TravelS1_06.png	HalfBody/monster/Body_S1_6.png	0	0	0
807	2002	1	@multiMTravelS1_1070	0	monster/TravelS1_07.png	HalfBody/monster/Body_S1_7.png	1	0	0
808	2002	1	@multiMTravelS1_1080	0	monster/TravelS1_08.png	HalfBody/monster/Body_S1_8.png	0	0	0
901	2002	1	@multiMTravelS2_1010	0	monster/TravelS2_01.png	HalfBody/monster/Body_S2_1.png	0	0	0
902	2003	1	@multiMTravelS2_1020	0	monster/TravelS2_02.png	HalfBody/monster/Body_S2_2.png	0	0	0
903	2001	1	@multiMTravelS2_1030	0	monster/TravelS2_03.png	HalfBody/monster/Body_S2_3.png	0	0	0
904	2003	1	@multiMTravelS2_1040	0	monster/TravelS2_04.png	HalfBody/monster/Body_S2_4.png	0	0	0
905	2001	1	@multiMTravelS2_1050	0	monster/TravelS2_05.png	HalfBody/monster/Body_S2_5.png	1	0	0
906	2002	1	@multiMTravelS2_1060	0	monster/TravelS2_06.png	HalfBody/monster/Body_S2_6.png	1	0	0
1001	2003	1	@multiMTravelS3_1010	0	monster/TravelS3_01.png	HalfBody/monster/Body_S3_1.png	0	0	0
1002	2001	1	@multiMTravelS3_1020	0	monster/TravelS3_02.png	HalfBody/monster/Body_S3_2.png	0	0	0
1003	2003	1	@multiMTravelS3_1030	0	monster/TravelS3_03.png	HalfBody/monster/Body_S3_3.png	0	0	0
1004	2001	1	@multiMTravelS3_1040	0	monster/TravelS3_04.png	HalfBody/monster/Body_S3_4.png	1	0	0
1005	2002	1	@multiMTravelS3_1050	0	monster/TravelS3_05.png	HalfBody/monster/Body_S3_5.png	0	0	0
1006	2003	1	@multiMTravelS3_1060	0	monster/TravelS3_06.png	HalfBody/monster/Body_S3_6.png	0	0	0
1101	2001	1	@multiMTravelS4_1010	0	monster/TravelS4_01.png	HalfBody/monster/Body_S4_1.png	0	0	0
1102	2002	1	@multiMTravelS4_1020	0	monster/TravelS4_02.png	HalfBody/monster/Body_S4_2.png	0	0	0
1103	2002	1	@multiMTravelS4_1030	0	monster/TravelS4_03.png	HalfBody/monster/Body_S4_3.png	0	0	0
1104	2003	1	@multiMTravelS4_1040	0	monster/TravelS4_04.png	HalfBody/monster/Body_S4_4.png	0	0	0
1105	2001	1	@multiMTravelS4_1050	0	monster/TravelS4_05.png	HalfBody/monster/Body_S4_5.png	0	0	0
1106	2003	1	@multiMTravelS4_1060	0	monster/TravelS4_06.png	HalfBody/monster/Body_S4_6.png	1	0	0
1107	2001	1	@multiMTravelS4_1070	0	monster/TravelS4_07.png	HalfBody/monster/Body_S4_7.png	0	0	0
1201	2001	1	@multiMTravelS5_1010	0	monster/TravelS5_01.png	HalfBody/monster/Body_S5_1.png	0	0	0
1202	2002	1	@multiMTravelS5_1020	0	monster/TravelS5_02.png	HalfBody/monster/Body_S5_2.png	0	0	0
1203	2002	1	@multiMTravelS5_1030	0	monster/TravelS5_03.png	HalfBody/monster/Body_S5_3.png	0	0	0
1204	2003	1	@multiMTravelS5_1040	0	monster/TravelS5_04.png	HalfBody/monster/Body_S5_4.png	1	0	0
1205	2001	1	@multiMTravelS5_1050	0	monster/TravelS5_05.png	HalfBody/monster/Body_S5_5.png	0	0	0
1206	2003	1	@multiMTravelS5_1060	0	monster/TravelS5_06.png	HalfBody/monster/Body_S5_6.png	0	0	0
9011	2003	50	@Monster_90119	28,21	UI/Role/Mercenary_Portrait_liuxie.png	HalfBody/role/body_liuxie.png	1	1	1
