id	poolId	rewards	scale	offset
1	1	30000_299992_3	0	0
2	1	30000_101001_100	0	0
3	1	30000_106001_20	0	0
4	1	70000_158_3	0	0
5	1	30000_106011_1	0	0
6	1	30000_103001_2	0	0
7	1	30000_103002_2	0	0
8	2	70000_158_12	0	0
9	1	30000_202013_2	0	0
10	3	30000_299992_3	0	0
11	3	30000_101001_100	0	0
12	3	30000_106001_20	0	0
13	3	70000_220_2	0	0
14	3	30000_106011_1	0	0
15	3	30000_103001_2	0	0
16	3	30000_103002_2	0	0
17	4	70000_220_5	0	0
18	3	30000_202013_2	0	0
1001	158	0	0.75	0
2000	0	0	0.75	0,30
3000	0	0	0.95	0,120
4000	0	0	0.93	0,30
