id	type	param	des	first_drop	normal_drop	monster	star	fightvalue
1	1		@PveTongTianTatcontent4	10000_1004_4000,10000_1001_50	30000_104211_1,10000_1002_4000	800102,800101	20,10	0
2	1		@PveTongTianTatcontent4	10000_1004_4000,30000_202001_1	30000_101001_1,10000_1002_4000	800202,800201	20,10	0
3	1		@PveTongTianTatcontent4	10000_1004_4000,30000_202011_1	30000_104211_1,10000_1002_4000	800302,800301	20,10	0
4	1		@PveTongTianTatcontent4	10000_1004_4000,30000_202001_1	30000_101001_1,10000_1002_4000	800402,800401	20,10	0
5	1		@PveTongTianTatcontent4	10000_1001_50,10000_1004_4000,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_4000	800507,800503,800502,800501	20,10	10000
6	1		@PveTongTianTatcontent4	10000_1004_5400,30000_202011_1	30000_101001_1,10000_1002_4000	800603,800602,800601	20,10	0
7	1		@PveTongTianTatcontent4	10000_1004_5400,30000_202001_1	30000_104211_1,10000_1002_4000	800703,800702,800701	20,10	0
8	1		@PveTongTianTatcontent4	10000_1004_5400,30000_202011_1	30000_101001_1,10000_1002_4000	800803,800802,800801	20,10	0
9	1		@PveTongTianTatcontent4	10000_1004_5400,30000_202001_1	30000_104211_1,10000_1002_4000	800903,800902,800901	20,10	0
10	1		@PveTongTianTatcontent4	10000_1001_50,10000_1004_5400,30000_202012_1,30000_202002_1	30000_106001_1,10000_1002_4000	801007,801003,801002,801001	20,10	10000
11	1		@PveTongTianTatcontent4	10000_1004_6800,30000_202011_1	30000_104211_1,10000_1002_4000	801103,801102,801101	20,10	0
12	1		@PveTongTianTatcontent4	10000_1004_6800,30000_202001_1	30000_101001_1,10000_1002_4000	801203,801202,801201	20,10	0
13	1		@PveTongTianTatcontent4	10000_1004_6800,30000_202011_1	30000_104211_1,10000_1002_4000	801303,801302,801301	20,10	0
14	1		@PveTongTianTatcontent4	10000_1004_6800,30000_202001_1	30000_101001_1,10000_1002_4000	801403,801402,801401	20,10	0
15	2	5	@PveTongTianTatcontent4	10000_1001_50,10000_1004_6800,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_4000	801507,801503,801502,801501	20,10	10000
16	1		@PveTongTianTatcontent4	10000_1004_8800,30000_202011_1	30000_101001_1,10000_1002_4000	801603,801602,801601	20,10	0
17	1		@PveTongTianTatcontent4	10000_1004_8800,30000_202001_1	30000_104211_1,10000_1002_4000	801703,801702,801701	20,10	0
