id	reward
1	10000_1001_100,10000_1002_200000,30000_50003_3
2	10000_1001_100,10000_1002_250000,30000_50003_3
3	10000_1001_150,10000_1002_300000,30000_50003_3
4	10000_1001_150,10000_1002_500000,30000_50003_3
5	10000_1001_200,10000_1002_800000,30000_50003_3
6	10000_1001_200,10000_1002_1000000,30000_50003_3
7	10000_1001_300,10000_1002_1200000,30000_50003_3
8	10000_1001_300,10000_1002_1500000,30000_50003_3
9	10000_1001_500,10000_1002_2000000,30000_50003_3
10	10000_1001_500,10000_1002_2500000,30000_50003_3
11	10000_1001_1000,10000_1002_3000000,30000_50003_3
