id	type	rank	reward
1	2	@RankGift1	10000_1001_2000,30000_90005_20,10000_1002_2000000
2	2	@RankGift2	10000_1001_1500,30000_90005_15,10000_1002_1200000
3	2	@RankGift3	10000_1001_1200,30000_90005_12,10000_1002_900000
4	2	@RankGift10	10000_1001_900,30000_90005_9,10000_1002_700000
5	2	@RankGift20	10000_1001_600,30000_90005_6,10000_1002_500000
6	2	@RankGift50	10000_1001_400,30000_90005_4,10000_1002_300000
7	1	@RankGift1	30000_20409_1,30000_60001_400,10000_1002_2000000
8	1	@RankGift2	30000_20408_1,30000_60001_300,10000_1002_1200000
9	1	@RankGift3	30000_20408_1,30000_60001_200,10000_1002_900000
10	1	@RankGift10	30000_20407_1,30000_60001_150,10000_1002_700000
11	1	@RankGift20	30000_20406_1,30000_60001_100,10000_1002_500000
12	1	@RankGift50	30000_20405_1,30000_60001_50,10000_1002_300000
