id	type	content	mission	award
1	1	@rankServerContent_01	100000	10000_1001_10
2	1	@rankServerContent_01	150000	10000_1001_10
3	1	@rankServerContent_01	200000	10000_1001_10
4	1	@rankServerContent_01	250000	10000_1001_10
5	1	@rankServerContent_01	300000	10000_1001_10
6	1	@rankServerContent_01	350000	10000_1001_10
7	1	@rankServerContent_01	400000	10000_1001_10
8	1	@rankServerContent_01	450000	10000_1001_10
9	1	@rankServerContent_01	500000	10000_1001_10
10	1	@rankServerContent_01	550000	10000_1001_10
11	1	@rankServerContent_01	600000	10000_1001_10
12	1	@rankServerContent_01	650000	10000_1001_10
13	1	@rankServerContent_01	700000	10000_1001_10
14	1	@rankServerContent_01	750000	10000_1001_10
15	1	@rankServerContent_01	800000	10000_1001_10
16	1	@rankServerContent_01	850000	10000_1001_10
17	1	@rankServerContent_01	900000	10000_1001_10
18	1	@rankServerContent_01	950000	10000_1001_10
19	1	@rankServerContent_01	1000000	10000_1001_10
20	1	@rankServerContent_01	1100000	10000_1001_10
21	1	@rankServerContent_01	1200000	10000_1001_10
22	1	@rankServerContent_01	1300000	10000_1001_10
23	1	@rankServerContent_01	1400000	10000_1001_10
24	1	@rankServerContent_01	1500000	10000_1001_10
25	1	@rankServerContent_01	1600000	10000_1001_10
26	1	@rankServerContent_01	1700000	10000_1001_10
27	1	@rankServerContent_01	1800000	10000_1001_10
28	1	@rankServerContent_01	1900000	10000_1001_10
29	1	@rankServerContent_01	2000000	10000_1001_10
30	1	@rankServerContent_01	2250000	10000_1001_10
31	1	@rankServerContent_01	2500000	10000_1001_10
32	1	@rankServerContent_01	2750000	10000_1001_10
33	1	@rankServerContent_01	3000000	10000_1001_10
34	1	@rankServerContent_01	3250000	10000_1001_10
35	1	@rankServerContent_01	3500000	10000_1001_10
36	1	@rankServerContent_01	3750000	10000_1001_10
37	1	@rankServerContent_01	4000000	10000_1001_10
38	1	@rankServerContent_01	4250000	10000_1001_10
39	1	@rankServerContent_01	4500000	10000_1001_10
40	1	@rankServerContent_01	4750000	10000_1001_10
41	1	@rankServerContent_01	5000000	10000_1001_10
42	1	@rankServerContent_01	5500000	10000_1001_10
43	1	@rankServerContent_01	6000000	10000_1001_10
44	1	@rankServerContent_01	6500000	10000_1001_10
45	1	@rankServerContent_01	7000000	10000_1001_10
46	1	@rankServerContent_01	7500000	10000_1001_10
47	1	@rankServerContent_01	8000000	10000_1001_10
48	1	@rankServerContent_01	8500000	10000_1001_10
49	1	@rankServerContent_01	9000000	10000_1001_10
50	1	@rankServerContent_01	9500000	10000_1001_10
51	1	@rankServerContent_01	10000000	10000_1001_10
101	2	@rankServerContent_02	50	10000_1001_10
102	2	@rankServerContent_02	60	10000_1001_10
103	2	@rankServerContent_02	70	10000_1001_10
104	2	@rankServerContent_02	80	10000_1001_10
105	2	@rankServerContent_02	90	10000_1001_10
106	2	@rankServerContent_02	100	10000_1001_10
107	2	@rankServerContent_02	110	10000_1001_10
108	2	@rankServerContent_02	120	10000_1001_10
109	2	@rankServerContent_02	130	10000_1001_10
