id	等级	职业	力量	敏捷	智力	耐力	转生力量	转生敏捷	转生智力	转生耐力
1	90	1	281	99	99	191	475	297	297	387
2	91	1	284	100	100	193	525	322	307	422
3	92	1	287	101	101	195	575	347	317	457
4	93	1	290	102	102	197	625	372	327	492
5	94	1	293	103	103	199	675	397	337	527
6	95	1	296	104	104	201	725	422	347	562
7	96	1	299	105	105	203	775	447	357	597
8	97	1	302	106	106	205	825	472	367	632
9	98	1	305	107	107	207	875	497	377	667
10	99	1	308	108	108	209	925	522	387	702
11	100	1	311	109	109	211	975	479	397	737
12	90	2	99	282	99	190	318	529	318	418
13	91	2	100	285	100	192	338	579	338	448
14	92	2	101	288	101	194	358	629	358	478
15	93	2	102	291	102	196	378	679	378	508
16	94	2	103	294	103	198	398	729	398	538
17	95	2	104	297	104	200	418	779	418	568
18	96	2	105	300	105	202	438	829	438	598
19	97	2	106	303	106	204	458	879	458	628
20	98	2	107	306	107	206	478	929	478	658
21	99	2	108	309	108	208	498	979	498	688
22	100	2	109	312	109	210	518	1029	518	718
23	90	3	99	99	282	190	299	299	482	390
24	91	3	100	100	285	192	319	324	532	415
25	92	3	101	101	288	194	339	349	582	440
26	93	3	102	102	291	196	359	374	632	465
27	94	3	103	103	294	198	379	399	682	490
28	95	3	104	104	297	200	399	424	732	515
29	96	3	105	105	300	202	419	449	782	540
30	97	3	106	106	303	204	439	474	832	565
31	98	3	107	107	306	206	459	499	882	590
32	99	3	108	108	309	208	479	524	932	615
33	100	3	109	109	312	210	499	549	982	640
