id	rewardItems
1	10000_1002_500000,30000_104212_5,30000_103102_1
2	10000_1002_1000000,30000_104212_10,30000_103102_2
3	10000_1002_2000000,30000_104212_20,30000_103103_1
4	30000_106011_1,30000_104212_30,30000_103103_2
5	30000_106011_2,30000_104212_50,30000_103103_3
6	30000_106011_5,30000_104212_100,30000_103104_2
7	30000_106011_10,30000_104212_200,10000_1001_2700
10001	10000_1002_500000,40000_50200030_1
10002	10000_1002_500000,30000_10001_5
10003	10000_1002_800000
10004	10000_1002_800000,30000_10001_5
10005	10000_1002_1000000
10006	10000_1002_1200000
11	30000_10028_1
12	30000_10027_1
13	30000_10026_1
14	30000_10025_1
15	10000_1002_10000
16	10000_1001_100,10000_1002_200000
17	10000_1001_150,10000_1002_300000
18	10000_1001_350,10000_1002_400000
19	10000_1001_400,10000_1002_500000
20	10000_1001_450,10000_1002_600000
21	10000_1001_750,10000_1002_700000
22	10000_1001_800,10000_1002_800000
23	10000_1001_850,10000_1002_900000
24	10000_1001_900,10000_1002_1100000
25	10000_1001_950,10000_1002_1300000
26	10000_1001_1000,10000_1002_1500000
27	10000_1001_60,30000_11195_1
28	10000_1001_200,30000_11195_4
29	10000_1001_250,30000_11195_5
2901	10000_1001_500,30000_11195_10
2902	10000_1001_1500,30000_11195_30
2903	10000_1001_2500,30000_11195_50
30	10000_1001_1
31	30000_204001_1
32	30000_204002_1
33	10000_1001_100,30000_11169_1
34	10000_1001_150,30000_90007_5
35	10000_1001_240,30000_90007_8
3500	10000_1001_550,30000_90008_5,30000_12001_1
3501	10000_1001_1025,30000_90008_10,30000_12001_2
3502	10000_1001_2450,30000_90009_10,30000_12001_4
41	30000_11134_3,30000_60001_150,30000_90004_2
42	30000_11134_4,30000_60001_200,30000_90004_3
43	30000_11134_6,30000_60001_240,30000_90005_2
44	30000_11134_10,30000_60001_300,30000_90005_3
51	30000_507007_1,30000_60001_500,10000_1011_1000
52	30000_507006_1,30000_60001_400,10000_1011_750
53	30000_507006_1,30000_60001_300,10000_1011_500
54	30000_507005_1,30000_60001_200,10000_1011_400
55	30000_507004_1,30000_60001_150,10000_1011_300
56	30000_507003_1,30000_60001_100,10000_1011_200
24001	10000_1001_20,10000_1011_50,30000_90003_2
24002	10000_1001_100,10000_1011_300,30000_90005_1
26001	30000_101001_10
26002	30000_101002_10
26003	30000_102001_10
26004	30000_102101_10
26005	30000_103001_10
26006	30000_103101_10
26007	30000_11133_1
26008	30000_11128_1
26009	30000_60004_1
26010	30000_84040_5
26011	30000_11191_1
26012	30000_11192_1
26013	30000_11193_1
26014	30000_11191_10
26015	30000_11192_10
26016	30000_11193_10
27001	30000_71010_1
27002	30000_71010_1
27003	30000_71010_1
27004	30000_71010_1
27005	30000_71010_1
27006	10000_1001_100
60001	30000_11134_2,30000_90001_2
60002	30000_11134_5,30000_90001_3
60003	30000_11135_5,30000_103102_2
60004	30000_11135_8,30000_103102_3
60005	30000_11136_10,30000_92003_1
60006	30000_11136_30,30000_92003_5
13101	10000_1002_300000,30000_104101_1,30000_250008_1
13102	30000_7013_5,30000_104101_1,30000_250008_2
13103	30000_104212_30,30000_104101_3,30000_7023_1
13104	30000_104004_5,30000_104101_3,30000_7008_1
13105	30000_104213_15,30000_104101_5,30000_103003_3
13106	30000_7024_1,30000_104101_5,30000_103003_5
13107	90000_109050_1,30000_104101_10,30000_250008_3
