光环ID	佣兵	星级	光环消耗	名称	效果	图片路径	条件	参数1	参数2
10021	102	0	2000	@Skill_Name_10021	@Skill_Desc_10021	skill/S_B_10041.png	@MercenaryOpenLevelTxt	12%	0
10022	102	1	2000	@Skill_Name_10022	@Skill_Desc_10022	skill/S_B_10041.png	@MercenaryOpenLevelTxt	15%	0
10031	103	1	2000	@Skill_Name_10031	@Skill_Desc_10031	skill/S_B_10031.png	@MercenaryOpenLevelTxt	18%	0
10041	104	1	2000	@Skill_Name_10041	@Skill_Desc_10041	skill/S_B_10052.png	@MercenaryOpenLevelTxt	50	0
10042	104	3	2000	@Skill_Name_10042	@Skill_Desc_10042	skill/S_B_10042.png	@MercenaryOpenLevelTxt	20%	0
10051	105	1	2000	@Skill_Name_10051	@Skill_Desc_10051	skill/S_B_10042.png	@MercenaryOpenLevelTxt	30%	0
10052	105	3	2000	@Skill_Name_10052	@Skill_Desc_10052	skill/S_B_10052.png	@MercenaryOpenLevelTxt	85	0
10061	106	1	2000	@Skill_Name_10615	@Skill_Desc_10615	skill/S_B_10071.png	@MercenaryOpenLevelTxt	40%	240
10062	106	3	2000	@Skill_Name_10472	@Skill_Desc_10472	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	180
10071	107	1	2000	@Skill_Name_10281	@Skill_Desc_10281	skill/S_B_10071.png	@MercenaryOpenLevelTxt	38%	200
10072	107	3	2000	@Skill_Name_10282	@Skill_Desc_10282	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	220
10081	108	1	2000	@Skill_Name_10251	@Skill_Desc_10251	skill/S_B_10071.png	@MercenaryOpenLevelTxt	22%	70
10082	108	3	2000	@Skill_Name_10672	@Skill_Desc_10672	skill/S_B_10072.png	@MercenaryOpenLevelTxt	50%	50
10091	109	1	2000	@Skill_Name_10093	@Skill_Desc_10093	skill/S_B_10042.png	@MercenaryOpenLevelTxt	44%	260
10092	109	3	2000	@Skill_Name_10094	@Skill_Desc_10094	skill/S_B_10072.png	@MercenaryOpenLevelTxt	45%	10
10111	111	1	2000	@Skill_Name_10351	@Skill_Desc_10351	skill/S_B_10031.png	@MercenaryOpenLevelTxt	80	0
10112	111	3	2000	@Skill_Name_10352	@Skill_Desc_10352	skill/S_B_10071.png	@MercenaryOpenLevelTxt	22%	20%
10121	112	1	2000	@Skill_Name_10551	@Skill_Desc_10551	skill/S_B_10071.png	@MercenaryOpenLevelTxt	28%	170
10122	112	3	2000	@Skill_Name_10552	@Skill_Desc_10552	skill/S_B_10031.png	@MercenaryOpenLevelTxt	26%	20%
10131	113	1	2000	@Skill_Name_10531	@Skill_Desc_10531	skill/S_B_10071.png	@MercenaryOpenLevelTxt	28%	180
10132	113	3	2000	@Skill_Name_10532	@Skill_Desc_10532	skill/S_B_10031.png	@MercenaryOpenLevelTxt	26%	180
10141	114	1	2000	@Skill_Name_10141	@Skill_Desc_10141	skill/S_B_10071.png	@MercenaryOpenLevelTxt	80	0
