ID	光环ID	效果	光环等级	光环经验	参数1
101	1	@RingLevel_1	1	2000	5%
102	1	@RingLevel_1	2	2400	8%
103	1	@RingLevel_1	3	2800	11%
104	1	@RingLevel_1	4	3600	14%
105	1	@RingLevel_1	5	4000	17%
106	1	@RingLevel_1	6	4400	20%
107	1	@RingLevel_1	7	4800	23%
108	1	@RingLevel_1	8	5400	26%
109	1	@RingLevel_1	9	12000	29%
110	1	@RingLevel_1	10	0	35%
201	2	@RingLevel_2	1	2000	10%
202	2	@RingLevel_2	2	2400	13%
203	2	@RingLevel_2	3	2800	16%
204	2	@RingLevel_2	4	3600	19%
205	2	@RingLevel_2	5	4000	22%
206	2	@RingLevel_2	6	4400	25%
207	2	@RingLevel_2	7	4800	28%
208	2	@RingLevel_2	8	5400	31%
209	2	@RingLevel_2	9	12000	34%
210	2	@RingLevel_2	10	0	40%
301	3	@RingLevel_3	1	2000	15%
302	3	@RingLevel_3	2	2400	19%
303	3	@RingLevel_3	3	2800	23%
304	3	@RingLevel_3	4	3600	27%
305	3	@RingLevel_3	5	4000	31%
306	3	@RingLevel_3	6	4400	35%
307	3	@RingLevel_3	7	4800	39%
308	3	@RingLevel_3	8	5400	43%
309	3	@RingLevel_3	9	12000	47%
310	3	@RingLevel_3	10	0	55%
401	4	@RingLevel_4	1	2000	10%
402	4	@RingLevel_4	2	2400	16%
403	4	@RingLevel_4	3	2800	22%
404	4	@RingLevel_4	4	3600	28%
405	4	@RingLevel_4	5	4000	34%
406	4	@RingLevel_4	6	4400	40%
407	4	@RingLevel_4	7	4800	46%
408	4	@RingLevel_4	8	5400	52%
409	4	@RingLevel_4	9	12000	58%
410	4	@RingLevel_4	10	0	70%
501	5	@RingLevel_5	1	2000	10%
502	5	@RingLevel_5	2	2400	16%
503	5	@RingLevel_5	3	2800	22%
504	5	@RingLevel_5	4	3600	28%
505	5	@RingLevel_5	5	4000	34%
506	5	@RingLevel_5	6	4400	40%
507	5	@RingLevel_5	7	4800	46%
508	5	@RingLevel_5	8	5400	52%
509	5	@RingLevel_5	9	12000	58%
510	5	@RingLevel_5	10	0	70%
601	6	@RingLevel_6	1	2000	30
602	6	@RingLevel_6	2	2400	36
603	6	@RingLevel_6	3	2800	42
604	6	@RingLevel_6	4	3600	48
605	6	@RingLevel_6	5	4000	54
606	6	@RingLevel_6	6	4400	60
607	6	@RingLevel_6	7	4800	66
608	6	@RingLevel_6	8	5400	72
609	6	@RingLevel_6	9	12000	78
610	6	@RingLevel_6	10	0	90
701	7	@RingLevel_7	1	2000	10%
702	7	@RingLevel_7	2	2400	13%
703	7	@RingLevel_7	3	2800	16%
704	7	@RingLevel_7	4	3600	19%
705	7	@RingLevel_7	5	4000	22%
706	7	@RingLevel_7	6	4400	25%
707	7	@RingLevel_7	7	4800	28%
708	7	@RingLevel_7	8	5400	31%
709	7	@RingLevel_7	9	12000	34%
710	7	@RingLevel_7	10	0	40%
801	8	@RingLevel_8	1	2000	10%
802	8	@RingLevel_8	2	2400	14%
803	8	@RingLevel_8	3	2800	18%
804	8	@RingLevel_8	4	3600	22%
805	8	@RingLevel_8	5	4000	26%
806	8	@RingLevel_8	6	4400	30%
807	8	@RingLevel_8	7	4800	34%
808	8	@RingLevel_8	8	5400	38%
809	8	@RingLevel_8	9	12000	42%
810	8	@RingLevel_8	10	0	50%
901	9	@RingLevel_9	1	2000	10%
902	9	@RingLevel_9	2	2400	12%
903	9	@RingLevel_9	3	2800	14%
904	9	@RingLevel_9	4	3600	16%
905	9	@RingLevel_9	5	4000	18%
906	9	@RingLevel_9	6	4400	20%
907	9	@RingLevel_9	7	4800	22%
908	9	@RingLevel_9	8	5400	24%
909	9	@RingLevel_9	9	12000	26%
910	9	@RingLevel_9	10	0	30%
