id	type	quality	profession	level	exp	name	skills	costType	maxRank	picture	icon	proIcon	smallIcon	bgImg	condition	jumpValue	modelId	namePic	avatarName	spine	gatherMeg	banshenxian	spineScale	offset	trainRatio	avataBgPic	chatIcon	hcgImg
基础id	类型	品质	职业	初始等级	初始经验	名字	技能	激活条件	升阶上限	职业角色图	头像	下角標	小图标	背景图	激活说明		皮肤对应	名字图片	时装名字		收集提示语句	半身像	动画缩放	动画位置偏移量	成长率	皮肤背景图和小头像	聊天头像	h圖背景图
1	1	5	1	0	0	@Role_1	1,6,8,3,10,2,5,102	0	1	UI/Program/HeroWarrior_man_3.png	UI/Role/Player_Portrait_Warrior.png	UI/Common/Image_Mercenary_CareerIcon_1.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_01.png	NULL	NULL	0	UI/Common/Activity/Act_TL_LuckyMercenary/Act_TL_LuckyMercenary_Font_Warrior.png	0	Spine/Woman_Warrior,Woman_Warrior		HalfBody/role/King.png	0.45	0,20	1	0	UI/Role/Player_Portrait_chatWarrior.png	BG/Role/role_bg_01.png
2	1	5	2	0	0	@Role_2	12,14,110,19,111,20,17,112	0	1	UI/Program/HeroHunter_man_3.png	UI/Role/Player_Portrait_Hunter.png	UI/Common/Image_Mercenary_CareerIcon_2.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_02.png	NULL	NULL	0	UI/Common/Activity/Act_TL_LuckyMercenary/Act_TL_LuckyMercenary_Font_Hunter.png	0	Spine/Woman_Hunter,Woman_Hunter		HalfBody/role/King.png	1.2	0,90	1	0	UI/Role/Player_Portrait_chatHunter.png	BG/Role/role_bg_02.png
3	1	5	3	0	0	@Role_3	29,21,26,27,120,23,105,28	0	1	UI/Program/HeroMaster_man_3.png	UI/Role/Player_Portrait_Master.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_03.png	NULL	NULL	0	UI/Common/Activity/Act_TL_LuckyMercenary/Act_TL_LuckyMercenary_Font_Master.png	0	Spine/Woman_Master,Woman_Master		HalfBody/role/King.png	0.55	0,40	1	0	UI/Role/Player_Portrait_chatMaster.png	BG/Role/role_bg_03.png
4	1	5	1	0	0	@Role_4	1,6,8,3,10,2,5,102	0	1	UI/Program/HeroWarrior_Woman_3.png	UI/Role/Player_Portrait_Warrior.png	UI/Common/Image_Mercenary_CareerIcon_1.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_01.png	NULL	NULL	0	UI/Common/Activity/Act_TL_LuckyMercenary/Act_TL_LuckyMercenary_Font_Warrior.png	0	Spine/Woman_Warrior,Woman_Warrior		HalfBody/role/King.png	1	0,0	1	0	UI/Role/Player_Portrait_chatWarrior.png	BG/Role/role_bg_01.png
5	1	5	2	0	0	@Role_5	12,14,110,19,111,20,17,112	0	1	UI/Program/HeroHunter_Woman_3.png	UI/Role/Player_Portrait_Hunter.png	UI/Common/Image_Mercenary_CareerIcon_2.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_02.png	NULL	NULL	0	UI/Common/Activity/Act_TL_LuckyMercenary/Act_TL_LuckyMercenary_Font_Hunter.png	0	Spine/Woman_Hunter,Woman_Hunter		HalfBody/role/King.png	1	0,0	1	0	UI/Role/Player_Portrait_chatHunter.png	BG/Role/role_bg_02.png
6	1	5	3	0	0	@Role_6	29,21,26,27,120,23,105,28	0	1	UI/Program/HeroMaster_Woman_3.png	UI/Role/Player_Portrait_Master.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_03.png	NULL	NULL	0	UI/Common/Activity/Act_TL_LuckyMercenary/Act_TL_LuckyMercenary_Font_Master.png	0	Spine/Woman_Master,Woman_Master		HalfBody/role/King.png	1	0,0	1	0	UI/Role/Player_Portrait_chatMaster.png	BG/Role/role_bg_03.png
101	2	3	3	0	0	@Role_101	2011,2012	0	2	UI/Program/MercenaryMaster_2.png	UI/Role/Mercenary_Portrait_ganfuren.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_underur01.png	@RoleLimit_101	NULL	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_GanFuRen.png	0	Spine/ganfuren,ganfuren	@GatherRole101	HalfBody/roleArcher_01.png	1	0,0	1	0	0	BG/HCG/hcg_bg_02.png
102	2	4	2	0	0	@Role_102	2021,2022	1	3	UI/Program/MercenaryHunter_2.png	UI/Role/Mercenary_Portrait_huangwudie.png	UI/Common/Image_Mercenary_CareerIcon_2.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_underur01.png	NULL	26	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_HuangWuDie.png	0	Spine/huangwudie,huangwudie	@GatherRole102	HalfBody/role/Archer_02.png	1	0,0	1.07	UI/RoleSkinSeries/bg_sr_01.png,UI/RoleSkinSeries/SRhuangwudie.png	0	BG/HCG/hcg_bg_01.png
103	2	3	1	0	0	@Role_103	2031,2032	1	2	UI/Program/MercenaryWarrior_2.png	UI/Role/Mercenary_Portrait_zhoucang.png	UI/Common/Image_Mercenary_CareerIcon_1.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_underur01.png	NULL	NULL	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_ZhouCang.png	0	Spine/zhoucang,zhoucang	@GatherRole103	HalfBody/role/Knight_01.png	1	0,0	1.03	0	0	BG/HCG/hcg_bg_04.png
