专属id	专属佣兵id	属性描述1	属性描述2	属性描述3	对应专属装备
101	1	1010001	1010002	1010003	10101
102	2	1020001	1020002	1020003	10201
103	3	1030001	1030002	1030003	10301
104	4	1040001	1040002	1040003	10401
105	5	1050001	1050002	1050003	10501
106	6	1060001	1060002	1060003	10601
107	7	1070001	1070002	1070003	10701
108	8	1080001	1080002	1080003	10801
109	9	1090001	1090002	1090003	10901
110	10	1100001	1100002	1100003	11001
111	11	1110001	1110002	1110003	11101
112	12	1120001	1120002	1120003	11201
113	13	1130001	1130002	1130003	11301
114	14	1140001	1140002	1140003	11401
115	15	1150001	1150002	1150003	11501
116	16	1160001	1160002	1160003	11601
117	17	1170001	1170002	1170003	11701
118	18	1180001	1180002	1180003	11801
119	19	1190001	1190002	1190003	11901
120	20	1200001	1200002	1200003	12001
121	21	1210001	1210002	1210003	12101
122	22	1220001	1220002	1220003	12201
123	23	1230001	1230002	1230003	12301
124	24	1240001	1240002	1240003	12401
125	17	1250001	1250002	1250003	12501
126	1	1260001	1260002	1260003	12601
201	1	2010001	2010002	2010003	20101
202	2	2020001	2020002	2020003	20201
203	3	2030001	2030002	2030003	20301
204	4	2040001	2040002	2040003	20401
205	5	2050001	2050002	2050003	20501
206	6	2060001	2060002	2060003	20601
207	7	2070001	2070002	2070003	20701
208	8	2080001	2080002	2080003	20801
209	9	2090001	2090002	2090003	20901
210	10	2100001	2100002	2100003	21001
211	11	2110001	2110002	2110003	21101
212	12	2120001	2120002	2120003	21201
213	13	2130001	2130002	2130003	21301
214	14	2140001	2140002	2140003	21401
215	15	2150001	2150002	2150003	21501
216	16	2160001	2160002	2160003	21601
217	17	2170001	2170002	2170003	21701
218	18	2180001	2180002	2180003	21801
219	19	2190001	2190002	2190003	21901
220	20	2200001	2200002	2200003	22001
221	21	2210001	2210002	2210003	22101
222	22	2220001	2220002	2220003	22201
223	23	2230001	2230002	2230003	22301
224	24	2240001	2240002	2240003	22401
225	17	2250001	2250002	2250003	22501
226	13	2260001	2260002	2260003	22601
227	1	2270001	2270002	2270003	22701
301	1	3010001	3010002	3010003	30101
302	2	3020001	3020002	3020003	30201
303	3	3030001	3030002	3030003	30301
304	4	3040001	3040002	3040003	30401
305	5	3050001	3050002	3050003	30501
306	6	3060001	3060002	3060003	30601
307	7	3070001	3070002	3070003	30701
308	8	3080001	3080002	3080003	30801
309	9	3090001	3090002	3090003	30901
310	10	3100001	3100002	3100003	31001
311	11	3110001	3110002	3110003	31101
312	12	3120001	3120002	3120003	31201
313	13	3130001	3130002	3130003	31301
314	14	3140001	3140002	3140003	31401
315	15	3150001	3150002	3150003	31501
316	16	3160001	3160002	3160003	31601
317	17	3170001	3170002	3170003	31701
318	18	3180001	3180002	3180003	31801
319	19	3190001	3190002	3190003	31901
320	20	3200001	3200002	3200003	32001
321	21	3210001	3210002	3210003	32101
322	22	3220001	3220002	3220003	32201
323	23	3230001	3230002	3230003	32301
324	24	3240001	3240002	3240003	32401
325	13	3250001	3250002	3250003	32501
326	17	3260001	3260002	3260003	32601
