id	quality	profession	type	price	chatIcon	MainPageIcon	isShow	isSkin	order
基础id	品质	职业	类型	钻石价格	聊天圆形头像	主页方形头像	是否显示	是否皮肤	排序
0	5	1	1	0	UI/Role/Portrait_99900.png	UI/Role/Portrait_99900.png	1	0	1
1000	5	3	2	400	UI/Role/Portrait_01000.png	UI/Role/Portrait_01000.png	1	0	1001
2000	5	2	2	400	UI/Role/Portrait_02000.png	UI/Role/Portrait_02000.png	1	0	1002
3000	5	1	2	400	UI/Role/Portrait_03000.png	UI/Role/Portrait_03000.png	1	0	1003
4000	4	3	2	400	UI/Role/Portrait_04000.png	UI/Role/Portrait_04000.png	1	0	1004
5000	4	2	2	600	UI/Role/Portrait_05000.png	UI/Role/Portrait_05000.png	1	0	1005
6000	4	1	2	1000	UI/Role/Portrait_06000.png	UI/Role/Portrait_06000.png	1	0	1006
7000	5	2	2	1000	UI/Role/Portrait_07000.png	UI/Role/Portrait_07000.png	1	0	1007
8000	5	3	2	600	UI/Role/Portrait_08000.png	UI/Role/Portrait_08000.png	1	0	1008
9000	5	3	2	1000	UI/Role/Portrait_09000.png	UI/Role/Portrait_09000.png	1	0	1009
10000	4	3	2	1000	UI/Role/Portrait_10000.png	UI/Role/Portrait_10000.png	1	0	1010
11000	4	3	2	600	UI/Role/Portrait_11000.png	UI/Role/Portrait_11000.png	1	0	1011
12000	5	2	2	600	UI/Role/Portrait_12000.png	UI/Role/Portrait_12000.png	1	0	1012
13000	5	3	2	600	UI/Role/Portrait_13000.png	UI/Role/Portrait_13000.png	1	0	1013
14000	5	1	2	400	UI/Role/Portrait_14000.png	UI/Role/Portrait_14000.png	1	0	1014
15000	5	3	2	600	UI/Role/Portrait_15000.png	UI/Role/Portrait_15000.png	1	0	1015
16000	4	3	2	1000	UI/Role/Portrait_16000.png	UI/Role/Portrait_16000.png	1	0	1016
17000	4	2	2	400	UI/Role/Portrait_17000.png	UI/Role/Portrait_17000.png	1	0	1017
18000	4	1	2	600	UI/Role/Portrait_18000.png	UI/Role/Portrait_18000.png	1	0	1018
19000	5	1	2	600	UI/Role/Portrait_19000.png	UI/Role/Portrait_19000.png	1	0	1019
20000	5	2	2	600	UI/Role/Portrait_20000.png	UI/Role/Portrait_20000.png	1	0	1020
21000	5	3	2	600	UI/Role/Portrait_21000.png	UI/Role/Portrait_21000.png	1	0	1021
22000	5	3	2	600	UI/Role/Portrait_22000.png	UI/Role/Portrait_22000.png	1	0	1022
23000	5	1	2	1000	UI/Role/Portrait_23000.png	UI/Role/Portrait_23000.png	1	0	1023
24000	5	1	2	600	UI/Role/Portrait_24000.png	UI/Role/Portrait_24000.png	1	0	1024
1001	5	3	2	400	UI/Role/Portrait_01001.png	UI/Role/Portrait_01001.png	1	1	2001
2002	5	2	2	400	UI/Role/Portrait_02002.png	UI/Role/Portrait_02002.png	1	1	2002
3003	5	1	2	400	UI/Role/Portrait_03003.png	UI/Role/Portrait_03003.png	1	1	2003
4004	4	3	2	400	UI/Role/Portrait_04004.png	UI/Role/Portrait_04004.png	1	1	2004
5005	4	2	2	600	UI/Role/Portrait_05005.png	UI/Role/Portrait_05005.png	1	1	2004
6006	4	1	2	1000	UI/Role/Portrait_06006.png	UI/Role/Portrait_06006.png	1	1	2006
7007	5	2	2	1000	UI/Role/Portrait_07007.png	UI/Role/Portrait_07007.png	1	1	2007
8008	5	3	2	600	UI/Role/Portrait_08008.png	UI/Role/Portrait_08008.png	1	1	2008
9009	5	3	2	1000	UI/Role/Portrait_09009.png	UI/Role/Portrait_09009.png	1	1	2009
10010	4	3	2	1000	UI/Role/Portrait_10010.png	UI/Role/Portrait_10010.png	1	1	2010
11011	4	3	2	600	UI/Role/Portrait_11011.png	UI/Role/Portrait_11011.png	1	1	2011
12012	5	2	2	600	UI/Role/Portrait_12012.png	UI/Role/Portrait_12012.png	1	1	2012
13013	5	3	2	600	UI/Role/Portrait_13013.png	UI/Role/Portrait_13013.png	1	1	2013
14014	5	1	2	400	UI/Role/Portrait_14014.png	UI/Role/Portrait_14014.png	1	1	2014
15015	5	3	2	600	UI/Role/Portrait_15015.png	UI/Role/Portrait_15015.png	1	1	2015
16016	4	3	2	1000	UI/Role/Portrait_16016.png	UI/Role/Portrait_16016.png	1	1	2016
17017	4	2	2	400	UI/Role/Portrait_17017.png	UI/Role/Portrait_17017.png	1	1	2017
18018	4	1	2	600	UI/Role/Portrait_18018.png	UI/Role/Portrait_18018.png	1	1	2018
19019	5	1	2	600	UI/Role/Portrait_19019.png	UI/Role/Portrait_19019.png	1	1	2019
20020	5	2	2	600	UI/Role/Portrait_20020.png	UI/Role/Portrait_20020.png	1	1	2020
21021	5	3	2	600	UI/Role/Portrait_21021.png	UI/Role/Portrait_21021.png	1	1	2021
22022	5	3	2	600	UI/Role/Portrait_22022.png	UI/Role/Portrait_22022.png	1	1	2022
23023	5	1	2	1000	UI/Role/Portrait_23023.png	UI/Role/Portrait_23023.png	1	1	2023
24024	5	1	2	600	UI/Role/Portrait_24024.png	UI/Role/Portrait_24024.png	1	1	2024
