等级	所需经验
1	208
2	224
3	800
4	880
5	968
6	1065
7	1171
8	1288
9	1417
10	1559
11	1715
12	1886
13	2075
14	2282
15	2511
16	2762
17	3038
18	3342
19	3676
20	4044
21	4448
22	4893
23	5382
24	5920
25	6512
26	7163
27	7880
28	8668
29	9535
30	10488
31	11537
32	12690
33	13960
34	15355
35	16891
36	18580
37	20438
38	22482
39	24730
40	27203
41	29923
42	32916
43	36207
44	39828
45	43811
46	48192
47	53011
48	58312
49	64144
50	70558
51	77614
52	85375
53	93913
54	103304
55	113634
56	124998
57	137498
58	151247
59	166372
60	183009
61	201310
62	221441
63	243585
64	267944
65	294738
66	324212
67	356633
68	392297
69	431526
70	474679
71	522147
72	574361
73	631798
74	694977
75	764475
76	840923
77	925015
78	1017516
79	1119268
80	1231195
81	1354314
82	1489746
83	1638720
84	1802592
85	1982851
86	2181137
87	2399250
88	2639175
89	2903093
90	3193402
91	3353072
92	3520726
93	3696762
94	3881600
95	4075680
96	4279464
97	4493437
98	4718109
99	4954015
100	5201715
101	5461801
102	5734891
103	6021636
104	6322718
105	6638853
106	6970796
107	7319336
108	7685303
109	8069568
110	8473046
111	8896699
112	9341533
113	9808610
114	10299041
115	10813993
116	11354692
117	11922427
118	12518548
119	13144476
120	13801700
121	14491784
122	15216374
123	15977192
124	16776052
125	17614855
126	18495597
127	19420377
128	20391396
129	21410966
130	22481514
131	23605590
132	24785869
133	26025163
134	27326421
135	28692742
136	30127379
137	31633748
138	33215436
139	34876207
140	36620018
141	38451019
142	40373569
143	42392248
144	44511860
145	46737453
146	49074326
147	51528042
148	54104444
149	56809667
150	59650150
151	62036156
152	64517602
153	67098306
154	69782239
155	72573528
156	75476469
157	78495528
158	81635349
159	84900763
160	88296794
161	91828665
162	95501812
163	99321884
164	103294760
165	107426550
166	111723612
167	116192557
168	120840259
169	125673869
170	130700824
171	135928857
172	141366011
173	147020652
174	152901478
175	159017537
176	165378238
177	171993368
178	178873103
179	186028027
180	193469148
181	201207914
182	209256230
183	217626480
184	226331539
185	235384800
186	244800192
187	254592200
188	264775888
189	275366924
190	286381601
191	297836865
192	309750339
193	322140353
194	335025967
195	348427005
196	362364086
197	376858649
198	391932995
199	407610315
200	423914727
