Id	roleId	starLevel	plus	exp
	佣兵Id	星级	突破	升星经验
1	10	1	0	0
2	10	2	0	100
3	10	3	0	300
4	10	4	0	500
5	10	5	0	1000
6	10	6	0	1500
7	10	7	0	2000
8	10	8	0	2500
9	10	9	0	3000
10	10	10	0	4000
11	10	11	1	5000
12	10	12	1	6000
13	10	13	2	7000
14	10	14	2	8000
15	10	15	3	9500
16	10	16	3	11000
17	10	17	4	12500
18	10	18	4	14000
19	10	19	5	15500
20	10	20	5	17500
21	20	1	0	0
22	20	2	0	100
23	20	3	0	300
24	20	4	0	500
25	20	5	0	1000
26	20	6	0	1500
27	20	7	0	2000
28	20	8	0	2500
29	20	9	0	3000
30	20	10	0	4000
31	20	11	1	5000
32	20	12	1	6000
33	20	13	2	7000
34	20	14	2	8000
35	20	15	3	9500
36	20	16	3	11000
37	20	17	4	12500
38	20	18	4	14000
39	20	19	5	15500
40	20	20	5	17500
41	30	1	0	0
42	30	2	0	100
43	30	3	0	300
44	30	4	0	500
45	30	5	0	1000
46	30	6	0	1500
47	30	7	0	2000
48	30	8	0	2500
49	30	9	0	3000
50	30	10	0	4000
51	30	11	1	5000
52	30	12	1	6000
53	30	13	2	7000
54	30	14	2	8000
55	30	15	3	9500
56	30	16	3	11000
57	30	17	4	12500
58	30	18	4	14000
59	30	19	5	15500
60	30	20	5	17500
61	40	1	0	0
62	40	2	0	100
63	40	3	0	300
64	40	4	0	500
65	40	5	0	1000
66	40	6	0	1500
67	40	7	0	2000
68	40	8	0	2500
69	40	9	0	3000
70	40	10	0	4000
71	40	11	1	5000
72	40	12	1	6000
73	40	13	2	7000
74	40	14	2	8000
75	40	15	3	9500
76	40	16	3	11000
77	40	17	4	12500
78	40	18	4	14000
79	40	19	5	15500
80	40	20	5	17500
81	50	1	0	0
82	50	2	0	100
83	50	3	0	300
84	50	4	0	500
85	50	5	0	1000
86	50	6	0	1500
87	50	7	0	2000
88	50	8	0	2500
89	50	9	0	3000
90	50	10	0	4000
91	50	11	1	5000
92	50	12	1	6000
93	50	13	2	7000
94	50	14	2	8000
95	50	15	3	9500
96	50	16	3	11000
97	50	17	4	12500
98	50	18	4	14000
99	50	19	5	15500
100	50	20	5	17500
101	11	1	0	0
102	11	2	0	100
103	11	3	0	300
104	11	4	0	500
105	11	5	0	1000
106	11	6	0	1500
107	11	7	0	2000
108	11	8	0	2500
109	11	9	0	3000
110	11	10	0	4000
111	11	11	0	5000
112	11	12	0	6000
113	11	13	0	7000
114	11	14	0	8000
115	11	15	0	9500
116	11	16	0	11000
117	11	17	0	12500
118	11	18	0	14000
119	11	19	0	15500
120	11	20	0	17500
121	11	21	0	20000
122	11	22	0	22000
123	11	23	0	24000
124	11	24	0	26000
125	11	25	0	28000
126	11	26	0	30000
127	11	27	0	32000
128	11	28	0	34000
129	11	29	0	36000
130	11	30	0	38000
131	11	31	1	40000
132	11	32	1	42000
133	11	33	2	44000
134	11	34	2	46000
135	11	35	3	48000
136	11	36	3	50000
137	11	37	4	50000
138	11	38	4	50000
139	11	39	5	50000
140	11	40	5	50000
141	21	1	0	0
142	21	2	0	100
143	21	3	0	300
144	21	4	0	500
145	21	5	0	1000
146	21	6	0	1500
147	21	7	0	2000
148	21	8	0	2500
149	21	9	0	3000
150	21	10	0	4000
151	21	11	0	5000
152	21	12	0	6000
153	21	13	0	7000
154	21	14	0	8000
155	21	15	0	9500
156	21	16	0	11000
157	21	17	0	12500
158	21	18	0	14000
159	21	19	0	15500
160	21	20	0	17500
161	21	21	0	20000
162	21	22	0	22000
163	21	23	0	24000
164	21	24	0	26000
165	21	25	0	28000
166	21	26	0	30000
167	21	27	0	32000
168	21	28	0	34000
169	21	29	0	36000
170	21	30	0	38000
171	21	31	1	40000
172	21	32	1	42000
173	21	33	2	44000
174	21	34	2	46000
175	21	35	3	48000
176	21	36	3	50000
177	21	37	4	50000
178	21	38	4	50000
179	21	39	5	50000
180	21	40	5	50000
181	31	1	0	0
182	31	2	0	100
183	31	3	0	300
184	31	4	0	500
185	31	5	0	1000
186	31	6	0	1500
187	31	7	0	2000
188	31	8	0	2500
189	31	9	0	3000
190	31	10	0	4000
191	31	11	0	5000
192	31	12	0	6000
193	31	13	0	7000
194	31	14	0	8000
195	31	15	0	9500
196	31	16	0	11000
197	31	17	0	12500
198	31	18	0	14000
199	31	19	0	15500
200	31	20	0	17500
201	31	21	0	20000
202	31	22	0	22000
203	31	23	0	24000
204	31	24	0	26000
205	31	25	0	28000
206	31	26	0	30000
207	31	27	0	32000
208	31	28	0	34000
209	31	29	0	36000
210	31	30	0	38000
211	31	31	1	40000
212	31	32	1	42000
213	31	33	2	44000
214	31	34	2	46000
215	31	35	3	48000
216	31	36	3	50000
217	31	37	4	50000
218	31	38	4	50000
219	31	39	5	50000
220	31	40	5	50000
221	41	1	0	0
222	41	2	0	100
223	41	3	0	300
224	41	4	0	500
225	41	5	0	1000
226	41	6	0	1500
227	41	7	0	2000
228	41	8	0	2500
229	41	9	0	3000
230	41	10	0	4000
231	41	11	0	5000
232	41	12	0	6000
233	41	13	0	7000
234	41	14	0	8000
235	41	15	0	9500
236	41	16	0	11000
237	41	17	0	12500
238	41	18	0	14000
239	41	19	0	15500
240	41	20	0	17500
241	41	21	0	20000
242	41	22	0	22000
243	41	23	0	24000
244	41	24	0	26000
245	41	25	0	28000
246	41	26	0	30000
247	41	27	0	32000
248	41	28	0	34000
249	41	29	0	36000
250	41	30	0	38000
251	41	31	1	40000
252	41	32	1	42000
253	41	33	2	44000
254	41	34	2	46000
255	41	35	3	48000
256	41	36	3	50000
257	41	37	4	50000
258	41	38	4	50000
259	41	39	5	50000
260	41	40	5	50000
