id	头部位置、比例1	头部位置、比例2	头部音效组1	头部音效组2	胸部位置、比例1	胸部位置、比例2	胸部音效组1	胸部音效组2	臀部位置、比例1	臀部位置、比例2	臀部音效组1	臀部音效组2	解锁音效
4	-20,315,1.0,1.2	-20,315,1.0,1.2	UR_zhangfei_head1.mp3,UR_zhangfei_head2.mp3		77,153,1.0,1.1	77,153,1.0,1.1	UR_zhangfei_bust1.mp3,UR_zhangfei_bust2.mp3		-6,-9,1.1,1.2	-6,-9,1.1,1.2	UR_zhangfei_hip1.mp3,UR_zhangfei_hip2.mp3		UR_zhangfei_recruit.mp3
5	17,368,1.0,1.1	17,368,1.0,1.1	UR_diaochan_head1.mp3,UR_diaochan_head2.mp3		-2,238,1.0,1.1	-2,238,1.0,1.1	UR_diaochan_bust1.mp3,UR_diaochan_bust2.mp3		-3,50,1.3,1.1	-3,50,1.3,1.1	UR_diaochan_hip1.mp3,UR_diaochan_hip2.mp3		UR_diaochan_recruit.mp3
6	-55,283,1.0,1.1	-55,283,1.0,1.1	UR_guojia_head1.mp3,UR_guojia_head2.mp3		-48,138,1.0,1.1	-48,138,1.0,1.1	UR_guojia_bust1.mp3,UR_guojia_bust2.mp3		88,19,1.0,1.1	88,19,1.0,1.1	UR_guojia_hip1.mp3,UR_guojia_hip2.mp3		UR_guojia_recruit.mp3
101	-90,273,1.0,1.3	-90,273,1.0,1.3	UR_simayi_head1.mp3,UR_simayi_head2.mp3		-55,115,1.0,1.2	-55,115,1.0,1.2	UR_simayi_bust1.mp3,UR_simayi_bust2.mp3		125,152,1,1.2	125,152,1,1.2	UR_simayi_hip1.mp3,UR_simayi_hip2.mp3		UR_simayi_recruit.mp3
102	20,350,1.0,1.1	20,350,1.0,1.1	UR_huangzhong_head1.mp3,UR_huangzhong_head2.mp3		40,225,1.0,1.1	40,225,1.0,1.1	UR_huangzhong_bust1.mp3,UR_huangzhong_bust2.mp3		20,32,1.2,1.0	20,32,1.2,1.0	UR_huangzhong_hip1.mp3,UR_huangzhong_hip2.mp3		UR_huangzhong_recruit.mp3
103	13,310,1.0,1.0	13,310,1.0,1.0	UR_guanyu_head1.mp3,UR_guanyu_head2.mp3		17,183,1.0,1.1	17,183,1.0,1.1	UR_guanyu_bust1.mp3,UR_guanyu_bust2.mp3		-6,5,1.2,1.1	-6,5,1.2,1.1	UR_guanyu_hip1.mp3,UR_guanyu_hip2.mp3		UR_guanyu_recruit.mp3
104													
105													
106	-10,311,1.1,1.1	-10,311,1.1,1.1	UR_xiahoudun_head1.mp3,UR_xiahoudun_head2.mp3		-47,158,1.2,1.2	-47,158,1.2,1.2	UR_xiahoudun_bust1.mp3,UR_xiahoudun_bust2.mp3		2,-6,1.2,1.2	2,-6,1.2,1.2	UR_xiahoudun_hip1.mp3,UR_xiahoudun_hip2.mp3		UR_xiahoudun_recruit.mp3
107	0,231,1.0,1.0	0,231,1.0,1.0	UR_huangzhong_head1.mp3,UR_huangzhong_head2.mp3		47,122,1.0,1.0	47,122,1.0,1.0	UR_huangzhong_bust1.mp3,UR_huangzhong_bust2.mp3		105,-48,1.0,1.0	105,-48,1.0,1.0	UR_huangzhong_hip1.mp3,UR_huangzhong_hip2.mp3		UR_huangzhong_recruit.mp3
108	10,360,1.0,1.2	10,360,1.0,1.2	UR_caoren_head1.mp3,UR_caoren_head2.mp3		18,205,1.2,1.2	18,205,1.2,1.2	UR_caoren_bust1.mp3,UR_caoren_bust2.mp3		-10,33,1.3,1.1	-10,33,1.3,1.1	UR_caoren_hip1.mp3,UR_caoren_hip2.mp3		UR_caoren_recruit.mp3
109	15,325,1.0,1.2	15,325,1.0,1.2	UR_xunyu_head1.mp3,UR_xunyu_head2.mp3		-7,190,1.1,1.2	-7,190,1.1,1.2	UR_xunyu_bust1.mp3,UR_xunyu_bust2.mp3		-7,1,1.2,1.1	-7,1,1.2,1.1	UR_xunyu_hip1.mp3,UR_xunyu_hip2.mp3		UR_xunyu_recruit.mp3
