id	气枪打靶奖励预览	组id	期id	是否10次必中
1	10000_1011_100	1	1	0
2	30000_101001_20	1	1	0
3	30000_101002_1	1	1	0
4	30000_103001_1	1	1	0
5	30000_106001_5	1	1	0
6	30000_203001_1	1	1	0
7	30000_110205_1	1	1	0
8	30000_302030_10	1	1	0
9	30000_302070_10	1	1	0
10	30000_302090_10	1	1	0
11	30000_110305_1	1	1	0
12	30000_110306_1	1	1	0
13	30000_303030_10	1	1	0
14	30000_303040_10	1	1	0
15	30000_303070_10	1	1	0
16	30000_303090_10	1	1	0
17	30000_110305_1	1	1	1
18	30000_110306_1	1	1	1
19	30000_303030_10	1	1	1
20	30000_303040_10	1	1	1
21	30000_303070_10	1	1	1
22	30000_303090_10	1	1	1
23	30000_110205_1	1	1	1
24	30000_302030_10	1	1	1
25	30000_302070_10	1	1	1
26	30000_302090_10	1	1	1
27	10000_1011_200	2	1	0
28	30000_101001_40	2	1	0
29	30000_101002_2	2	1	0
30	30000_103001_2	2	1	0
31	30000_106001_10	2	1	0
32	30000_203002_1	2	1	0
33	30000_110505_1	2	1	0
34	30000_305030_10	2	1	0
35	30000_305070_10	2	1	0
36	30000_305090_10	2	1	0
37	30000_110605_1	2	1	0
38	30000_110606_1	2	1	0
39	30000_306030_10	2	1	0
40	30000_306040_10	2	1	0
41	30000_306070_10	2	1	0
42	30000_306090_10	2	1	0
43	30000_110605_1	2	1	1
44	30000_110606_1	2	1	1
45	30000_306030_10	2	1	1
46	30000_306040_10	2	1	1
47	30000_306070_10	2	1	1
48	30000_306090_10	2	1	1
49	30000_110505_1	2	1	1
50	30000_305030_10	2	1	1
51	30000_305070_10	2	1	1
52	30000_305090_10	2	1	1
53	10000_1011_300	3	1	0
54	30000_101001_60	3	1	0
55	30000_101002_3	3	1	0
56	30000_103001_3	3	1	0
57	30000_106001_15	3	1	0
58	30000_203003_1	3	1	0
59	30000_110805_1	3	1	0
60	30000_308030_10	3	1	0
61	30000_308070_10	3	1	0
62	30000_308090_10	3	1	0
63	30000_110905_1	3	1	0
64	30000_110906_1	3	1	0
65	30000_309030_10	3	1	0
66	30000_309040_10	3	1	0
67	30000_309070_10	3	1	0
68	30000_309090_10	3	1	0
69	30000_110905_1	3	1	1
70	30000_110906_1	3	1	1
71	30000_309030_10	3	1	1
72	30000_309040_10	3	1	1
73	30000_309070_10	3	1	1
74	30000_309090_10	3	1	1
75	30000_110805_1	3	1	1
76	30000_308030_10	3	1	1
77	30000_308070_10	3	1	1
78	30000_308090_10	3	1	1
79	10000_1011_100	1	2	0
80	30000_101001_20	1	2	0
81	30000_101002_1	1	2	0
82	30000_103001_1	1	2	0
83	30000_106001_5	1	2	0
84	30000_203001_1	1	2	0
85	30000_110205_1	1	2	0
86	30000_302030_10	1	2	0
87	30000_302070_10	1	2	0
88	30000_302090_10	1	2	0
89	30000_110305_1	1	2	0
90	30000_110306_1	1	2	0
91	30000_303030_10	1	2	0
92	30000_303040_10	1	2	0
93	30000_303070_10	1	2	0
94	30000_303090_10	1	2	0
95	30000_110305_1	1	2	1
96	30000_110306_1	1	2	1
97	30000_303030_10	1	2	1
98	30000_303040_10	1	2	1
99	30000_303070_10	1	2	1
100	30000_303090_10	1	2	1
101	30000_110205_1	1	2	1
102	30000_302030_10	1	2	1
103	30000_302070_10	1	2	1
104	30000_302090_10	1	2	1
105	10000_1011_200	2	2	0
106	30000_101001_40	2	2	0
107	30000_101002_2	2	2	0
108	30000_103001_2	2	2	0
109	30000_106001_10	2	2	0
110	30000_203002_1	2	2	0
111	30000_110505_1	2	2	0
112	30000_305030_10	2	2	0
113	30000_305070_10	2	2	0
114	30000_305090_10	2	2	0
115	30000_110605_1	2	2	0
116	30000_110606_1	2	2	0
117	30000_306030_10	2	2	0
118	30000_306040_10	2	2	0
119	30000_306070_10	2	2	0
120	30000_306090_10	2	2	0
121	30000_110605_1	2	2	1
122	30000_110606_1	2	2	1
123	30000_306030_10	2	2	1
124	30000_306040_10	2	2	1
125	30000_306070_10	2	2	1
126	30000_306090_10	2	2	1
127	30000_110505_1	2	2	1
128	30000_305030_10	2	2	1
129	30000_305070_10	2	2	1
130	30000_305090_10	2	2	1
131	10000_1011_300	3	2	0
132	30000_101001_60	3	2	0
133	30000_101002_3	3	2	0
134	30000_103001_3	3	2	0
135	30000_106001_15	3	2	0
136	30000_203003_1	3	2	0
137	30000_110805_1	3	2	0
138	30000_308030_10	3	2	0
139	30000_308070_10	3	2	0
140	30000_308090_10	3	2	0
141	30000_110905_1	3	2	0
142	30000_110906_1	3	2	0
143	30000_309030_10	3	2	0
144	30000_309040_10	3	2	0
145	30000_309070_10	3	2	0
146	30000_309090_10	3	2	0
147	30000_110905_1	3	2	1
148	30000_110906_1	3	2	1
149	30000_309030_10	3	2	1
150	30000_309040_10	3	2	1
151	30000_309070_10	3	2	1
152	30000_309090_10	3	2	1
153	30000_110805_1	3	2	1
154	30000_308030_10	3	2	1
155	30000_308070_10	3	2	1
156	30000_308090_10	3	2	1
