id	气枪打靶奖励预览	组id	期id	是否10次必中
101	30000_230101_1	1	1	0
102	30000_230102_1	1	1	0
103	30000_104201_1	1	1	0
104	30000_203001_1	1	1	0
105	30000_103001_1	1	1	0
106	30000_106001_2	1	1	0
107	30000_101001_10	1	1	0
108	10000_1011_30	1	1	0
201	30000_230103_1	2	1	0
202	30000_230104_1	2	1	0
203	30000_104202_1	2	1	0
204	30000_203002_1	2	1	0
205	30000_103001_1	2	1	0
206	30000_201002_1	2	1	0
207	30000_101001_20	2	1	0
208	10000_1011_100	2	1	0
301	30000_230105_1	3	1	0
302	30000_230106_1	3	1	0
303	30000_104203_1	3	1	0
304	30000_203003_1	3	1	0
305	30000_103001_3	3	1	0
306	30000_201004_1	3	1	0
307	30000_101001_100	3	1	0
308	10000_1011_500	3	1	0
