BuyCount	Diamond	Coin
1	20	500000
2	50	500000
3	70	500000
4	100	500000
5	200	500000
6	300	500000
7	500	500000
8	700	500000
9	1000	500000
10	1300	500000
11	1600	500000
12	1900	500000
13	2200	500000
14	2200	500000
15	2200	500000
16	2200	500000
17	2200	500000
18	2200	500000
19	2200	500000
20	2200	500000
21	2200	500000
22	2200	500000
23	2200	500000
24	2200	500000
25	2200	500000
26	2200	500000
27	2200	500000
28	2200	500000
29	2200	500000
30	2200	500000
31	2200	500000
32	2200	500000
33	2200	500000
34	2200	500000
35	2200	500000
36	2200	500000
37	2200	500000
38	2200	500000
39	2200	500000
40	2200	500000
41	2200	500000
42	2200	500000
43	2200	500000
44	2200	500000
45	2200	500000
46	2200	500000
47	2200	500000
48	2200	500000
49	2200	500000
50	2200	500000
