id	名称	职业	开启等级	消耗MP	冷却回合	技能脚本	技能描述	图标	战斗行动	战斗记录	roleid	条件
1	@Skill_Name_1	1	5	100	1	1	@Skill_Desc_1	skill/S_1.png	1	1	0	
2	@Skill_Name_2	1	30	200	1	36	@Skill_Desc_2	skill/S_2.png	1	1	0	
3	@Skill_Name_3	1	20	150	1	3	@Skill_Desc_3	skill/S_3.png	1	1	0	
4	@Skill_Name_4	0	0	150	1	4	@Skill_Desc_4	skill/S_4.png	1	1	0	
5	@Skill_Name_5	1	40	200	1	5	@Skill_Desc_5	skill/S_5.png	1	1	0	
6	@Skill_Name_6	1	10	200	1	6	@Skill_Desc_6	skill/S_6.png	1	1	0	
7	@Skill_Name_7	0	0	0	1	7	@Skill_Desc_7	skill/S_7.png	1	1	0	
8	@Skill_Name_8	1	15	300	1	8	@Skill_Desc_8	skill/S_8.png	1	1	0	
9	@Skill_Name_9	0	0	100	1	9	@Skill_Desc_9	skill/S_9.png	1	1	0	
10	@Skill_Name_10	1	25	300	1	10	@Skill_Desc_10	skill/S_10.png	1	1	0	
11	@Skill_Name_11	0	0	100	1	11	@SkillListDesc_11	skill/S_11.png	1	1	0	
12	@Skill_Name_12	2	5	100	1	41	@SkillListDesc_12	skill/S_12.png	1	1	0	
13	@Skill_Name_13	0	0	200	1	13	@SkillListDesc_13	skill/S_13.png	1	1	0	
14	@Skill_Name_14	2	10	200	1	14	@Skill_Desc_14	skill/S_14.png	1	1	0	
15	@Skill_Name_15	0	0	200	1	15	@Skill_Desc_15	skill/S_15.png	1	1	0	
16	@Skill_Name_16	0	0	150	1	16	@Skill_Desc_16	skill/S_16.png	1	1	0	
17	@Skill_Name_17	2	40	400	1	17	@Skill_Desc_17	skill/S_17.png	1	1	0	
18	@Skill_Name_18	0	0	300	1	18	@SkillListDesc_18	skill/S_18.png	1	1	0	
19	@Skill_Name_19	2	20	200	1	19	@SkillListDesc_19	skill/S_19.png	1	1	0	
20	@Skill_Name_20	2	30	250	1	20	@Skill_Desc_20	skill/S_20.png	1	1	0	
21	@Skill_Name_21	3	10	200	1	21	@SkillListDesc_21	skill/S_21.png	1	1	0	
22	@Skill_Name_22	0	0	150	1	22	@SkillListDesc_22	skill/S_22.png	1	1	0	
23	@Skill_Name_23	3	30	200	1	23	@SkillListDesc_23	skill/S_23.png	1	1	0	
24	@Skill_Name_24	0	0	200	1	24	@SkillListDesc_24	skill/S_24.png	1	1	0	
25	@Skill_Name_25	0	0	0	1	25	@SkillListDesc_25	skill/S_25.png	1	1	0	
26	@Skill_Name_26	3	15	250	1	26	@SkillListDesc_26	skill/S_26.png	1	1	0	
