id	技能ID	技能等级	技能名称	替换确认	技能职业	人物等级	专精等级	经验值	图片路径	技能描述	消耗MP	限制物品	参数1	参数2
10001	1	1	@Skill_Name_1	0	1	35	0	70	skill/S_1.png	@Skill_Desc_1	100	30000_104201,30000_104202,30000_104203	240%	0
10002	1	2	@Skill_Name_1	0	1	35	1	70	skill/S_1.png	@Skill_Desc_1	150	30000_104201,30000_104202,30000_104203	270%	0
10003	1	3	@Skill_Name_1	0	1	39	6	140	skill/S_1.png	@Skill_Desc_1	200	30000_104201,30000_104202,30000_104203	305%	0
10004	1	4	@Skill_Name_1	0	1	42	10	200	skill/S_1.png	@Skill_Desc_1	250	30000_104201,30000_104202,30000_104203	340%	0
10005	1	5	@Skill_Name_1	0	1	45	12	280	skill/S_1.png	@Skill_Desc_1	300	30000_104201,30000_104202,30000_104203	375%	0
10006	1	6	@Skill_Name_1	0	1	50	20	400	skill/S_1.png	@Skill_Desc_1	300	30000_104202,30000_104203	410%	0
10007	1	7	@Skill_Name_1	0	1	55	27	600	skill/S_1.png	@Skill_Desc_1	300	30000_104202,30000_104203	450%	0
10008	1	8	@Skill_Name_1	0	1	60	35	900	skill/S_1.png	@Skill_Desc_1	300	30000_104203	490%	0
10009	1	9	@Skill_Name_1	0	1	65	41	1500	skill/S_1.png	@Skill_Desc_1	330	30000_104203	530%	0
10010	1	10	@Skill_Name_1	0	1	70	49	2500	skill/S_1.png	@Skill_Desc_1	360	30000_104203	580%	0
10011	1	11	@Skill_Name_1	0	1	80	57	4000	skill/S_1.png	@Skill_Desc_1	390	30000_104203	630%	0
10012	1	12	@Skill_Name_1	0	1	90	65	8000	skill/S_1.png	@Skill_Desc_1	420	30000_104203	680%	0
10013	1	13	@Skill_Name_1	0	1	100	73	0	skill/S_1.png	@Skill_Desc_1	450	30000_104203	690%	0
10014	1	14	@Skill_Name_1	0	1	110	81	0	skill/S_1.png	@Skill_Desc_1	450	30000_104203	730%	0
10015	1	15	@Skill_Name_1	0	1	120	89	0	skill/S_1.png	@Skill_Desc_1	450	30000_104203	770%	0
20001	2	1	@Skill_Name_2	0	1	35	0	70	skill/S_2.png	@Skill_Desc_2	200	30000_104201,30000_104202,30000_104203	50%	50%
20002	2	2	@Skill_Name_2	0	1	38	1	70	skill/S_2.png	@Skill_Desc_2	230	30000_104201,30000_104202,30000_104203	53%	50%
20003	2	3	@Skill_Name_2	0	1	41	6	140	skill/S_2.png	@Skill_Desc_2	260	30000_104201,30000_104202,30000_104203	56%	50%
20004	2	4	@Skill_Name_2	0	1	45	14	200	skill/S_2.png	@Skill_Desc_2	290	30000_104202,30000_104203	59%	50%
20005	2	5	@Skill_Name_2	0	1	50	22	280	skill/S_2.png	@Skill_Desc_2	320	30000_104202,30000_104203	62%	50%
20006	2	6	@Skill_Name_2	0	1	55	30	400	skill/S_2.png	@Skill_Desc_2	350	30000_104203	65%	50%
20007	2	7	@Skill_Name_2	0	1	60	40	600	skill/S_2.png	@Skill_Desc_2	380	30000_104203	69%	50%
20008	2	8	@Skill_Name_2	0	1	70	48	900	skill/S_2.png	@Skill_Desc_2	410	30000_104203	73%	50%
20009	2	9	@Skill_Name_2	0	1	80	56	1500	skill/S_2.png	@Skill_Desc_2	440	30000_104203	77%	50%
20010	2	10	@Skill_Name_2	0	1	90	64	2500	skill/S_2.png	@Skill_Desc_2	470	30000_104203	81%	50%
20011	2	11	@Skill_Name_2	0	1	100	72	4000	skill/S_2.png	@Skill_Desc_2	500	30000_104203	85%	50%
20012	2	12	@Skill_Name_2	0	1	110	80	8000	skill/S_2.png	@Skill_Desc_2	530	30000_104203	89%	50%
30001	3	1	@Skill_Name_3	0	1	35	0	70	skill/S_3.png	@Skill_Desc_3	150	30000_104201,30000_104202,30000_104203	60%	30%
30002	3	2	@Skill_Name_3	0	1	35	1	70	skill/S_3.png	@Skill_Desc_3	175	30000_104201,30000_104202,30000_104203	61%	36%
30003	3	3	@Skill_Name_3	0	1	40	6	140	skill/S_3.png	@Skill_Desc_3	200	30000_104201,30000_104202,30000_104203	62%	42%
30004	3	4	@Skill_Name_3	0	1	45	14	200	skill/S_3.png	@Skill_Desc_3	225	30000_104201,30000_104202,30000_104203	63%	48%
30005	3	5	@Skill_Name_3	0	1	50	22	280	skill/S_3.png	@Skill_Desc_3	250	30000_104202,30000_104203	64%	54%
30006	3	6	@Skill_Name_3	0	1	55	30	400	skill/S_3.png	@Skill_Desc_3	275	30000_104202,30000_104203	65%	60%
30007	3	7	@Skill_Name_3	0	1	60	40	600	skill/S_3.png	@Skill_Desc_3	300	30000_104203	66%	67%
30008	3	8	@Skill_Name_3	0	1	65	48	900	skill/S_3.png	@Skill_Desc_3	325	30000_104203	67%	74%
30009	3	9	@Skill_Name_3	0	1	70	56	1500	skill/S_3.png	@Skill_Desc_3	350	30000_104203	68%	81%
30010	3	10	@Skill_Name_3	0	1	80	64	2500	skill/S_3.png	@Skill_Desc_3	375	30000_104203	69%	88%
30011	3	11	@Skill_Name_3	0	1	90	72	4000	skill/S_3.png	@Skill_Desc_3	400	30000_104203	70%	94%
30012	3	12	@Skill_Name_3	0	1	100	80	8000	skill/S_3.png	@Skill_Desc_3	425	30000_104203	71%	100%
50001	5	1	@Skill_Name_5	0	1	40	0	70	skill/S_5.png	@Skill_Desc_5	200	30000_104201,30000_104202,30000_104203	30%	90%
50002	5	2	@Skill_Name_5	0	1	45	8	70	skill/S_5.png	@Skill_Desc_5	250	30000_104201,30000_104202,30000_104203	31%	96%
