脚本ID	技能名称	技能类型
1	@Skill_Name_1	AttactSkill
2	@Skill_Name_2	AttactSkill
3	@Skill_Name_3	AttactSkill
4	@Skill_Name_4	AttactSkill
5	@Skill_Name_5	AttactSkill
6	@Skill_Name_6	AttactSkill
7	@Skill_Name_7	AttactSkill
8	@Skill_Name_8	AttactSkill
9	@Skill_Name_9	AttactSkill
10	@Skill_Name_10	AttactSkill
11	@Skill_Name_11	AttactSkill
12	@Skill_Name_12	AttactSkill
13	@Skill_Name_13	AttactSkill
14	@Skill_Name_14	AttactSkill
15	@Skill_Name_15	AttactSkill
16	@Skill_Name_16	AttactSkill
17	@Skill_Name_17	AttactSkill
18	@Skill_Name_18	AttactSkill
19	@Skill_Name_19	AttactSkill
20	@Skill_Name_20	AttactSkill
21	@Skill_Name_21	AttactSkill
22	@Skill_Name_22	AttactSkill
23	@Skill_Name_23	AttactSkill
24	@Skill_Name_24	AttactSkill
25	@Skill_Name_25	AttactSkill
26	@Skill_Name_26	AttactSkill
27	@Skill_Name_27	AttactSkill
28	@Skill_Name_28	AttactSkill
29	@Skill_Name_29	AttactSkill
30	@Skill_Name_30	AttactSkill
32	@Skill_Name_102	AttactSkill
33	@Skill_Name_33	AttactSkill
34	@Skill_Name_34	AttactSkill
35	@Skill_Name_35	AttactSkill
36	@Skill_Name_2	AttactSkill
37	@Skill_Name_104	AttactSkill
38	@Skill_Name_38	AttactSkill
39	@Skill_Name_39	AttactSkill
40	@Skill_Name_40	AttactSkill
41	@Skill_Name_12	AttactSkill
42	@Skill_Name_105	AttactSkill
43	@Skill_Name_106	AttactSkill
44	@Skill_Name_44	AttactSkill
45	@Skill_Name_45	AttactSkill
46	@Skill_Name_46	AttactSkill
47	@Skill_Name_47	AttactSkill
48	@Skill_Name_48	AttactSkill
110	@Skill_Name_110	AttactSkill
111	@Skill_Name_111	AttactSkill
112	@Skill_Name_112	AttactSkill
120	@Skill_Name_120	UseXiXingDuoHunMP
2011	@Skill_Name_2011	AttactSkill
2012	@Skill_Name_2012	AttactSkill
2021	@Skill_Name_2021	AttactSkill
2022	@Skill_Name_2022	AttactSkill
2031	@Skill_Name_2031	HealSkill
2032	@Skill_Name_2032	AttactSkill
2041	@Skill_Name_2041	AttactSkill
2042	@Skill_Name_2042	AttactSkill
2051	@Skill_Name_2051	AttactSkill
2052	@Skill_Name_2052	AttactSkill
2061	@Skill_Name_2061	AttactSkill
2062	@Skill_Name_2062	AttactSkill
2071	@Skill_Name_2071	AttactSkill
2072	@Skill_Name_2072	AttactSkill
2081	@Skill_Name_2081	HealSkill
2082	@Skill_Name_2082	AttactSkill
2091	@Skill_Name_2091	AttactSkill
2092	@Skill_Name_2092	AttactSkill
2111	@Skill_Name_2111	AttactSkill
2112	@Skill_Name_2112	AttactSkill
2121	@Skill_Name_2121	AttactSkill
2122	@Skill_Name_2122	AttactSkill
2131	@Skill_Name_2131	AttactSkill
2132	@Skill_Name_2132	AttactSkill
2141	@Skill_Name_2141	AttactSkill
2142	@Skill_Name_2142	AttactSkill
2151	@Skill_Name_2151	AttactSkill
2152	@Skill_Name_2152	AttactSkill
2161	@Skill_Name_2161	AttactSkill
2162	@Skill_Name_2162	AttactSkill
2171	@Skill_Name_2171	AttactSkill
2172	@Skill_Name_2172	AttactSkill
2181	@Skill_Name_2181	AttactSkill
2182	@Skill_Name_2182	AttactSkill
2191	@Skill_Name_2191	AttactSkill
2192	@Skill_Name_2192	AttactSkill
2201	@Skill_Name_2201	AttactSkill
2202	@Skill_Name_2202	AttactSkill
2211	@Skill_Name_2211	AttactSkill
2212	@Skill_Name_2212	AttactSkill
2221	@Skill_Name_2221	AttactSkill
2222	@Skill_Name_2222	AttactSkill
