id	values	Buff	level	cost	times	cd	FirstCD	Spine_EFF	SpineAnimation	ActionType	Hurt_EFF_Type	Skill_Type
10101	3,0.15	0	1	100	-1	0	0	hit0101	skill_0	1	0	4
10102	3.6,0.3	0	1	100	-1	0	0	hit0101	skill_0	1	0	4
10103	4.2,0.6	0	1	100	-1	0	0	hit0101	skill_0	1	0	4
10111	240,150,208901,1,5,15	208901	21	0	-1	10000	10000	hit0101	skill_1	2	0	2,7,6
10112	240,150,208901,2,7,20	208901	21	0	-1	10000	10000	hit0101	skill_1	2	0	2,7,6
10113	240,150,208901,3,9,25	208901	21	0	-1	10000	10000	hit0101	skill_1	2	0	2,7,6
10121	0	0	61	0	-1	0	0			3	0	11
10122	0	0	61	0	-1	0	0			3	0	11
10123	0	0	61	0	-1	0	0			3	0	11
10131	0	0	100	0	1	0	0			4	0	11
10132	107002,15	107002	100	0	1	0	0			4	0	11,1,5
10133	107003,20	107003	100	0	1	0	0			4	0	11,1,5
10201	2,1	0	1	100	-1	0	0	hit0501	skill_0	1	0	3
10202	3,1.1	0	1	100	-1	0	0	hit0501	skill_0	1	0	3
10203	4,1.2	0	1	100	-1	0	0	hit0501	skill_0	1	0	3
10211	107001,5,30	107001	21	0	-1	10000	10000		skill_1	2	0	1,5,7
10212	107002,6,40	107002	21	0	-1	9000	9000		skill_1	2	0	1,5,7
10213	107003,7,60	107003	21	0	-1	8000	8000		skill_1	2	0	1,5,7
10221	1,5	0	61	0	-1	4000	4000			4	0	11,1,7
10222	1,5	0	61	0	-1	3000	3000			4	0	11,1,7
10223	1,5	0	61	0	-1	2000	2000			4	0	11,1,7
10231	0.3,208901,5,1,0.3	208901	100	0	-1	0	0			4	0	11,4,12
10232	0.5,208901,7,2,0.3	208901	100	0	-1	0	0			4	0	11,4,12
10233	1,208901,9,3,0.3	208901	100	0	-1	0	0			4	0	11,4,12
10301	1,3,100102,8,111402,8	100102,111402	1	100	-1	0	0	heal01_FX1	skill_0	1	0	3,7,5
10302	2,3.5,100102,8,111402,8	100102,111402	1	100	-1	0	0	heal01_FX1	skill_0	1	0	3,7,5
10303	3,4,100102,8,111402,8	100102,111402	1	100	-1	0	0	heal01_FX1	skill_0	1	0	3,7,5
10311	1,1.2	0	21	0	-1	10000	5000	heal01_FX1	skill_1	2	0	1,7
10312	1,1.6	0	21	0	-1	8000	3000	heal01_FX1	skill_1	2	0	1,7
10313	1,2.4	0	21	0	-1	6000	2000	heal01_FX1	skill_1	2	0	1,7
