id	group	spriteratio	heroratio	level	cost	attr
0	1	0	0	0	0	0
1	1	0.2	0.01	1	30000_5002_10	1_20,2_20,3_5,101_1000
2	1	0.2	0.01	2	30000_5002_12	1_40,2_40,3_10,101_2000
3	1	0.2	0.01	3	30000_5002_14	1_60,2_60,3_15,101_3000
4	1	0.2	0.01	4	30000_5002_16	1_80,2_80,3_20,101_4000
5	1	0.2	0.01	5	30000_5002_18	1_100,2_100,3_25,101_5000
6	1	0.2	0.01	6	30000_5002_20	1_120,2_120,3_30,101_6000
7	1	0.2	0.01	7	30000_5002_22	1_140,2_140,3_35,101_7000
8	1	0.2	0.01	8	30000_5002_24	1_160,2_160,3_40,101_8000
9	1	0.2	0.01	9	30000_5002_26	1_180,2_180,3_45,101_9000
10	1	0.2	0.01	10	30000_5002_28	1_200,2_200,3_50,101_10000
11	1	0.2	0.01	11	30000_5002_30	1_220,2_220,3_55,101_11000
12	1	0.2	0.01	12	30000_5002_32	1_240,2_240,3_60,101_12000
13	1	0.2	0.01	13	30000_5002_34	1_260,2_260,3_65,101_13000
14	1	0.2	0.01	14	30000_5002_36	1_280,2_280,3_70,101_14000
15	1	0.2	0.01	15	30000_5002_38	1_300,2_300,3_75,101_15000
16	1	0.2	0.01	16	30000_5002_40	1_320,2_320,3_80,101_16000
17	1	0.2	0.01	17	30000_5002_42	1_340,2_340,3_85,101_17000
18	1	0.2	0.01	18	30000_5002_44	1_360,2_360,3_90,101_18000
19	1	0.2	0.01	19	30000_5002_46	1_380,2_380,3_95,101_19000
20	1	0.2	0.01	20	30000_5002_48	1_400,2_400,3_100,101_20250
21	2	0.2	0.01	21	30000_5002_50	1_430,2_430,3_110,101_21500
22	2	0.2	0.01	22	30000_5002_52	1_460,2_460,3_120,101_22750
23	2	0.2	0.01	23	30000_5002_54	1_490,2_490,3_130,101_24000
24	2	0.2	0.01	24	30000_5002_56	1_520,2_520,3_140,101_25250
25	2	0.2	0.01	25	30000_5002_58	1_550,2_550,3_150,101_26500
26	2	0.2	0.01	26	30000_5002_60	1_580,2_580,3_160,101_27750
27	2	0.2	0.01	27	30000_5002_62	1_610,2_610,3_170,101_29000
28	2	0.2	0.01	28	30000_5002_64	1_640,2_640,3_180,101_30250
29	2	0.2	0.01	29	30000_5002_66	1_670,2_670,3_190,101_31500
30	2	0.2	0.01	30	30000_5002_68	1_700,2_700,3_200,101_32750
31	2	0.2	0.02	31	30000_5002_70	1_730,2_730,3_210,101_34000
32	2	0.2	0.02	32	30000_5002_72	1_760,2_760,3_220,101_35250
33	2	0.2	0.02	33	30000_5002_74	1_790,2_790,3_230,101_36500
34	2	0.2	0.02	34	30000_5002_76	1_820,2_820,3_240,101_37750
35	2	0.2	0.02	35	30000_5002_78	1_850,2_850,3_250,101_39000
36	2	0.2	0.02	36	30000_5002_80	1_880,2_880,3_260,101_40250
37	2	0.2	0.02	37	30000_5002_82	1_910,2_910,3_270,101_41500
38	2	0.2	0.02	38	30000_5002_84	1_940,2_940,3_280,101_42750
39	2	0.2	0.02	39	30000_5002_86	1_970,2_970,3_290,101_44000
40	2	0.2	0.02	40	30000_5002_88	1_1000,2_1000,3_300,101_45500
41	3	0.2	0.02	41	30000_5002_90	1_1040,2_1040,3_315,101_47000
42	3	0.2	0.02	42	30000_5002_92	1_1080,2_1080,3_330,101_48500
43	3	0.2	0.02	43	30000_5002_94	1_1120,2_1120,3_345,101_50000
44	3	0.2	0.02	44	30000_5002_96	1_1160,2_1160,3_360,101_51500
