ID	佣兵	星级	经验	命中星级系数	闪避星级系数	暴击星级系数	韧性星级系数	物抗星级系数	魔抗星级系数	血量星级系数	伤害星级系数	魔法星级系数
1	7	0	100	0	0	0	0	0	0	0	0	0
2	7	1	240	1000	1000	500	500	3000	4500	4000	300	500
3	7	2	780	2000	2000	2000	1000	6000	9000	8000	600	1000
4	7	3	1240	3000	3000	3000	1500	8000	12000	12000	900	1500
5	7	4	1560	4000	4000	4000	2000	10000	15000	15000	1200	2000
6	7	5	3060	5000	5000	5000	2500	12000	18000	18000	1900	3500
7	7	6	4120	6000	6000	6000	3000	14000	21000	21000	2600	5000
8	7	7	5600	7000	7000	7000	3500	16000	24000	24000	3300	6500
9	7	8	7880	8000	8000	8000	4000	18000	27000	27000	4000	8000
10	7	9	11960	9000	9000	9000	4500	20000	30000	30000	4700	9500
11	7	10	0	10000	10000	10000	5000	22000	33000	33000	5400	11000
12	8	0	100	0	0	0	0	0	0	0	0	0
13	8	1	240	1000	1000	1000	500	3900	3000	4000	300	500
14	8	2	780	2000	2000	2000	1000	7800	6000	8000	600	1000
15	8	3	1240	3000	3000	3000	1500	10400	8000	12000	900	1500
16	8	4	1560	4000	4000	4000	2000	13000	10000	15000	1200	2000
17	8	5	3060	5000	5000	5000	2500	15600	12000	18000	1900	3500
18	8	6	4120	6000	6000	6000	3000	18200	14000	21000	2600	5000
19	8	7	5600	7000	7000	7000	3500	20800	16000	24000	3300	6500
20	8	8	7880	8000	8000	8000	4000	23400	18000	27000	4000	8000
21	8	9	11960	9000	9000	9000	4500	26000	20000	30000	4700	9500
22	8	10	0	10000	10000	10000	5000	28600	22000	33000	5400	11000
23	9	0	100	0	0	0	0	0	0	0	0	0
24	9	1	240	1000	1000	1000	900	3900	3000	4000	300	500
25	9	2	780	2000	2000	2000	1800	7800	6000	8000	600	1000
26	9	3	1240	3000	3000	3000	2700	10400	8000	12000	900	1500
27	9	4	1560	4000	4000	4000	3600	13000	10000	15000	1200	2000
28	9	5	3060	5000	5000	5000	4500	15600	12000	18000	1900	3500
29	9	6	4120	6000	6000	6000	5400	18200	14000	21000	2600	5000
30	9	7	5600	7000	7000	7000	6300	20800	16000	24000	3300	6500
31	9	8	7880	8000	8000	8000	7200	23400	18000	27000	4000	8000
32	9	9	11960	9000	9000	9000	8100	26000	20000	30000	4700	9500
33	9	10	0	10000	10000	10000	9000	28600	22000	33000	5400	11000
