id	星脉	等级	消耗	属性
0	1	0	0	0
1	1	1	30000_5001_10	101_74
2	1	2	30000_5001_22	101_148
3	1	3	30000_5001_28	101_222
4	1	4	30000_5001_34	101_296
5	1	5	30000_5001_38	101_370
6	1	6	30000_5001_42	101_444
7	1	7	30000_5001_46	101_518
8	1	8	30000_5001_49	101_592
9	1	9	30000_5001_52	101_666
10	1	10	30000_5001_55	101_740
11	1	11	30000_5001_58	101_814
12	1	12	30000_5001_61	101_888
13	1	13	30000_5001_64	101_962
14	1	14	30000_5001_66	101_1036
15	1	15	30000_5001_68	101_1110
16	1	16	30000_5001_71	101_1184
17	1	17	30000_5001_73	101_1258
18	1	18	30000_5001_75	101_1332
19	1	19	30000_5001_77	101_1406
20	1	20	30000_5001_79	101_1480
21	1	21	30000_5001_81	101_1554
22	1	22	30000_5001_83	101_1628
23	1	23	30000_5001_85	101_1702
24	1	24	30000_5001_87	101_1776
25	1	25	30000_5001_89	101_1850
26	1	26	30000_5001_91	101_1924
27	1	27	30000_5001_93	101_1998
28	1	28	30000_5001_95	101_2072
29	1	29	30000_5001_97	101_2146
30	1	30	30000_5001_99	101_2220
31	1	31	30000_5001_101	101_2294
32	1	32	30000_5001_103	101_2368
33	1	33	30000_5001_105	101_2442
34	1	34	30000_5001_107	101_2516
35	1	35	30000_5001_109	101_2590
36	1	36	30000_5001_111	101_2664
37	1	37	30000_5001_113	101_2738
38	1	38	30000_5001_115	101_2812
39	1	39	30000_5001_117	101_2886
40	1	40	30000_5001_119	101_2960
41	1	41	30000_5001_121	101_3034
42	1	42	30000_5001_123	101_3108
43	1	43	30000_5001_125	101_3182
44	1	44	30000_5001_127	101_3256
45	1	45	30000_5001_129	101_3330
46	1	46	30000_5001_131	101_3404
47	1	47	30000_5001_133	101_3478
48	1	48	30000_5001_135	101_3552
49	1	49	30000_5001_137	101_3626
50	1	50	30000_5001_139	101_3700
51	1	51	30000_5001_141	101_3774
52	1	52	30000_5001_143	101_3848
53	1	53	30000_5001_145	101_3922
54	1	54	30000_5001_147	101_3996
55	1	55	30000_5001_149	101_4070
56	1	56	30000_5001_151	101_4144
57	1	57	30000_5001_153	101_4218
58	1	58	30000_5001_155	101_4292
59	1	59	30000_5001_157	101_4366
60	1	60	30000_5001_159	101_4440
