套装Id（suitId）	套装名称（suitName）	套装类型（suitType)	装备Ids（equipIds）
1	@SuitShow_1	0	60100001,60100002,60100003,60100004,60100005
2	@SuitShow_2	0	60200001,60200002,60200003,60200004
3	@SuitShow_3	0	60300001,60300002,60300003,60300004
4	@SuitShow_4	0	60400001,60400002,60400003,60400004,60400005,60400006
5	@SuitShow_5	0	60500001,60500002,60500003,60500004
6	@SuitShow_6	0	60600001,60600002,60600003,60600004
7	@SuitShow_7	0	60700001,60700002,60700003,60700004,60700005,60700006
8	@SuitShow_8	0	60800001,60800002
9	@SuitShow_9	0	60900001,60900002,60900003,60900004
10	@SuitShow_10	1	61000001,61000002,61000003,61000004,61000005,61000006,61000007,61000008
11	@SuitShow_11	2	61100001,61100002,61100003,61100004,61100005,61100006,61100007,61100008
12	@SuitShow_12	3	61200001,61200002,61200003,61200004,61200005,61200006,61200007,61200008
13	@SuitShow_13	1	61300001,61300002,61300003,61300004,61300005,61300006,61300007,61300008,61300009,61300010
14	@SuitShow_14	2	61400001,61400002,61400003,61400004,61400005,61400006,61400007,61400008,61400009,61400010
15	@SuitShow_15	3	61500001,61500002,61500003,61500004,61500005,61500006,61500007,61500008,61500009,61500010
