id	阶数	品质	显示等级	冰攻击消耗点数	冰攻击消耗累计	冰攻击点数	冰攻击点数累计	冰防御消耗点数	冰防御消耗累计	冰防御点数	冰防御点数累计	火攻击消耗点数	火攻击消耗累计	火攻击点数	火攻击点数累计	火防御消耗点数	火防御消耗累计	火防御点数	火防御点数累计	雷攻击消耗点数	雷攻击消耗累计	雷攻击点数	雷攻击点数累计	雷防御消耗点数	雷防御消耗累计	雷防御点数	雷防御点数累计
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	205	205	20	20	205	205	30	30	205	205	20	20	205	205	30	30	205	205	20	20	205	205	30	30
2	1	1	2	215	420	20	40	215	420	30	60	215	420	20	40	215	420	30	60	215	420	20	40	215	420	30	60
3	1	1	3	225	645	20	60	225	645	30	90	225	645	20	60	225	645	30	90	225	645	20	60	225	645	30	90
4	1	1	4	235	880	20	80	235	880	30	120	235	880	20	80	235	880	30	120	235	880	20	80	235	880	30	120
5	1	1	5	245	1125	20	100	245	1125	30	150	245	1125	20	100	245	1125	30	150	245	1125	20	100	245	1125	30	150
6	1	1	6	255	1380	20	120	255	1380	30	180	255	1380	20	120	255	1380	30	180	255	1380	20	120	255	1380	30	180
7	1	1	7	265	1645	24	144	265	1645	36	216	265	1645	24	144	265	1645	36	216	265	1645	24	144	265	1645	36	216
8	1	1	8	275	1920	30	174	275	1920	45	261	275	1920	30	174	275	1920	45	261	275	1920	30	174	275	1920	45	261
9	1	1	9	285	2205	36	210	285	2205	54	315	285	2205	36	210	285	2205	54	315	285	2205	36	210	285	2205	54	315
10	1	1	10	295	2500	40	250	295	2500	60	375	295	2500	40	250	295	2500	60	375	295	2500	40	250	295	2500	60	375
11	1	2	11	305	2805	22	272	305	2805	33	408	305	2805	22	272	305	2805	33	408	305	2805	22	272	305	2805	33	408
12	1	2	12	315	3120	22	294	315	3120	33	441	315	3120	22	294	315	3120	33	441	315	3120	22	294	315	3120	33	441
13	1	2	13	325	3445	22	316	325	3445	33	474	325	3445	22	316	325	3445	33	474	325	3445	22	316	325	3445	33	474
14	1	2	14	335	3780	22	338	335	3780	33	507	335	3780	22	338	335	3780	33	507	335	3780	22	338	335	3780	33	507
15	1	2	15	345	4125	22	360	345	4125	33	540	345	4125	22	360	345	4125	33	540	345	4125	22	360	345	4125	33	540
16	1	2	16	355	4480	22	382	355	4480	33	573	355	4480	22	382	355	4480	33	573	355	4480	22	382	355	4480	33	573
17	1	2	17	365	4845	26	408	365	4845	39	612	365	4845	26	408	365	4845	39	612	365	4845	26	408	365	4845	39	612
18	1	2	18	375	5220	32	440	375	5220	48	660	375	5220	32	440	375	5220	48	660	375	5220	32	440	375	5220	48	660
19	1	2	19	385	5605	38	478	385	5605	57	717	385	5605	38	478	385	5605	57	717	385	5605	38	478	385	5605	57	717
20	1	2	20	395	6000	42	520	395	6000	63	780	395	6000	42	520	395	6000	63	780	395	6000	42	520	395	6000	63	780
21	1	3	21	405	6405	24	544	405	6405	36	816	405	6405	24	544	405	6405	36	816	405	6405	24	544	405	6405	36	816
22	1	3	22	415	6820	24	568	415	6820	36	852	415	6820	24	568	415	6820	36	852	415	6820	24	568	415	6820	36	852
23	1	3	23	425	7245	24	592	425	7245	36	888	425	7245	24	592	425	7245	36	888	425	7245	24	592	425	7245	36	888
24	1	3	24	435	7680	24	616	435	7680	36	924	435	7680	24	616	435	7680	36	924	435	7680	24	616	435	7680	36	924
25	1	3	25	445	8125	24	640	445	8125	36	960	445	8125	24	640	445	8125	36	960	445	8125	24	640	445	8125	36	960
26	1	3	26	455	8580	24	664	455	8580	36	996	455	8580	24	664	455	8580	36	996	455	8580	24	664	455	8580	36	996
27	1	3	27	465	9045	28	692	465	9045	42	1038	465	9045	28	692	465	9045	42	1038	465	9045	28	692	465	9045	42	1038
28	1	3	28	475	9520	34	726	475	9520	51	1089	475	9520	34	726	475	9520	51	1089	475	9520	34	726	475	9520	51	1089
