vipLevel	买钻要求	买钻要求HoneyP	买钻要求USD	快速战斗经验金币加成	快速战斗次数	购买金币次数(buyCoinTimes)	每日可购买BOSS挑战次数	每日可购买精英副本次数	每日可购买多人副本次数	最高佣兵培养	佣兵远征次数	商品数量(shopItemCount)	可使用BOSS扫荡功能	可自动加入工会BOSS战	激活太史慈	宝石商店限购数量	每日免费挑战BOSS次数	每日免费精英副本次数	战斗快速跳过	GVE普通挂机	GVE高级挂机	神器本体保留	30天补签次数	可使用高级自动育成	IdleTimes	IdleRatio	MaxPower	RecoverPower
0	0	0	0	0	50	0	0	0	3	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	43200	1	100	0
1	60	600	2	0	50	0	0	0	3	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	43200	1	100	0
2	680	6800	22	0	50	0	0	0	3	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	43200	1	100	0
3	1980	19800	66	0	50	0	0	0	3	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	43200	1	100	0
4	3280	32800	109	0	50	0	0	0	3	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	43200	1	100	0
5	6480	64800	216	0	50	0	0	0	3	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	43200	1	100	0
6	10000	100000	333	0	50	0	0	0	3	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	43200	1	125	1
7	15000	150000	500	0	50	0	0	0	3	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	43200	1	125	1
8	21000	210000	700	0	50	0	0	0	3	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	43200	1	125	1
9	30000	300000	1000	0	50	0	0	0	3	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	43200	1	125	1
10	50000	500000	1666	0	50	0	0	0	3	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	43200	1	125	1
11	60000	600000	2000	0	50	0	0	0	3	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	43200	1	125	1
12	80000	800000	2666	0	50	0	0	0	3	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	43200	1	125	1
13	110000	1100000	3666	0	50	0	0	0	3	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	43200	1	150	2
14	150000	1500000	5000	0	50	0	0	0	3	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	43200	1	150	2
15	200000	2000000	6666	0	50	0	0	0	3	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	43200	1	150	2
