ID	星级	阶数	所需经验	双倍经验几率	三倍经验几率	消耗道具	消耗钻石	当前属性	单次升星所加经验
1	1	1	100	0.3	0.1833	30000_60022_3	10000_1001_20	101_2700,105_324,103_405,104_405	20
2	2	1	100	0.3	0.1833	30000_60022_3	10000_1001_20	101_2900,105_348,103_435,104_435	20
3	3	1	100	0.3	0.1833	30000_60022_3	10000_1001_20	101_3100,105_372,103_465,104_465	20
4	4	1	100	0.3	0.1833	30000_60022_3	10000_1001_20	101_3300,105_396,103_495,104_495	20
5	5	1	100	0.3	0.1833	30000_60022_3	10000_1001_20	101_3500,105_420,103_525,104_525	20
6	6	1	100	0.3	0.1833	30000_60022_3	10000_1001_20	101_3700,105_444,103_555,104_555	20
7	7	1	100	0.3	0.1833	30000_60022_3	10000_1001_20	101_3900,105_468,103_585,104_585	20
8	8	1	100	0.3	0.1833	30000_60022_3	10000_1001_20	101_4100,105_492,103_615,104_615	20
9	9	1	100	0.3	0.1833	30000_60022_3	10000_1001_20	101_4300,105_516,103_645,104_645	20
10	10	1	100	0.3	0.1833	30000_60022_3	10000_1001_20	101_4500,105_540,103_675,104_675	20
11	11	1	100	0.3	0.1833	30000_60022_3	10000_1001_20	101_4700,105_564,103_705,104_705	20
12	12	1	100	0.3	0.1833	30000_60022_3	10000_1001_20	101_4900,105_588,103_735,104_735	20
13	13	1	100	0.3	0.1833	30000_60022_3	10000_1001_20	101_5100,105_612,103_765,104_765	20
14	14	1	100	0.3	0.1833	30000_60022_3	10000_1001_20	101_5300,105_636,103_795,104_795	20
15	15	1	100	0.3	0.1833	30000_60022_3	10000_1001_20	101_5500,105_660,103_825,104_825	20
16	1	2	100	0.3	0.1833	30000_60022_5	10000_1001_20	101_8800,105_1056,103_1320,104_1320	15
17	2	2	100	0.3	0.1833	30000_60022_5	10000_1001_20	101_9100,105_1092,103_1365,104_1365	15
18	3	2	100	0.3	0.1833	30000_60022_5	10000_1001_20	101_9400,105_1128,103_1410,104_1410	15
19	4	2	100	0.3	0.1833	30000_60022_5	10000_1001_20	101_9700,105_1164,103_1455,104_1455	15
20	5	2	100	0.3	0.1833	30000_60022_5	10000_1001_20	101_10000,105_1200,103_1500,104_1500	15
21	6	2	100	0.3	0.1833	30000_60022_5	10000_1001_20	101_10300,105_1236,103_1545,104_1545	15
22	7	2	100	0.3	0.1833	30000_60022_5	10000_1001_20	101_10600,105_1272,103_1590,104_1590	15
23	8	2	100	0.3	0.1833	30000_60022_5	10000_1001_20	101_10900,105_1308,103_1635,104_1635	15
24	9	2	100	0.3	0.1833	30000_60022_5	10000_1001_20	101_11200,105_1344,103_1680,104_1680	15
25	10	2	100	0.3	0.1833	30000_60022_5	10000_1001_20	101_11500,105_1380,103_1725,104_1725	15
26	11	2	100	0.3	0.1833	30000_60022_5	10000_1001_20	101_11800,105_1416,103_1770,104_1770	15
27	12	2	100	0.3	0.1833	30000_60022_5	10000_1001_20	101_12100,105_1452,103_1815,104_1815	15
28	13	2	100	0.3	0.1833	30000_60022_5	10000_1001_20	101_12400,105_1488,103_1860,104_1860	15
29	14	2	100	0.3	0.1833	30000_60022_5	10000_1001_20	101_12700,105_1524,103_1905,104_1905	15
30	15	2	100	0.3	0.1833	30000_60022_5	10000_1001_20	101_13000,105_1560,103_1950,104_1950	15
31	1	3	100	0.3	0.1833	30000_60022_8	10000_1001_20	101_17900,105_2148,103_2685,104_2685	10
32	2	3	100	0.3	0.1833	30000_60022_8	10000_1001_20	101_18300,105_2196,103_2745,104_2745	10
33	3	3	100	0.3	0.1833	30000_60022_8	10000_1001_20	101_18700,105_2244,103_2805,104_2805	10
34	4	3	100	0.3	0.1833	30000_60022_8	10000_1001_20	101_19100,105_2292,103_2865,104_2865	10
35	5	3	100	0.3	0.1833	30000_60022_8	10000_1001_20	101_19500,105_2340,103_2925,104_2925	10
36	6	3	100	0.3	0.1833	30000_60022_8	10000_1001_20	101_19900,105_2388,103_2985,104_2985	10
37	7	3	100	0.3	0.1833	30000_60022_8	10000_1001_20	101_20300,105_2436,103_3045,104_3045	10
38	8	3	100	0.3	0.1833	30000_60022_8	10000_1001_20	101_20700,105_2484,103_3105,104_3105	10
39	9	3	100	0.3	0.1833	30000_60022_8	10000_1001_20	101_21100,105_2532,103_3165,104_3165	10
40	10	3	100	0.3	0.1833	30000_60022_8	10000_1001_20	101_21500,105_2580,103_3225,104_3225	10
41	11	3	100	0.3	0.1833	30000_60022_8	10000_1001_20	101_21900,105_2628,103_3285,104_3285	10
42	12	3	100	0.3	0.1833	30000_60022_8	10000_1001_20	101_22300,105_2676,103_3345,104_3345	10
43	13	3	100	0.3	0.1833	30000_60022_8	10000_1001_20	101_22700,105_2724,103_3405,104_3405	10
44	14	3	100	0.3	0.1833	30000_60022_8	10000_1001_20	101_23100,105_2772,103_3465,104_3465	10
45	15	3	100	0.3	0.1833	30000_60022_8	10000_1001_20	101_23500,105_2820,103_3525,104_3525	10
46	1	4	100	0.3	0.1833	30000_60022_12	10000_1001_20	101_30500,105_3660,103_4575,104_4575	10
47	2	4	100	0.3	0.1833	30000_60022_12	10000_1001_20	101_31000,105_3720,103_4650,104_4650	10
48	3	4	100	0.3	0.1833	30000_60022_12	10000_1001_20	101_31500,105_3780,103_4725,104_4725	10
49	4	4	100	0.3	0.1833	30000_60022_12	10000_1001_20	101_32000,105_3840,103_4800,104_4800	10
50	5	4	100	0.3	0.1833	30000_60022_12	10000_1001_20	101_32500,105_3900,103_4875,104_4875	10
51	6	4	100	0.3	0.1833	30000_60022_12	10000_1001_20	101_33000,105_3960,103_4950,104_4950	10
52	7	4	100	0.3	0.1833	30000_60022_12	10000_1001_20	101_33500,105_4020,103_5025,104_5025	10
53	8	4	100	0.3	0.1833	30000_60022_12	10000_1001_20	101_34000,105_4080,103_5100,104_5100	10
54	9	4	100	0.3	0.1833	30000_60022_12	10000_1001_20	101_34500,105_4140,103_5175,104_5175	10
55	10	4	100	0.3	0.1833	30000_60022_12	10000_1001_20	101_35000,105_4200,103_5250,104_5250	10
56	11	4	100	0.3	0.1833	30000_60022_12	10000_1001_20	101_35500,105_4260,103_5325,104_5325	10
57	12	4	100	0.3	0.1833	30000_60022_12	10000_1001_20	101_36000,105_4320,103_5400,104_5400	10
58	13	4	100	0.3	0.1833	30000_60022_12	10000_1001_20	101_36500,105_4380,103_5475,104_5475	10
59	14	4	100	0.3	0.1833	30000_60022_12	10000_1001_20	101_37000,105_4440,103_5550,104_5550	10
60	15	4	100	0.3	0.1833	30000_60022_12	10000_1001_20	101_37500,105_4500,103_5625,104_5625	10
61	1	5	100	0.3	0.1833	30000_60022_16	10000_1001_20	101_47100,105_5652,103_7065,104_7065	10
62	2	5	100	0.3	0.1833	30000_60022_16	10000_1001_20	101_47700,105_5724,103_7155,104_7155	10
63	3	5	100	0.3	0.1833	30000_60022_16	10000_1001_20	101_48300,105_5796,103_7245,104_7245	10
64	4	5	100	0.3	0.1833	30000_60022_16	10000_1001_20	101_48900,105_5868,103_7335,104_7335	10
65	5	5	100	0.3	0.1833	30000_60022_16	10000_1001_20	101_49500,105_5940,103_7425,104_7425	10
66	6	5	100	0.3	0.1833	30000_60022_16	10000_1001_20	101_50100,105_6012,103_7515,104_7515	10
67	7	5	100	0.3	0.1833	30000_60022_16	10000_1001_20	101_50700,105_6084,103_7605,104_7605	10
68	8	5	100	0.3	0.1833	30000_60022_16	10000_1001_20	101_51300,105_6156,103_7695,104_7695	10
69	9	5	100	0.3	0.1833	30000_60022_16	10000_1001_20	101_51900,105_6228,103_7785,104_7785	10
70	10	5	100	0.3	0.1833	30000_60022_16	10000_1001_20	101_52500,105_6300,103_7875,104_7875	10
71	11	5	100	0.3	0.1833	30000_60022_16	10000_1001_20	101_53100,105_6372,103_7965,104_7965	10
72	12	5	100	0.3	0.1833	30000_60022_16	10000_1001_20	101_53700,105_6444,103_8055,104_8055	10
73	13	5	100	0.3	0.1833	30000_60022_16	10000_1001_20	101_54300,105_6516,103_8145,104_8145	10
74	14	5	100	0.3	0.1833	30000_60022_16	10000_1001_20	101_54900,105_6588,103_8235,104_8235	10
75	15	5	100	0.3	0.1833	30000_60022_16	10000_1001_20	101_55500,105_6660,103_8325,104_8325	10
76	1	6	100	0.3	0.1833	30000_60022_20	10000_1001_20	101_68200,105_8184,103_10230,104_10230	10
77	2	6	100	0.3	0.1833	30000_60022_20	10000_1001_20	101_68900,105_8268,103_10335,104_10335	10
78	3	6	100	0.3	0.1833	30000_60022_20	10000_1001_20	101_69600,105_8352,103_10440,104_10440	10
79	4	6	100	0.3	0.1833	30000_60022_20	10000_1001_20	101_70300,105_8436,103_10545,104_10545	10
80	5	6	100	0.3	0.1833	30000_60022_20	10000_1001_20	101_71000,105_8520,103_10650,104_10650	10
81	6	6	100	0.3	0.1833	30000_60022_20	10000_1001_20	101_71700,105_8604,103_10755,104_10755	10
82	7	6	100	0.3	0.1833	30000_60022_20	10000_1001_20	101_72400,105_8688,103_10860,104_10860	10
83	8	6	100	0.3	0.1833	30000_60022_20	10000_1001_20	101_73100,105_8772,103_10965,104_10965	10
84	9	6	100	0.3	0.1833	30000_60022_20	10000_1001_20	101_73800,105_8856,103_11070,104_11070	10
85	10	6	100	0.3	0.1833	30000_60022_20	10000_1001_20	101_74500,105_8940,103_11175,104_11175	10
86	11	6	100	0.3	0.1833	30000_60022_20	10000_1001_20	101_75200,105_9024,103_11280,104_11280	10
87	12	6	100	0.3	0.1833	30000_60022_20	10000_1001_20	101_75900,105_9108,103_11385,104_11385	10
88	13	6	100	0.3	0.1833	30000_60022_20	10000_1001_20	101_76600,105_9192,103_11490,104_11490	10
89	14	6	100	0.3	0.1833	30000_60022_20	10000_1001_20	101_77300,105_9276,103_11595,104_11595	10
90	15	6	100	0.3	0.1833	30000_60022_20	10000_1001_20	101_78000,105_9360,103_11700,104_11700	10
