翅膀类型	翅膀等级	限制职业	升级所需物品	属性
10001	0	1	30000_80001_5	0
10101	1	1	30000_80001_10,10000_1002_200000	101_800,103_316,104_316
10201	2	1	30000_80001_15,10000_1002_200000	101_1086,103_435,104_435
10301	3	1	30000_80001_20,10000_1002_200000	101_1474,103_599,104_599
10401	4	1	30000_80001_25,10000_1002_200000	101_2002,103_826,104_826
10501	5	1	30000_80001_30,10000_1002_200000	101_2717,103_1138,104_1138
10601	6	1	30000_80001_35,10000_1002_200000	101_3688,103_1568,104_1568
10701	7	1	30000_80001_40,10000_1002_200000	101_5007,103_2160,104_2160
10801	8	1	30000_80001_45,10000_1002_200000	101_6796,103_2976,104_2976
10901	9	1	30000_80001_50,10000_1002_200000	101_9226,103_4100,104_4100
11001	10	1	30000_80001_100,10000_1001_100	101_12521,103_5649,104_5649
11101	11	1	30000_80001_60,10000_1001_5	101_14084,103_6107,104_6107,2103_2
11201	12	1	30000_80001_70,10000_1001_5	101_15841,103_6601,104_6601,2103_4
11301	13	1	30000_80001_80,10000_1001_5	101_17818,103_7135,104_7135,2103_6
11401	14	1	30000_80001_90,10000_1001_5	101_20042,103_7713,104_7713,2103_8
11501	15	1	30000_80001_100,10000_1001_5	101_22543,103_8337,104_8337,2103_10
11601	16	1	30000_80001_110,10000_1001_5	101_25356,103_9012,104_9012,2103_12
11701	17	1	30000_80001_120,10000_1001_5	101_28520,103_9741,104_9741,2103_14
11801	18	1	30000_80001_130,10000_1001_5	101_32080,103_10529,104_10529,2103_16
11901	19	1	30000_80001_140,10000_1001_5	101_36083,103_11382,104_11382,2103_18
12001	20	1	30000_80001_500,10000_1001_500	101_40585,103_12303,104_12303,2103_20
12101	21	1	30000_80001_140,10000_1001_10	101_44694,103_13229,104_13229,2103_22,4001_667,4003_667,4005_667
12201	22	1	30000_80001_155,10000_1001_10	101_49220,103_14224,104_14224,2103_24,4001_1333,4003_1333,4005_1333
12301	23	1	30000_80001_170,10000_1001_10	101_54204,103_15294,104_15294,2103_26,4001_2000,4003_2000,4005_2000
12401	24	1	30000_80001_185,10000_1001_10	101_59692,103_16445,104_16445,2103_28,4001_2667,4003_2667,4005_2667
12501	25	1	30000_80001_200,10000_1001_10	101_65736,103_17682,104_17682,2103_30,4001_3333,4003_3333,4005_3333
12601	26	1	30000_80001_215,10000_1001_10	101_72392,103_19013,104_19013,2103_32,4001_4000,4003_4000,4005_4000
12701	27	1	30000_80001_230,10000_1001_10	101_79722,103_20443,104_20443,2103_34,4001_4667,4003_4667,4005_4667
12801	28	1	30000_80001_245,10000_1001_10	101_87794,103_21981,104_21981,2103_36,4001_5333,4003_5333,4005_5333
12901	29	1	30000_80001_260,10000_1001_10	101_96683,103_23635,104_23635,2103_38,4001_6000,4003_6000,4005_6000
13001	30	1	30000_80001_1500,10000_1001_1500	101_106472,103_25412,104_25412,2103_40,4001_6719,4003_6719,4005_6719
13101	31	1	30000_80001_300,10000_1001_50	101_111439,103_26615,104_26615,2103_42,4001_7297,4003_7297,4005_7297
13201	32	1	30000_80001_320,10000_1001_50	101_116637,103_27874,104_27874,2103_44,4001_7925,4003_7925,4005_7925
13301	33	1	30000_80001_340,10000_1001_50	101_122078,103_29193,104_29193,2103_46,4001_8607,4003_8607,4005_8607
13401	34	1	30000_80001_360,10000_1001_50	101_127773,103_30575,104_30575,2103_48,4001_9348,4003_9348,4005_9348
13501	35	1	30000_80001_380,10000_1001_50	101_133734,103_32022,104_32022,2103_50,4001_10153,4003_10153,4005_10153
13601	36	1	30000_80001_400,10000_1001_50	101_139972,103_33537,104_33537,2103_52,4001_11027,4003_11027,4005_11027
13701	37	1	30000_80001_420,10000_1001_50	101_146502,103_35124,104_35124,2103_54,4001_11976,4003_11976,4005_11976
13801	38	1	30000_80001_440,10000_1001_50	101_153336,103_36786,104_36786,2103_56,4001_13007,4003_13007,4005_13007
13901	39	1	30000_80001_460,10000_1001_50	101_160488,103_38526,104_38526,2103_58,4001_14126,4003_14126,4005_14126
14001	40	1	30000_80001_5000,10000_1001_5000	101_167976,103_40349,104_40349,2103_60,4001_15342,4003_15342,4005_15342
14101	41	1	30000_80001_700,10000_1001_200	101_178306,103_42454,104_42454,2103_64,4001_16207,4003_16207,4005_16207
14201	42	1	30000_80001_800,10000_1001_200	101_189272,103_44668,104_44668,2103_68,4001_17120,4003_17120,4005_17120
14301	43	1	30000_80001_900,10000_1001_200	101_200912,103_46997,104_46997,2103_72,4001_18084,4003_18084,4005_18084
14401	44	1	30000_80001_1000,10000_1001_200	101_213268,103_49448,104_49448,2103_76,4001_19103,4003_19103,4005_19103
14501	45	1	30000_80001_1100,10000_1001_200	101_226384,103_52027,104_52027,2103_80,4001_20179,4003_20179,4005_20179
14601	46	1	30000_80001_1200,10000_1001_200	101_240306,103_54741,104_54741,2103_84,4001_21316,4003_21316,4005_21316
14701	47	1	30000_80001_1300,10000_1001_200	101_255085,103_57595,104_57595,2103_88,4001_22517,4003_22517,4005_22517
14801	48	1	30000_80001_1400,10000_1001_200	101_270773,103_60599,104_60599,2103_92,4001_23785,4003_23785,4005_23785
14901	49	1	30000_80001_1500,10000_1001_200	101_287425,103_63759,104_63759,2103_96,4001_25125,4003_25125,4005_25125
15001	50	1	30000_80001_1600,10000_1001_200	101_305101,103_67085,104_67085,2103_100,4001_26541,4003_26541,4005_26541
10002	0	2	30000_80001_5	0
10102	1	2	30000_80001_10,10000_1002_200000	101_800,103_316,104_316
10202	2	2	30000_80001_15,10000_1002_200000	101_1086,103_435,104_435
10302	3	2	30000_80001_20,10000_1002_200000	101_1474,103_599,104_599
10402	4	2	30000_80001_25,10000_1002_200000	101_2002,103_826,104_826
10502	5	2	30000_80001_30,10000_1002_200000	101_2717,103_1138,104_1138
10602	6	2	30000_80001_35,10000_1002_200000	101_3688,103_1568,104_1568
10702	7	2	30000_80001_40,10000_1002_200000	101_5007,103_2160,104_2160
10802	8	2	30000_80001_45,10000_1002_200000	101_6796,103_2976,104_2976
10902	9	2	30000_80001_50,10000_1002_200000	101_9226,103_4100,104_4100
11002	10	2	30000_80001_100,10000_1001_100	101_12521,103_5649,104_5649
11102	11	2	30000_80001_60,10000_1001_5	101_14084,103_6107,104_6107,2103_1,2104_1
11202	12	2	30000_80001_70,10000_1001_5	101_15841,103_6601,104_6601,2103_3,2104_3
11302	13	2	30000_80001_80,10000_1001_5	101_17818,103_7135,104_7135,2103_4,2104_4
11402	14	2	30000_80001_90,10000_1001_5	101_20042,103_7713,104_7713,2103_6,2104_6
11502	15	2	30000_80001_100,10000_1001_5	101_22543,103_8337,104_8337,2103_7,2104_7
11602	16	2	30000_80001_110,10000_1001_5	101_25356,103_9012,104_9012,2103_8,2104_8
11702	17	2	30000_80001_120,10000_1001_5	101_28520,103_9741,104_9741,2103_10,2104_10
11802	18	2	30000_80001_130,10000_1001_5	101_32080,103_10529,104_10529,2103_11,2104_11
11902	19	2	30000_80001_140,10000_1001_5	101_36083,103_11382,104_11382,2103_13,2104_13
12002	20	2	30000_80001_500,10000_1001_500	101_40585,103_12303,104_12303,2103_14,2104_14
12102	21	2	30000_80001_140,10000_1001_10	101_44694,103_13229,104_13229,2103_15,2104_15,4001_667,4003_667,4005_667
12202	22	2	30000_80001_155,10000_1001_10	101_49220,103_14224,104_14224,2103_17,2104_17,4001_1333,4003_1333,4005_1333
12302	23	2	30000_80001_170,10000_1001_10	101_54204,103_15294,104_15294,2103_18,2104_18,4001_2000,4003_2000,4005_2000
12402	24	2	30000_80001_185,10000_1001_10	101_59692,103_16445,104_16445,2103_20,2104_20,4001_2667,4003_2667,4005_2667
12502	25	2	30000_80001_200,10000_1001_10	101_65736,103_17682,104_17682,2103_21,2104_21,4001_3333,4003_3333,4005_3333
12602	26	2	30000_80001_215,10000_1001_10	101_72392,103_19013,104_19013,2103_22,2104_22,4001_4000,4003_4000,4005_4000
12702	27	2	30000_80001_230,10000_1001_10	101_79722,103_20443,104_20443,2103_24,2104_24,4001_4667,4003_4667,4005_4667
12802	28	2	30000_80001_245,10000_1001_10	101_87794,103_21981,104_21981,2103_25,2104_25,4001_5333,4003_5333,4005_5333
12902	29	2	30000_80001_260,10000_1001_10	101_96683,103_23635,104_23635,2103_27,2104_27,4001_6000,4003_6000,4005_6000
13002	30	2	30000_80001_1500,10000_1001_1500	101_106472,103_25412,104_25412,2103_28,2104_28,4001_6719,4003_6719,4005_6719
13102	31	2	30000_80001_300,10000_1001_50	101_111439,103_26615,104_26615,2103_29,2104_29,4001_7297,4003_7297,4005_7297
13202	32	2	30000_80001_320,10000_1001_50	101_116637,103_27874,104_27874,2103_31,2104_31,4001_7925,4003_7925,4005_7925
13302	33	2	30000_80001_340,10000_1001_50	101_122078,103_29193,104_29193,2103_32,2104_32,4001_8607,4003_8607,4005_8607
13402	34	2	30000_80001_360,10000_1001_50	101_127773,103_30575,104_30575,2103_34,2104_34,4001_9348,4003_9348,4005_9348
13502	35	2	30000_80001_380,10000_1001_50	101_133734,103_32022,104_32022,2103_35,2104_35,4001_10153,4003_10153,4005_10153
